date,open,high,low,close,volume
2024-01-25,29.96,30.45,29.21,29.64,2569099
2024-01-24,30.25,30.37,29.32,29.76,8861983
2024-01-23,29.15,30.485,29.0301,29.51,9363900
2024-01-22,26.87,27.8552,26.77,27.62,5793822
2024-01-19,26.73,27.38,26.345,27.36,6001915
2024-01-18,27.62,28.72,26.58,26.75,12853154
2024-01-17,27.17,27.67,27.05,27.18,9606378
2024-01-16,29.17,29.29,27.275,27.87,10715028
2024-01-12,31.19,31.82,30.02,30.03,3933935
2024-01-11,31.49,31.64,30.66,30.88,4419749
2024-01-10,31.8,32.14,31.31,31.65,4733613
2024-01-09,31.82,32.45,31.55,31.94,5792123
2024-01-08,31.82,32.09,31.22,31.73,4992051
2024-01-05,30.54,32.305,30.09,32.13,7317669
2024-01-04,31.13,31.49,30.86,31.13,4543572
2024-01-03,32.12,32.27,31.045,31.49,8245658
2024-01-02,33.53,33.97,33.04,33.31,3837998
2023-12-29,34.31,34.74,33.93,34.0,3295505
2023-12-28,34.68,34.8118,34.198,34.55,3909863
2023-12-27,34.23,35.035,33.7498,34.81,5798101
2023-12-26,33.86,34.12,33.5,33.87,4505900
2023-12-22,32.96,34.44,32.88,33.77,9066769
2023-12-21,31.25,32.14,30.59,32.02,5566085
2023-12-20,32.01,32.475,30.56,30.65,7516945
2023-12-19,31.19,33.0,30.9101,32.42,7967243
2023-12-18,31.44,32.31,30.52,30.52,7270394
2023-12-15,29.93,32.5,29.67,31.1,19183792
2023-12-14,27.04,30.135,26.94,29.9,16594044
2023-12-13,24.04,26.04,23.885,25.99,7919148
2023-12-12,24.68,24.75,23.8,24.05,5849349
2023-12-11,24.75,25.3199,24.67,24.93,4290666
2023-12-08,25.04,25.725,24.87,25.02,5133177
2023-12-07,25.16,25.29,24.27,24.94,6732082
2023-12-06,25.6,25.96,25.04,25.12,4055033
2023-12-05,26.5,26.53,25.13,25.24,7715838
2023-12-04,27.28,27.93,26.765,26.81,4964975
2023-12-01,27.0,28.015,26.5101,27.74,5462935
2023-11-30,26.58,27.245,26.4399,26.86,4823473
2023-11-29,26.42,27.04,26.22,26.44,6103838
2023-11-28,26.22,26.29,25.64,26.08,4382377
2023-11-27,26.22,26.5958,25.87,26.3,3428999
2023-11-24,26.16,26.56,26.16,26.24,1282299
2023-11-22,26.28,26.62,25.98,26.38,2925838
2023-11-21,26.28,26.625,26.17,26.39,2881900
2023-11-20,26.32,26.7,25.97,26.47,4231732
2023-11-17,26.35,26.9775,26.12,26.22,4988743
2023-11-16,26.6,26.99,25.94,26.0,4080260
2023-11-15,26.52,27.34,26.36,26.95,5857249
2023-11-14,25.44,26.565,25.36,26.17,5472140
2023-11-13,24.49,25.025,24.3001,24.6,2839661
2023-11-10,24.7,24.8899,24.28,24.64,3040197
2023-11-09,25.81,25.87,24.41,24.58,4078496
2023-11-08,25.12,25.66,24.965,25.53,3671356
2023-11-07,25.22,25.595,24.82,25.54,4852895
2023-11-06,26.71,26.73,25.76,25.97,3869527
2023-11-03,26.5,27.005,26.14,26.53,5479951
2023-11-02,25.5,26.142,25.295,26.07,5825331
2023-11-01,25.67,25.78,24.275,25.03,6202053
2023-10-31,25.28,25.89,24.84,25.64,5156478
2023-10-30,24.0,25.425,23.8501,25.32,9442076
2023-10-27,23.975,24.11,23.17,23.51,6325040
2023-10-26,23.99,24.1895,23.37,23.51,6386776
2023-10-25,23.335,24.03,23.14,23.84,5510187
