date,open,high,low,close,volume
2024-01-25,182.96,185.48,173.2,176.635,198729
2024-01-24,185.11,187.45,181.42,181.56,279865
2024-01-23,184.9,186.31,181.47,183.44,200957
2024-01-22,185.06,186.36,181.61,183.38,345703
2024-01-19,179.46,186.7,178.72,185.75,591190
2024-01-18,170.54,179.65,168.81,177.95,554938
2024-01-17,163.69,169.46,162.89,168.65,283942
2024-01-16,169.77,169.77,164.76,166.53,285359
2024-01-12,170.45,172.84,168.41,170.54,228655
2024-01-11,170.14,170.8499,166.86,168.88,270944
2024-01-10,176.25,176.25,168.1,169.29,270911
2024-01-09,175.0,178.22,173.9017,175.58,336136
2024-01-08,175.0,175.0,168.78,173.64,252631
2024-01-05,175.44,177.01,174.48,175.36,225479
2024-01-04,170.35,177.51,169.46,174.1,362103
2024-01-03,168.04,173.41,166.5,169.11,341781
2024-01-02,166.74,168.68,166.045,167.9,204694
2023-12-29,165.41,167.3832,164.9626,165.94,132047
2023-12-28,168.75,169.73,166.22,166.67,109132
2023-12-27,168.0,170.89,168.0,169.3,260023
2023-12-26,167.46,169.57,166.36,167.91,184381
2023-12-22,166.67,169.7293,165.71,167.04,241975
2023-12-21,163.5,165.93,162.51,165.87,344026
2023-12-20,166.08,169.2825,161.7,162.05,248188
2023-12-19,160.77,166.94,160.77,165.24,302230
2023-12-18,161.42,162.18,159.24,159.77,347678
2023-12-15,156.88,159.05,155.08,157.9,460746
2023-12-14,160.0,160.67,156.06,156.21,364388
2023-12-13,156.24,158.01,153.97,157.55,600499
2023-12-12,160.37,160.46,155.22,156.71,343500
2023-12-11,162.61,163.37,159.15,161.64,572300
2023-12-08,166.97,168.77,163.55,164.1,295900
2023-12-07,165.85,168.57,165.29,166.86,380100
2023-12-06,166.3,174.04,164.76,165.64,522800
2023-12-05,166.83,168.43,164.63,166.65,550900
2023-12-04,171.12,172.8,166.05,167.05,380400
2023-12-01,167.03,174.84,166.33,172.76,510600
2023-11-30,163.65,167.16,163.65,165.96,364900
2023-11-29,163.39,163.39,160.32,162.31,205700
2023-11-28,166.59,167.59,162.53,163.92,235300
2023-11-27,163.12,166.26,163.12,165.52,359400
2023-11-24,161.59,166.93,161.17,163.87,220200
2023-11-22,155.5,161.35,155.5,160.6,377500
2023-11-21,156.56,161.14,155.79,157.43,178300
2023-11-20,159.99,160.38,156.36,156.47,257100
2023-11-17,155.26,161.25,155.26,159.36,404400
2023-11-16,153.1,157.41,152.53,153.05,412300
2023-11-15,153.7,157.18,153.22,153.59,286300
2023-11-14,149.02,154.99,148.57,154.48,535400
2023-11-13,148.11,149.61,145.01,145.34,344800
2023-11-10,146.01,148.28,145.7,147.83,219400
2023-11-09,144.06,147.93,143.96,144.49,298900
2023-11-08,140.75,143.43,140.11,143.3,400600
2023-11-07,146.51,146.57,140.87,141.19,648700
2023-11-06,151.52,151.74,148.22,149.57,235800
2023-11-03,153.0,154.09,149.98,150.6,288100
2023-11-02,152.56,155.82,150.34,151.32,367900
2023-11-01,151.12,153.6,149.13,153.04,212500
2023-10-31,149.9,152.87,148.62,150.83,425500
2023-10-30,153.72,154.54,150.19,151.38,302400
2023-10-27,151.91,154.95,151.49,152.92,421600
2023-10-26,153.0,155.91,147.31,151.94,704700
2023-10-25,149.07,152.97,149.07,151.62,456000
2023-10-24,148.66,150.83,148.3,149.33,359900
2023-10-23,148.75,149.29,146.55,147.53,316100
2023-10-20,151.7,152.71,149.09,149.74,270600
2023-10-19,157.12,157.12,151.42,152.25,379400
2023-10-18,156.02,159.04,155.05,156.7,405800
2023-10-17,154.04,159.94,154.04,158.55,385400
2023-10-16,154.91,157.24,150.75,154.87,511600
2023-10-13,155.21,156.22,152.73,154.48,319900
2023-10-12,154.73,157.98,151.76,154.44,429700
2023-10-11,157.66,159.49,153.9,156.8,319700
2023-10-10,161.95,163.22,158.29,158.6,306100
2023-10-09,156.98,161.72,156.98,159.87,290300
2023-10-06,152.51,155.98,149.8,154.95,408400
2023-10-05,147.89,152.47,146.92,151.48,322700
2023-10-04,154.37,154.37,146.56,148.95,532200
2023-10-03,153.08,155.52,152.54,154.37,508500
2023-10-02,153.69,155.7,142.2,155.04,1228200
2023-09-29,174.12,175.02,170.34,170.66,431600
2023-09-28,169.28,175.1,169.28,174.11,425900
2023-09-27,164.42,171.06,164.42,168.06,631700
2023-09-26,159.39,162.93,158.38,161.39,432800
2023-09-25,156.04,161.89,155.13,160.77,287400
2023-09-22,157.47,158.72,156.65,157.09,229600
2023-09-21,158.0,158.75,155.22,156.44,311500
2023-09-20,159.84,161.7,159.03,159.09,333800
2023-09-19,161.65,163.75,157.29,159.48,423400
2023-09-18,159.87,161.75,158.3,159.52,314000
2023-09-15,158.5,161.6,157.69,160.01,816800
2023-09-14,153.37,160.29,152.41,158.87,737100
2023-09-13,145.0,151.5,145.0,151.0,614100
2023-09-12,141.59,144.19,141.01,143.33,321800
2023-09-11,142.14,143.58,138.99,140.8,303600
2023-09-08,138.8,142.43,138.19,140.95,304900
2023-09-07,136.69,140.09,136.6,138.34,252300
2023-09-06,138.23,140.58,135.24,137.31,201600
2023-09-05,137.62,139.74,136.67,137.85,325100
2023-09-01,133.0,138.3,132.98,137.81,358400
2023-08-31,127.46,131.34,127.46,130.6,248900
2023-08-30,129.0,130.25,127.3,128.39,310500
2023-08-29,132.5,135.25,132.0,133.93,258800
2023-08-28,130.28,132.35,129.2,132.26,394900
2023-08-25,129.79,130.16,125.89,129.12,478000
2023-08-24,133.26,133.26,129.22,129.52,364300
2023-08-23,134.37,135.1,132.7,133.74,518400
2023-08-22,134.75,136.59,133.81,134.97,239800
2023-08-21,133.48,134.52,132.33,133.61,121600
2023-08-18,132.52,133.75,130.69,133.22,335800
2023-08-17,136.0,136.0,133.29,133.65,461700
2023-08-16,133.04,135.99,132.43,133.57,247100
2023-08-15,135.84,135.92,132.55,133.03,285900
2023-08-14,134.34,135.98,131.22,135.89,237600
2023-08-11,135.2,135.85,133.68,134.51,247300
2023-08-10,138.42,139.46,134.68,135.46,339600
2023-08-09,134.07,139.57,133.81,137.91,536500
2023-08-08,131.74,134.07,130.59,133.91,218100
2023-08-07,132.65,133.24,131.22,132.9,162500
2023-08-04,130.24,133.99,130.05,132.41,304200
2023-08-03,126.48,130.42,126.05,129.39,319700
2023-08-02,129.44,129.73,125.52,127.26,489100
2023-08-01,127.99,130.25,126.73,130.02,474500
2023-07-31,125.1,129.28,125.1,128.44,524300
2023-07-28,123.52,124.45,119.93,123.8,535500
2023-07-27,112.0,123.8,111.52,122.55,848900
2023-07-26,119.49,121.71,119.46,120.66,377000
2023-07-25,122.0,123.5,120.97,121.24,371600
2023-07-24,119.56,121.87,117.93,120.87,245300
2023-07-21,118.76,119.59,116.94,119.05,369400
2023-07-20,113.25,118.22,113.21,118.05,365500
2023-07-19,112.63,113.45,111.64,112.64,238000
2023-07-18,111.39,113.34,111.39,111.93,178100
2023-07-17,108.7,112.16,108.59,110.94,229400
2023-07-14,112.85,113.09,108.25,109.13,416000
2023-07-13,113.4,114.21,111.96,113.69,328500
2023-07-12,116.46,117.37,113.1,113.17,284000
2023-07-11,113.5,115.29,113.33,114.39,231900
2023-07-10,112.73,115.28,112.2,113.32,230300
2023-07-07,111.27,115.39,111.27,113.94,203900
2023-07-06,111.97,113.94,110.07,111.27,235400
2023-07-05,114.54,115.48,112.64,113.28,319300
2023-07-03,112.9,115.58,112.9,114.52,146700
2023-06-30,113.58,114.67,112.6,112.76,269900
2023-06-29,111.46,115.59,111.46,113.87,184700
2023-06-28,111.37,112.18,110.25,111.55,175200
2023-06-27,112.18,114.13,111.19,112.45,280000
2023-06-26,111.5,113.65,111.38,111.95,388300
2023-06-23,114.45,116.46,111.25,111.48,1537700
2023-06-22,118.54,118.6,114.71,116.23,230700
2023-06-21,114.83,119.56,114.83,119.11,504900
2023-06-20,111.81,115.47,110.5,115.22,344000
2023-06-16,114.26,114.26,112.1,112.88,742900
2023-06-15,109.68,114.36,109.6,113.5,504900
2023-06-14,109.24,110.99,108.15,109.07,364200
2023-06-13,108.55,110.61,107.23,107.45,336500
2023-06-12,110.43,110.43,107.39,107.63,377000
2023-06-09,111.48,112.56,110.44,111.53,457400
2023-06-08,115.95,116.44,111.29,111.5,431400
2023-06-07,111.62,116.46,111.5,115.36,490800
2023-06-06,109.5,112.53,109.5,110.67,662300
2023-06-05,110.22,111.21,108.35,110.01,429700
2023-06-02,107.08,110.79,106.78,109.91,533900
2023-06-01,103.5,106.28,103.44,105.2,464400
2023-05-31,106.59,107.06,102.42,103.35,547000
2023-05-30,106.25,108.68,103.74,107.87,574200
2023-05-26,114.14,114.55,109.32,110.16,792000
2023-05-25,115.93,116.85,113.14,113.85,369100
2023-05-24,118.84,119.18,116.31,117.72,523100
2023-05-23,119.9,120.84,118.2,119.17,226800
2023-05-22,119.17,121.96,117.69,120.05,233700
2023-05-19,122.6,122.6,118.61,119.17,260800
2023-05-18,118.75,121.46,115.89,121.32,410400
2023-05-17,121.01,121.76,118.77,119.84,537800
2023-05-16,124.18,125.52,119.56,119.99,334500
2023-05-15,124.4,126.07,123.28,125.01,445400
2023-05-12,125.96,127.32,122.34,123.62,671900
2023-05-11,127.39,127.9,124.85,125.89,222700
2023-05-10,129.72,130.02,125.78,129.42,228600
2023-05-09,126.58,130.3,125.89,128.3,265000
2023-05-08,126.92,128.32,125.21,127.03,549200
2023-05-05,120.84,125.25,120.11,123.85,622900
2023-05-04,116.64,120.57,116.27,118.58,332300
2023-05-03,119.5,121.43,116.32,116.76,297900
2023-05-02,118.8,121.48,116.0,119.41,511100
2023-05-01,122.2,122.91,118.79,119.69,422600
2023-04-28,120.76,122.91,118.2,122.25,469200
2023-04-27,118.3,123.41,115.93,121.12,819700
2023-04-26,122.51,122.94,118.31,118.91,476300
2023-04-25,124.24,124.24,120.68,121.75,359000
2023-04-24,123.4,126.99,122.03,126.17,296200
2023-04-21,129.4,129.4,123.24,123.74,477500
2023-04-20,133.11,133.84,129.0,130.04,399600
2023-04-19,132.38,136.4,131.47,134.91,289400
2023-04-18,133.56,134.75,131.2,133.75,304600
2023-04-17,132.05,135.32,130.95,133.85,796800
2023-04-14,132.01,133.9,127.51,130.16,453700
2023-04-13,129.28,132.32,128.02,132.07,490400
2023-04-12,129.25,129.95,126.64,128.36,387400
2023-04-11,129.5,131.06,129.28,129.54,401600
2023-04-10,131.48,132.63,128.29,128.73,419800
2023-04-06,136.11,136.11,131.01,131.09,411500
2023-04-05,135.05,136.05,130.73,135.96,348500
2023-04-04,135.54,136.73,132.46,135.12,438300
2023-04-03,134.48,136.31,129.8,136.11,620800
2023-03-31,130.36,131.6,128.61,131.46,666000
2023-03-30,131.69,131.8,127.32,129.66,834400
2023-03-29,134.53,135.21,129.37,130.19,518300
2023-03-28,132.5,135.27,132.0,133.65,316900
2023-03-27,131.43,133.87,129.28,132.37,338900
2023-03-24,127.82,131.46,125.4,129.63,408000
2023-03-23,131.18,133.25,128.38,129.11,264800
2023-03-22,131.7,133.84,129.66,130.0,347700
2023-03-21,134.07,135.18,128.81,131.4,602600
2023-03-20,134.25,135.41,130.73,130.89,362400
2023-03-17,133.42,134.44,130.0,133.03,487200
2023-03-16,132.05,134.89,128.16,134.72,481600
2023-03-15,138.22,139.6,130.89,134.7,1262400
2023-03-14,145.01,148.73,140.72,142.68,431300
2023-03-13,146.98,149.49,143.18,143.43,431500
2023-03-10,153.97,157.71,149.03,151.59,561500
2023-03-09,157.44,159.19,153.47,154.53,658200
2023-03-08,160.0,160.44,154.39,156.51,281700
2023-03-07,160.2,161.32,157.79,159.33,509500
2023-03-06,163.26,164.0,159.3,160.97,474500
2023-03-03,163.57,167.68,163.01,165.34,581600
2023-03-02,161.75,164.38,159.92,162.83,272800
2023-03-01,156.48,163.59,156.46,162.76,502300
2023-02-28,153.75,159.88,152.93,157.35,398300
2023-02-27,148.13,154.67,146.6,152.62,300300
2023-02-24,149.48,150.36,146.74,150.26,385600
2023-02-23,155.67,157.4,150.41,150.98,259500
2023-02-22,152.28,155.96,149.49,154.8,421900
2023-02-21,159.63,161.74,148.49,152.4,644800
2023-02-17,159.07,160.23,155.16,159.19,682300
2023-02-16,150.0,164.29,149.82,160.73,1428400
2023-02-15,144.05,147.33,142.52,146.57,774800
2023-02-14,140.42,146.54,138.87,145.19,593400
2023-02-13,141.72,141.95,138.08,139.05,328500
2023-02-10,141.08,143.09,139.45,142.49,375000
2023-02-09,139.96,143.13,139.63,140.24,279300
2023-02-08,145.63,145.63,138.38,138.54,521200
2023-02-07,148.65,150.01,143.11,147.02,574300
2023-02-06,147.5,149.16,145.17,146.95,207200
2023-02-03,151.3,152.71,147.15,148.01,239300
2023-02-02,150.3,153.47,148.45,151.27,341900
2023-02-01,148.65,152.14,145.84,151.35,372900
2023-01-31,150.24,150.88,146.6,148.02,282000
2023-01-30,145.54,153.8,145.23,150.56,421700
2023-01-27,150.9,152.57,145.43,147.23,398200
2023-01-26,155.0,155.85,144.5,150.02,460200
2023-01-25,156.99,158.57,153.55,154.58,315000
2023-01-24,152.84,156.54,150.21,156.28,322000
2023-01-23,151.08,154.34,150.5,153.99,330800
2023-01-20,144.17,149.75,142.41,149.4,427700
2023-01-19,138.0,142.9,137.51,142.45,245100
2023-01-18,141.7,145.73,138.04,138.77,299500
2023-01-17,140.0,140.72,137.31,140.0,330300
2023-01-13,135.01,139.79,133.61,138.97,283000
2023-01-12,135.68,138.74,134.8,135.36,293900
2023-01-11,136.72,136.72,133.5,135.47,460700
2023-01-10,143.35,143.35,135.12,136.14,477800
2023-01-09,143.47,146.0,141.23,141.24,409300
2023-01-06,137.26,142.64,136.4,141.5,452400
2023-01-05,132.8,136.03,132.8,134.88,337100
2023-01-04,131.45,136.3,128.03,133.87,511400
2023-01-03,141.8,142.79,133.76,134.0,386000
2022-12-30,140.95,144.26,140.06,142.79,296900
2022-12-29,141.23,143.5,140.67,142.12,265300
2022-12-28,148.34,149.22,136.78,140.43,625400
2022-12-27,148.34,150.87,147.79,148.96,342600
2022-12-23,144.58,147.44,143.46,147.25,217700
2022-12-22,144.53,146.43,140.92,143.76,273400
2022-12-21,141.03,145.27,139.76,144.53,278000
2022-12-20,140.06,143.33,138.85,139.19,312100
2022-12-19,141.8,144.37,137.52,138.98,378900
2022-12-16,140.67,144.59,139.65,141.67,765400
2022-12-15,141.68,144.12,139.98,142.62,624300
2022-12-14,145.51,146.23,140.63,142.0,420700
2022-12-13,147.05,151.08,143.88,145.84,626200
2022-12-12,143.13,145.4,141.2,145.11,721900
2022-12-09,145.59,148.49,142.01,143.17,433800
2022-12-08,152.0,152.62,144.82,146.12,353600
2022-12-07,148.94,151.5,143.75,148.74,629200
2022-12-06,147.28,153.12,147.28,149.15,330200
2022-12-05,154.55,157.19,146.15,146.96,639200
2022-12-02,148.1,154.4,146.99,153.74,382700
2022-12-01,152.7,155.0,148.38,149.88,336800
2022-11-30,148.73,155.71,148.56,154.75,836500
2022-11-29,143.06,149.49,143.0,147.43,838300
2022-11-28,155.27,157.98,151.68,153.0,688100
2022-11-25,155.0,158.92,155.0,156.87,218500
2022-11-23,154.37,157.4,152.78,155.74,282800
2022-11-22,157.36,158.33,154.85,155.15,503600
2022-11-21,148.0,156.43,148.0,154.33,461900
2022-11-18,150.52,150.75,146.24,150.38,417200
2022-11-17,146.53,151.92,142.82,151.82,345200
2022-11-16,152.42,154.04,149.03,150.82,274500
2022-11-15,148.94,155.01,144.44,155.01,430600
2022-11-14,149.32,154.25,147.88,148.31,339600
2022-11-11,155.34,156.04,146.61,150.35,378700
2022-11-10,155.77,156.53,148.38,152.16,307600
2022-11-09,160.0,161.36,148.67,150.23,635400
2022-11-08,161.46,166.45,159.51,162.92,256300
2022-11-07,162.77,166.62,160.0,162.71,313000
2022-11-04,159.85,167.5,158.82,161.95,511100
2022-11-03,150.3,155.5,148.8,155.25,467600
2022-11-02,154.49,155.14,149.39,149.88,261900
2022-11-01,155.52,155.65,149.79,153.84,343800
2022-10-31,148.37,154.97,148.37,152.29,489300
2022-10-28,153.53,155.97,146.04,150.12,910300
2022-10-27,134.56,153.63,134.5,151.93,1334300
2022-10-26,136.53,137.67,132.1,133.04,642800
2022-10-25,135.89,137.13,133.34,134.9,535700
2022-10-24,137.12,137.72,132.71,136.7,378100
2022-10-21,135.0,138.98,131.67,137.65,347400
2022-10-20,139.17,140.36,133.46,134.46,356200
2022-10-19,140.15,142.65,135.92,136.89,385300
2022-10-18,144.95,145.92,138.82,140.73,399400
2022-10-17,141.93,144.12,138.1,143.03,526700
2022-10-14,137.59,139.26,133.42,138.43,264500
2022-10-13,136.0,142.32,134.06,137.82,332000
2022-10-12,135.72,141.63,134.52,136.82,464500
2022-10-11,141.84,142.7,136.31,137.04,437400
2022-10-10,144.64,148.0,142.24,143.35,507900
2022-10-07,146.51,146.53,140.01,143.21,495100
2022-10-06,139.94,147.58,138.54,146.51,988200
2022-10-05,133.0,142.61,132.7,141.02,837700
2022-10-04,131.24,135.34,130.43,135.24,1348900
