date,open,high,low,close,volume
2024-01-25,7.58,7.6099,7.46,7.5201,17320200
2024-01-24,7.64,7.66,7.57,7.58,19274170
2024-01-23,7.56,7.605,7.5001,7.58,16858201
2024-01-22,7.43,7.53,7.42,7.48,15352255
2024-01-19,7.26,7.37,7.23,7.36,17320166
2024-01-18,7.28,7.3055,7.205,7.29,17159422
2024-01-17,7.18,7.25,7.16,7.22,17339938
2024-01-16,7.32,7.33,7.23,7.27,20099694
2024-01-12,7.65,7.7,7.47,7.52,27873255
2024-01-11,7.66,7.685,7.47,7.52,26340617
2024-01-10,7.91,7.95,7.87,7.93,21479065
2024-01-09,7.98,8.0,7.88,7.9,22304020
2024-01-08,8.01,8.11,7.9701,8.1,21619059
2024-01-05,7.96,8.11,7.95,8.03,22603502
2024-01-04,7.88,8.05,7.87,7.94,21791940
2024-01-03,7.81,7.95,7.78,7.87,27234868
2024-01-02,7.91,8.03,7.87,7.92,21972830
2023-12-29,7.89,7.91,7.83,7.88,13868841
2023-12-28,7.9,7.95,7.88,7.89,11084089
2023-12-27,7.93,8.0,7.915,7.95,11009189
2023-12-26,7.86,8.0,7.8516,7.97,11781415
2023-12-22,7.82,7.93,7.82,7.87,7117537
2023-12-21,7.75,7.79,7.71,7.76,8673358
2023-12-20,7.78,7.815,7.65,7.67,12674092
2023-12-19,7.61,7.66,7.605,7.62,11597409
2023-12-18,7.54,7.545,7.46,7.48,7139182
2023-12-15,7.55,7.61,7.48,7.48,11520621
2023-12-14,7.68,7.93,7.65,7.78,28311011
2023-12-13,7.2,7.46,7.15,7.45,21079028
2023-12-12,7.25,7.27,7.19,7.25,15806264
2023-12-11,7.28,7.31,7.235,7.29,17387095
2023-12-08,7.22,7.35,7.21,7.34,17508420
2023-12-07,7.08,7.17,7.06,7.16,14511553
2023-12-06,7.1,7.2,7.06,7.07,19214672
2023-12-05,7.11,7.13,7.02,7.04,19935571
2023-12-04,7.28,7.36,7.06,7.08,36337818
2023-12-01,7.22,7.42,7.2001,7.4,18877684
2023-11-30,7.22,7.26,7.16,7.22,18402672
2023-11-29,7.15,7.28,7.14,7.22,17631451
2023-11-28,7.15,7.18,7.113,7.16,8280196
2023-11-27,7.17,7.2,7.1,7.14,15840475
2023-11-24,7.16,7.24,7.14,7.22,5112283
2023-11-22,7.06,7.08,7.03,7.07,13389380
2023-11-21,7.12,7.18,7.095,7.13,8416607
2023-11-20,7.13,7.18,7.125,7.18,9769529
2023-11-17,7.11,7.22,7.08,7.2,10877368
2023-11-16,6.93,6.96,6.91,6.94,13318878
2023-11-15,7.02,7.05,6.98,6.99,13395125
2023-11-14,6.84,6.96,6.83,6.91,11632686
2023-11-13,6.7,6.75,6.68,6.71,8506528
2023-11-10,6.63,6.73,6.58,6.71,13119967
2023-11-09,6.74,6.78,6.64,6.66,11944302
2023-11-08,6.7,6.75,6.67,6.68,8926636
2023-11-07,6.72,6.735,6.67,6.69,6372395
2023-11-06,6.86,6.87,6.73,6.75,13615203
2023-11-03,6.71,6.82,6.71,6.78,14052310
2023-11-02,6.48,6.6,6.48,6.6,12387894
2023-11-01,6.34,6.39,6.2703,6.33,13463631
2023-10-31,6.43,6.46,6.385,6.43,13353959
2023-10-30,6.38,6.42,6.32,6.42,16745631
2023-10-27,6.35,6.36,6.23,6.24,15422756
2023-10-26,6.43,6.47,6.36,6.42,14095000
2023-10-25,6.46,6.54,6.4001,6.51,12303225
2023-10-24,6.51,6.58,6.31,6.53,19529049
2023-10-23,7.04,7.14,7.01,7.02,14114004
2023-10-20,7.19,7.2,7.04,7.07,13550854
2023-10-19,7.22,7.34,7.16,7.18,14931218
2023-10-18,7.48,7.48,7.34,7.35,12835873
2023-10-17,7.52,7.65,7.51,7.59,9212032
2023-10-16,7.5,7.55,7.43,7.54,9930737
2023-10-13,7.49,7.56,7.4,7.41,10031631
2023-10-12,7.58,7.59,7.39,7.43,13524444
2023-10-11,7.83,7.87,7.75,7.82,8256125
2023-10-10,7.76,7.795,7.73,7.76,8217555
2023-10-09,7.48,7.55,7.4513,7.52,8070068
2023-10-06,7.55,7.7,7.49,7.66,9833169
2023-10-05,7.46,7.54,7.45,7.53,8170968
2023-10-04,7.55,7.57,7.475,7.57,7859746
2023-10-03,7.57,7.58,7.47,7.5,7168896
2023-10-02,7.77,7.8,7.57,7.59,9308296
2023-09-29,7.84,7.89,7.77,7.79,6736774
2023-09-28,7.73,7.88,7.73,7.83,5922203
2023-09-27,7.79,7.8,7.66,7.75,10138905
2023-09-26,7.78,7.93,7.76,7.79,13005748
2023-09-25,7.57,7.63,7.52,7.62,7062838
2023-09-22,7.76,7.77,7.64,7.66,10705280
2023-09-21,7.68,7.7853,7.675,7.71,9415118
2023-09-20,7.96,8.03,7.8,7.82,8146424
2023-09-19,7.9,7.97,7.89,7.94,9844033
2023-09-18,7.95,7.97,7.85,7.86,8123247
2023-09-15,7.98,8.045,7.955,8.0,9523998
2023-09-14,7.95,7.99,7.91,7.97,9679592
2023-09-13,7.85,7.9,7.82,7.85,8962463
2023-09-12,7.61,7.78,7.59,7.74,11193217
2023-09-11,7.53,7.58,7.51,7.54,6709850
2023-09-08,7.35,7.45,7.34,7.42,6337768
2023-09-07,7.43,7.48,7.35,7.36,11088427
2023-09-06,7.5,7.55,7.43,7.47,7132928
2023-09-05,7.64,7.665,7.5,7.51,8095454
2023-09-01,7.6,7.6491,7.54,7.55,9857307
2023-08-31,7.59,7.6,7.47,7.51,7043903
2023-08-30,7.67,7.69,7.6,7.61,5524834
2023-08-29,7.51,7.66,7.505,7.66,5319416
2023-08-28,7.4,7.52,7.4,7.47,6690736
2023-08-25,7.39,7.4,7.25,7.34,11829177
2023-08-24,7.34,7.415,7.33,7.33,8758381
2023-08-23,7.27,7.37,7.26,7.34,6270203
2023-08-22,7.37,7.4,7.26,7.27,7545494
2023-08-21,7.41,7.42,7.34,7.39,7551037
