date,open,high,low,close,volume
2024-01-25,25.98,26.0,25.6,25.99,176282
2024-01-24,26.11,26.28,25.615,25.75,317036
2024-01-23,25.99,26.12,25.57,25.88,195418
2024-01-22,25.67,26.11,25.52,25.67,297479
2024-01-19,25.26,25.82,24.84,25.68,399217
2024-01-18,25.18,25.64,25.06,25.32,390180
2024-01-17,25.4,25.4891,24.66,25.16,334685
2024-01-16,25.83,26.14,25.34,25.72,522411
2024-01-12,26.42,26.71,25.55,25.74,292400
2024-01-11,27.11,27.11,26.1,26.21,279500
2024-01-10,27.4,27.47,27.09,27.14,280700
2024-01-09,27.31,27.44,26.97,27.32,143200
2024-01-08,26.16,27.33,26.11,27.31,208500
2024-01-05,25.6,26.54,25.55,26.17,256300
2024-01-04,25.5,26.0,25.5,25.8,322900
2024-01-03,25.9,25.92,25.51,25.65,563900
2024-01-02,26.25,27.06,25.9,26.02,542000
2023-12-29,26.14,26.56,25.94,26.28,277500
2023-12-28,26.17,26.35,25.92,26.26,452500
2023-12-27,26.57,26.83,26.23,26.33,742800
2023-12-26,26.78,26.93,26.59,26.6,369600
2023-12-22,27.32,27.38,26.72,26.76,667500
2023-12-21,26.73,27.33,26.73,26.99,355500
2023-12-20,26.8,27.16,26.42,26.45,270300
2023-12-19,26.32,27.03,26.32,26.92,301900
2023-12-18,26.69,26.98,25.89,26.3,321600
2023-12-15,27.45,27.5,26.67,26.81,784000
2023-12-14,26.09,27.81,26.09,27.41,997900
2023-12-13,24.9,26.0,24.65,25.97,827600
2023-12-12,25.29,25.31,24.81,24.93,505900
2023-12-11,25.04,25.46,24.71,25.45,684600
2023-12-08,25.25,25.5,24.96,25.24,497600
2023-12-07,25.98,25.98,25.4,25.46,425600
2023-12-06,24.89,25.89,24.89,25.87,380800
2023-12-05,25.38,25.57,24.83,24.83,297000
2023-12-04,25.57,25.98,25.42,25.48,359200
2023-12-01,24.59,26.01,24.59,25.92,376800
2023-11-30,24.72,24.92,24.45,24.77,281200
2023-11-29,24.83,25.09,24.66,24.78,285900
2023-11-28,24.5,25.21,24.5,24.99,365700
2023-11-27,24.66,24.98,24.49,24.58,437600
2023-11-24,24.75,24.97,24.61,24.75,96400
2023-11-22,24.38,24.67,24.07,24.62,259900
2023-11-21,24.5,24.7,24.3,24.3,402600
2023-11-20,24.33,24.72,24.07,24.64,362300
2023-11-17,24.72,25.0,24.43,24.46,369800
2023-11-16,24.7,25.13,24.49,24.91,340800
2023-11-15,24.13,25.23,24.13,24.77,547700
2023-11-14,22.5,24.11,22.32,24.03,563700
2023-11-13,21.97,22.34,21.8,21.97,307400
2023-11-10,22.06,22.22,21.66,21.91,253500
2023-11-09,22.32,22.66,21.94,22.06,315500
2023-11-08,22.65,22.69,22.07,22.3,542400
2023-11-07,23.0,23.01,22.18,22.63,609500
2023-11-06,23.2,23.3,22.66,23.07,788200
2023-11-03,23.81,23.87,22.67,23.07,708500
2023-11-02,21.87,23.45,21.8,23.35,872600
2023-11-01,20.96,21.57,20.91,21.55,646000
2023-10-31,21.8,22.0,20.86,20.96,367100
2023-10-30,21.31,21.9,21.31,21.76,476400
2023-10-27,21.89,21.89,21.21,21.42,355900
2023-10-26,22.34,22.6,21.82,21.94,366900
2023-10-25,22.68,22.88,22.32,22.38,323000
2023-10-24,22.27,23.14,22.27,22.85,689800
2023-10-23,21.35,22.47,21.27,22.28,646500
2023-10-20,21.01,21.85,21.01,21.46,858200
2023-10-19,21.02,21.46,20.91,21.21,734100
2023-10-18,21.22,21.22,20.47,21.08,636000
2023-10-17,20.74,21.8,20.74,21.29,460800
2023-10-16,21.23,21.39,20.67,21.0,976400
2023-10-13,21.93,22.12,20.98,20.99,506600
2023-10-12,22.48,22.53,21.69,21.74,251500
2023-10-11,22.49,22.82,22.1,22.49,577300
2023-10-10,21.03,22.29,21.03,22.23,845200
2023-10-09,21.16,21.55,20.6,20.95,470400
2023-10-06,21.06,21.41,20.32,21.31,925600
2023-10-05,20.89,21.43,20.88,21.17,1478300
2023-10-04,20.5,20.94,20.36,20.87,940600
2023-10-03,20.27,20.42,19.97,20.33,1429900
2023-10-02,21.9,21.92,20.3,20.44,2025500
2023-09-29,22.82,23.17,21.46,21.74,1324400
2023-09-28,23.99,24.4,22.55,22.8,2018900
2023-09-27,25.8,26.05,23.85,23.92,1332400
2023-09-26,25.72,25.95,25.53,25.83,1246700
2023-09-25,25.78,25.99,25.5,25.81,338400
2023-09-22,25.24,25.72,25.16,25.54,537300
2023-09-21,25.57,25.97,25.23,25.24,1333700
2023-09-20,26.14,26.27,25.96,26.02,391500
2023-09-19,26.07,26.37,25.96,26.0,309800
2023-09-18,26.25,26.4,25.94,26.18,227400
2023-09-15,26.0,26.34,25.78,26.25,1065800
2023-09-14,25.09,26.0,25.09,25.98,344900
2023-09-13,24.9,25.16,24.87,25.04,249300
2023-09-12,24.78,25.09,24.75,24.98,298000
2023-09-11,24.88,25.07,24.59,24.78,388300
2023-09-08,24.21,24.88,24.21,24.7,346400
2023-09-07,23.71,24.51,23.62,24.35,304600
2023-09-06,24.49,24.59,23.7,23.94,830500
2023-09-05,25.18,25.31,24.62,24.62,487000
2023-09-01,25.42,25.78,25.06,25.18,273700
2023-08-31,25.85,26.22,25.37,25.42,207600
2023-08-30,26.4,26.59,25.68,25.72,429600
2023-08-29,26.4,26.94,26.35,26.74,344500
2023-08-28,26.26,26.71,26.26,26.48,106300
2023-08-25,26.05,26.44,26.05,26.3,119100
2023-08-24,25.86,26.49,25.86,26.18,281400
2023-08-23,25.59,26.06,25.48,26.06,215300
2023-08-22,26.07,26.07,25.37,25.37,293800
2023-08-21,26.03,26.21,25.84,25.88,279900
2023-08-18,26.02,26.27,25.91,26.09,620000
2023-08-17,26.45,26.6,26.12,26.13,215800
2023-08-16,26.12,26.36,26.05,26.32,187400
2023-08-15,26.6,26.6,25.77,26.11,179000
2023-08-14,26.5,26.9,26.25,26.58,136600
2023-08-11,26.33,26.73,26.16,26.47,129700
2023-08-10,26.39,26.74,26.08,26.43,193200
2023-08-09,26.8,26.99,26.12,26.42,373400
2023-08-08,26.59,27.09,26.4,26.8,161900
2023-08-07,26.78,27.31,26.57,26.69,126600
2023-08-04,26.86,27.73,26.46,26.76,300200
2023-08-03,26.83,26.87,26.32,26.4,290100
2023-08-02,28.08,28.09,26.73,26.75,529600
2023-08-01,29.0,29.13,28.04,28.2,303300
2023-07-31,29.38,29.99,29.15,29.15,258900
2023-07-28,29.82,29.82,29.14,29.38,168600
2023-07-27,29.9,30.14,29.59,29.64,176200
2023-07-26,29.73,30.06,29.7,29.9,131000
2023-07-25,29.74,30.11,29.74,29.86,171400
2023-07-24,30.18,30.3,29.62,29.93,295100
2023-07-21,29.6,30.12,29.55,30.02,120900
2023-07-20,30.0,30.01,29.53,29.6,100800
2023-07-19,29.68,30.03,29.54,29.93,138500
2023-07-18,29.55,29.7,29.36,29.63,284600
2023-07-17,29.87,29.98,29.48,29.62,152900
2023-07-14,30.32,30.32,29.68,29.83,111800
2023-07-13,29.84,30.32,29.73,30.18,171900
2023-07-12,29.04,29.59,28.97,29.57,321900
2023-07-11,28.92,29.13,28.77,28.89,124400
2023-07-10,28.37,29.4,28.22,29.0,274100
2023-07-07,28.88,29.6,28.88,29.33,111200
2023-07-06,29.52,29.53,28.69,28.98,253400
2023-07-05,29.72,29.92,29.53,29.6,226700
2023-07-03,29.39,29.88,29.39,29.68,129400
2023-06-30,29.15,29.74,29.15,29.49,226600
2023-06-29,28.83,29.18,28.57,29.15,175500
2023-06-28,29.35,29.46,28.96,29.0,229500
2023-06-27,29.54,29.61,29.32,29.46,98800
2023-06-26,29.31,29.72,29.31,29.44,146000
2023-06-23,29.36,29.41,29.17,29.3,245600
2023-06-22,29.5,29.54,28.91,29.35,223400
2023-06-21,29.13,29.55,29.1,29.45,466800
2023-06-20,29.49,29.6,28.91,29.25,228300
2023-06-16,29.58,29.8,29.37,29.39,871600
2023-06-15,29.75,29.85,29.49,29.68,330800
2023-06-14,29.86,29.9,29.55,29.78,557000
2023-06-13,29.89,30.05,29.59,29.89,2145800
2023-06-12,31.92,31.92,31.07,31.63,271000
2023-06-09,31.75,32.28,31.74,31.96,103200
2023-06-08,32.0,32.09,31.55,31.85,77100
2023-06-07,31.94,32.19,31.49,31.95,177900
2023-06-06,31.88,31.88,31.59,31.81,73200
2023-06-05,31.37,31.83,31.35,31.83,126100
2023-06-02,30.76,31.48,30.55,31.37,187000
2023-06-01,30.26,30.85,30.18,30.54,265200
2023-05-31,30.42,30.65,29.96,30.32,281600
2023-05-30,30.67,30.95,30.5,30.74,152300
2023-05-26,30.27,31.22,30.26,31.07,177100
2023-05-25,30.69,30.69,30.07,30.45,164400
2023-05-24,31.35,31.37,30.56,30.71,175400
2023-05-23,31.89,32.06,31.44,31.56,186300
2023-05-22,31.71,32.0,31.61,31.87,115400
2023-05-19,31.56,31.89,31.43,31.58,94500
2023-05-18,31.5,31.83,30.95,31.34,150300
