date,open,high,low,close,volume
2024-01-25,62.14,62.15,61.3,61.62,1325984
2024-01-24,63.14,63.21,62.135,62.17,3191294
2024-01-23,61.15,62.1799,61.04,61.3,3452834
2024-01-22,59.8,60.4197,59.7,60.12,3230462
2024-01-19,60.24,60.54,59.72,60.53,2475483
2024-01-18,60.06,60.49,59.68,60.48,3051837
2024-01-17,60.29,60.51,60.015,60.42,3059942
2024-01-16,62.19,62.22,61.145,61.52,3371708
2024-01-12,63.71,64.035,63.155,63.26,2615638
2024-01-11,63.7,63.955,63.03,63.49,2355904
2024-01-10,63.92,64.28,63.5801,63.67,2976418
2024-01-09,64.77,64.85,64.475,64.6,2415651
2024-01-08,65.04,66.1267,64.96,66.02,2329018
2024-01-05,65.64,66.56,65.63,66.02,2159039
2024-01-04,66.3,66.79,66.13,66.59,1887983
2024-01-03,66.46,67.48,66.334,67.18,2372906
2024-01-02,67.99,68.41,67.74,67.91,2545063
2023-12-29,68.33,68.55,68.01,68.31,1555430
2023-12-28,68.84,69.11,68.575,68.62,1949494
2023-12-27,68.24,68.985,68.23,68.89,2339158
2023-12-26,68.0,68.45,67.96,68.22,1390217
2023-12-22,68.0,68.17,67.67,67.82,1896834
2023-12-21,67.25,67.88,67.07,67.79,2681183
2023-12-20,66.7,67.105,66.01,66.03,2048145
2023-12-19,66.8,67.4105,66.73,67.21,2594962
2023-12-18,66.09,66.5,65.975,66.09,2211872
2023-12-15,65.15,66.01,64.61,65.79,3616703
2023-12-14,64.98,65.86,64.97,65.53,3058464
2023-12-13,62.46,64.08,62.11,64.05,2656358
2023-12-12,62.29,62.33,61.79,62.15,1639086
2023-12-11,61.76,62.185,61.28,62.07,2896192
2023-12-08,62.24,62.78,62.06,62.46,2537104
2023-12-07,62.47,62.895,62.13,62.69,2981817
2023-12-06,62.56,62.58,61.345,61.45,2335602
2023-12-05,61.04,61.18,60.54,61.02,2189122
2023-12-04,61.61,61.96,61.22,61.36,2962748
2023-12-01,61.96,63.095,61.694,62.94,3721651
2023-11-30,60.91,61.02,60.63,60.96,1539415
2023-11-29,61.62,61.73,60.56,60.8,1957797
2023-11-28,61.29,61.77,60.98,61.64,1493079
2023-11-27,61.71,61.855,61.255,61.31,1493756
2023-11-24,61.8,62.385,61.8,62.01,1025140
2023-11-22,62.35,62.48,61.795,62.22,2335298
2023-11-21,62.29,62.67,62.23,62.52,1994045
2023-11-20,60.97,61.795,60.96,61.61,1695563
2023-11-17,61.01,61.16,60.6,60.91,1799768
2023-11-16,60.05,60.59,60.05,60.38,1612202
2023-11-15,60.68,61.0401,60.49,60.6,2140690
2023-11-14,60.17,60.81,60.14,60.65,2442797
2023-11-13,58.09,58.605,58.03,58.39,1692991
2023-11-10,57.53,58.18,57.2,58.07,1698505
2023-11-09,57.91,58.435,57.2601,57.3,1841706
2023-11-08,57.26,57.59,56.815,57.06,2175911
2023-11-07,57.76,57.76,57.205,57.53,2573470
2023-11-06,59.47,59.59,58.91,59.02,1726487
2023-11-03,58.9,59.48,58.88,59.12,2218658
2023-11-02,58.72,59.27,58.56,59.03,2102490
2023-11-01,57.54,58.075,57.19,57.93,2114184
2023-10-31,56.44,57.31,56.28,57.06,2607499
2023-10-30,57.92,58.115,57.39,57.55,1903108
2023-10-27,57.58,57.69,56.915,57.19,2595502
2023-10-26,56.64,57.06,56.22,56.72,2770973
2023-10-25,56.78,57.285,56.64,56.67,2826112
2023-10-24,55.54,56.295,55.45,56.22,3063509
2023-10-23,54.75,55.23,54.28,54.85,2064336
2023-10-20,55.29,55.441,54.8,54.85,3325855
2023-10-19,56.77,57.01,56.27,56.54,2955537
2023-10-18,57.56,57.76,56.85,57.15,3723135
2023-10-17,57.05,58.44,57.05,58.39,2773653
2023-10-16,57.43,58.29,57.215,57.81,2347183
2023-10-13,57.02,57.23,56.4074,56.6,2097393
2023-10-12,57.37,57.43,56.15,56.59,2878708
2023-10-11,57.48,57.68,56.9125,57.43,2288720
2023-10-10,57.05,57.42,56.765,57.1,2383940
2023-10-09,55.9,56.28,55.48,56.24,2079573
2023-10-06,56.01,57.21,55.53,56.95,2952104
2023-10-05,54.91,55.45,54.86,55.33,1771857
2023-10-04,55.24,55.24,54.44,55.04,3047501
2023-10-03,55.0,55.58,54.65,54.91,2353007
2023-10-02,56.5,56.59,55.44,55.91,2554736
2023-09-29,57.48,57.565,56.74,56.88,2231297
2023-09-28,56.69,57.34,56.3,57.2,2946034
2023-09-27,56.0,56.05,55.035,55.7,3087564
2023-09-26,55.5,55.79,54.935,55.0,2262146
2023-09-25,55.67,56.17,55.07,56.12,2831055
2023-09-22,57.49,57.51,56.72,56.75,2721719
2023-09-21,56.11,56.19,55.62,55.67,2406265
2023-09-20,57.91,58.5,57.46,57.47,1794447
2023-09-19,58.21,58.545,57.61,57.84,1929150
2023-09-18,58.67,58.67,58.13,58.25,1980096
2023-09-15,59.25,59.3,58.43,58.45,3046090
2023-09-14,58.56,58.86,58.29,58.4,4115302
2023-09-13,56.37,56.54,56.005,56.16,1919335
2023-09-12,56.65,56.97,56.365,56.49,1853780
2023-09-11,56.92,57.14,56.45,56.51,2391336
2023-09-08,55.01,55.36,54.85,54.99,1971059
2023-09-07,55.68,55.99,55.19,55.4,2600795
2023-09-06,58.57,58.73,57.92,58.5,2506959
2023-09-05,58.93,59.19,58.5,58.5,2069818
2023-09-01,58.41,58.98,58.095,58.26,2299159
2023-08-31,57.98,58.06,57.42,57.49,2152300
2023-08-30,57.89,58.0,57.5,57.75,2537900
2023-08-29,56.36,57.3,56.18,57.29,2769200
2023-08-28,56.05,56.49,55.76,56.07,2819100
2023-08-25,55.67,55.72,54.73,55.21,3110500
2023-08-24,55.35,55.81,55.12,55.37,2824100
2023-08-23,56.53,57.08,56.29,56.98,3254600
2023-08-22,56.35,56.5,54.89,55.36,4307200
2023-08-21,56.07,56.37,55.9,56.24,2390700
2023-08-18,55.73,55.96,55.43,55.8,2582900
2023-08-17,56.94,57.07,55.99,56.23,3994400
2023-08-16,55.82,56.36,55.54,55.62,3492500
2023-08-15,57.5,57.5,56.52,56.66,2639300
2023-08-14,57.55,58.02,57.04,57.84,2732300
2023-08-11,59.02,59.19,58.75,58.96,1946600
2023-08-10,60.08,60.42,59.22,59.32,1970600
2023-08-09,59.85,60.05,59.42,59.5,1622300
2023-08-08,58.63,59.49,58.22,59.43,1781500
2023-08-07,60.01,60.05,59.35,59.94,1561400
2023-08-04,59.76,60.65,59.76,59.89,2327900
2023-08-03,59.42,60.19,59.22,59.83,2652400
2023-08-02,60.01,60.41,59.44,59.68,2264100
2023-08-01,61.45,61.6,60.88,60.95,2272700
2023-07-31,62.02,62.66,61.97,62.65,1857100
2023-07-28,61.9,61.98,61.29,61.33,2122900
2023-07-27,62.91,63.07,61.95,62.04,2678100
2023-07-26,63.26,63.56,62.69,63.12,2543000
2023-07-25,63.44,64.48,63.03,64.19,4460700
2023-07-24,60.42,61.91,60.35,61.49,2775400
2023-07-21,60.98,61.03,60.39,60.74,1538700
2023-07-20,61.44,61.59,60.81,60.87,2689700
2023-07-19,60.5,60.84,60.33,60.6,1717300
2023-07-18,61.07,61.46,60.87,61.29,1874600
2023-07-17,60.8,61.16,60.56,61.11,2465700
2023-07-14,62.82,62.9,61.97,62.1,2484400
2023-07-13,61.84,62.48,61.69,62.33,2678100
2023-07-12,60.29,60.99,60.27,60.7,2993100
2023-07-11,58.11,58.78,57.97,58.76,2504200
2023-07-10,56.98,57.71,56.93,57.47,2240100
2023-07-07,57.44,58.4,57.36,58.03,2145000
2023-07-06,58.27,58.37,57.28,57.8,3042100
2023-07-05,60.23,60.27,59.41,59.42,2192800
2023-07-03,60.55,60.91,60.33,60.79,1439500
2023-06-30,59.86,59.89,59.46,59.67,2233600
2023-06-29,59.13,59.83,59.01,59.77,2479000
2023-06-28,59.48,59.65,59.1,59.38,2926600
2023-06-27,60.02,60.51,59.73,60.45,1976000
2023-06-26,59.16,59.66,59.09,59.55,2172600
2023-06-23,59.19,59.47,58.71,59.31,2854500
2023-06-22,60.8,61.22,60.73,60.9,2647700
2023-06-21,61.36,62.14,61.2,61.94,3155200
2023-06-20,62.55,62.7,61.91,62.36,2720100
2023-06-16,63.96,64.08,63.12,63.17,2867200
2023-06-15,62.75,64.17,62.75,63.98,3096800
2023-06-14,63.35,63.38,62.28,62.73,3445500
2023-06-13,61.29,61.49,61.08,61.42,3922300
2023-06-12,59.49,59.58,58.94,59.52,2153800
2023-06-09,60.18,60.28,59.65,59.66,1617800
