date,open,high,low,close,volume
2024-01-25,29.09,29.24,28.96,29.04,652676
2024-01-24,29.27,29.3,28.84,28.86,1187700
2024-01-23,29.15,29.18,28.89,29.05,954000
2024-01-22,28.96,29.24,28.96,29.07,1392200
2024-01-19,28.49,28.72,28.22,28.71,1162600
2024-01-18,28.45,28.46,28.15,28.45,1134900
2024-01-17,28.21,28.21,27.8,28.14,1264400
2024-01-16,28.66,28.78,28.46,28.59,2329600
2024-01-12,28.93,29.09,28.75,28.79,775100
2024-01-11,28.69,28.78,28.29,28.68,1097300
2024-01-10,28.12,28.47,28.12,28.41,1283500
2024-01-09,27.65,27.91,27.48,27.73,618200
2024-01-08,26.99,27.72,26.97,27.7,1135100
2024-01-05,26.76,27.08,26.69,26.84,847200
2024-01-04,26.88,27.06,26.74,26.87,5300300
2024-01-03,27.32,27.37,26.9,26.93,3850800
2024-01-02,28.22,28.22,27.63,27.71,2393200
2023-12-29,28.74,28.77,28.39,28.5,706700
2023-12-28,28.76,28.85,28.68,28.72,607000
2023-12-27,28.72,28.72,28.54,28.69,912200
2023-12-26,28.47,28.66,28.4,28.61,653300
2023-12-22,28.61,28.61,28.25,28.39,566800
2023-12-21,28.34,28.5,28.18,28.5,1356900
2023-12-20,28.63,28.64,27.9,27.91,855600
2023-12-19,28.43,28.6,28.4,28.59,1098300
2023-12-18,28.21,28.33,28.07,28.25,806800
2023-12-15,28.24,28.44,28.13,28.19,1019800
2023-12-14,27.71,28.03,27.62,27.92,2201300
2023-12-13,27.01,27.49,26.74,27.44,1364200
2023-12-12,26.8,26.98,26.68,26.98,623900
2023-12-11,26.73,26.88,26.67,26.84,1008300
2023-12-08,26.51,26.77,26.38,26.72,1092500
2023-12-07,26.4,26.56,26.24,26.55,832300
2023-12-06,26.8,26.85,26.35,26.36,990100
2023-12-05,26.56,26.65,26.39,26.57,848100
2023-12-04,26.69,26.87,26.48,26.72,1501400
2023-12-01,26.38,27.04,26.32,27.03,1087100
2023-11-30,26.71,26.71,26.36,26.43,910300
2023-11-29,26.44,26.69,26.44,26.53,2271200
2023-11-28,26.14,26.29,26.06,26.16,694600
2023-11-27,26.19,26.29,26.09,26.25,423500
2023-11-24,26.2,26.29,26.14,26.24,266100
2023-11-22,26.4,26.48,26.07,26.25,1507700
2023-11-21,26.23,26.35,26.15,26.26,1914700
2023-11-20,25.98,26.32,25.93,26.23,1837100
2023-11-17,25.79,25.91,25.75,25.85,1530900
2023-11-16,25.54,25.69,25.46,25.68,1066600
2023-11-15,25.73,25.92,25.55,25.64,2442800
2023-11-14,25.3,25.55,25.21,25.53,1080800
2023-11-13,24.49,24.67,24.37,24.61,721200
2023-11-10,24.32,24.57,24.16,24.57,504000
2023-11-09,24.62,24.74,24.16,24.19,560100
2023-11-08,24.3,24.43,24.19,24.31,572000
2023-11-07,24.27,24.5,24.23,24.39,468800
2023-11-06,24.73,24.73,24.29,24.43,425000
2023-11-03,24.21,24.51,24.11,24.45,638600
2023-11-02,23.56,23.88,23.55,23.85,804900
2023-11-01,22.82,23.11,22.77,23.1,784700
2023-10-31,22.56,22.82,22.47,22.77,1068000
2023-10-30,22.61,22.7,22.4,22.53,913700
2023-10-27,22.63,22.63,22.26,22.34,863000
2023-10-26,22.62,22.8,22.28,22.41,1376800
2023-10-25,23.25,23.33,22.74,22.74,1076800
2023-10-24,23.2,23.39,23.14,23.33,677200
2023-10-23,22.87,23.36,22.78,23.15,885800
2023-10-20,23.3,23.35,22.98,23.05,894700
2023-10-19,23.74,23.9,23.47,23.52,1157000
2023-10-18,24.13,24.16,23.68,23.71,1383200
2023-10-17,24.22,24.67,24.12,24.48,799500
2023-10-16,24.21,24.54,24.18,24.5,543800
2023-10-13,24.53,24.65,24.21,24.29,699800
2023-10-12,24.93,25.0,24.49,24.53,1042900
2023-10-11,24.93,25.0,24.58,24.76,1960700
2023-10-10,24.66,25.05,24.66,24.9,1043200
2023-10-09,24.41,24.68,24.33,24.6,1868900
2023-10-06,24.18,24.77,24.13,24.73,893800
2023-10-05,24.38,24.49,24.21,24.43,651600
2023-10-04,24.24,24.37,24.02,24.35,958100
2023-10-03,24.41,24.54,24.03,24.14,1638500
2023-10-02,24.8,24.9,24.61,24.7,690600
2023-09-29,25.03,25.06,24.66,24.72,568400
2023-09-28,24.55,24.82,24.39,24.71,499500
2023-09-27,24.36,24.51,24.15,24.41,762400
2023-09-26,24.3,24.42,24.09,24.12,913200
2023-09-25,24.41,24.62,24.33,24.62,949600
2023-09-22,24.65,24.75,24.5,24.57,694000
2023-09-21,24.75,24.75,24.45,24.46,1542300
2023-09-20,25.57,25.67,25.07,25.09,604800
2023-09-19,25.46,25.46,25.2,25.37,932300
2023-09-18,25.3,25.58,25.3,25.51,572900
2023-09-15,25.75,25.79,25.34,25.42,1022300
2023-09-14,25.88,25.94,25.64,25.79,972000
2023-09-13,25.66,25.76,25.55,25.63,1063100
2023-09-12,25.74,26.0,25.65,25.79,489500
2023-09-11,26.06,26.06,25.75,25.96,474100
2023-09-08,26.09,26.14,25.84,25.87,831300
2023-09-07,26.21,26.21,25.89,26.15,922300
2023-09-06,26.53,26.7,26.31,26.46,770100
2023-09-05,26.7,26.7,26.46,26.58,643800
2023-09-01,27.0,27.05,26.65,26.73,747800
2023-08-31,26.89,26.96,26.67,26.73,1316100
2023-08-30,26.71,26.92,26.61,26.83,1084900
2023-08-29,26.01,26.64,25.91,26.61,1103200
2023-08-28,26.01,26.17,25.88,26.13,853600
2023-08-25,25.74,26.0,25.42,25.78,1028100
2023-08-24,26.39,26.39,25.63,25.65,3276500
2023-08-23,25.75,26.17,25.71,26.11,998700
2023-08-22,25.97,25.97,25.52,25.57,763500
2023-08-21,25.46,25.75,25.32,25.7,1139500
2023-08-18,25.11,25.5,25.1,25.42,1667500
2023-08-17,25.88,25.93,25.32,25.38,1633800
2023-08-16,26.19,26.22,25.81,25.81,1145600
2023-08-15,26.48,26.64,26.28,26.29,671000
2023-08-14,26.16,26.59,26.02,26.59,1071200
2023-08-11,26.37,26.45,26.2,26.29,1178000
2023-08-10,26.76,27.03,26.48,26.57,1082200
2023-08-09,26.98,26.99,26.41,26.52,1390800
2023-08-08,27.32,27.32,26.95,27.12,1142300
