date,open,high,low,close,volume
2024-01-25,18.38,18.5,18.19,18.41,2831395
2024-01-24,18.41,18.68,18.21,18.27,7810403
2024-01-23,18.38,18.78,18.03,18.05,9316903
2024-01-22,17.62,18.2,17.565,18.08,7172490
2024-01-19,17.74,17.77,17.46,17.73,6400844
2024-01-18,18.08,18.14,17.605,17.82,7540779
2024-01-17,17.8,18.155,17.78,17.95,6295436
2024-01-16,18.3,18.42,17.98,18.08,8113254
2024-01-12,18.49,18.72,18.355,18.52,9170505
2024-01-11,18.48,18.545,18.03,18.26,8168515
2024-01-10,18.57,18.82,18.33,18.59,7917304
2024-01-09,19.05,19.14,18.61,18.68,7818412
2024-01-08,19.04,19.35,18.91,19.28,7337910
2024-01-05,19.0,19.579,18.89,19.17,13329492
2024-01-04,19.57,19.61,19.03,19.1,8777263
2024-01-03,19.325,19.93,18.965,19.64,10627585
2024-01-02,20.27,20.35,19.65,19.77,6611889
2023-12-29,20.73,20.775,20.36,20.42,6656172
2023-12-28,20.82,20.94,20.72,20.82,5550370
2023-12-27,20.79,21.18,20.75,20.92,5314284
2023-12-26,20.85,21.025,20.74,20.86,4641015
2023-12-22,21.01,21.1,20.615,20.74,6261840
2023-12-21,20.98,21.05,20.71,20.89,9336010
2023-12-20,21.05,21.21,20.7101,20.81,12110777
2023-12-19,20.58,21.41,20.57,21.15,15451549
2023-12-18,20.26,21.165,19.9,20.5,43017459
2023-12-15,19.02,19.54,18.57,18.7,17245369
2023-12-14,18.25,19.07,18.25,18.87,12988487
2023-12-13,17.3,18.17,17.16,18.08,15232930
2023-12-12,17.3,17.36,17.08,17.26,5159329
2023-12-11,17.13,17.425,17.085,17.33,5757076
2023-12-08,17.3,17.85,17.26,17.38,4344664
2023-12-07,17.51,17.57,17.29,17.33,6156901
2023-12-06,17.75,18.025,17.4,17.47,7249569
2023-12-05,18.18,18.26,17.645,17.73,7941734
2023-12-04,18.1,18.51,18.05,18.33,8702767
2023-12-01,17.28,18.37,17.16,18.26,16898636
2023-11-30,16.92,17.279,16.88,17.16,9017282
2023-11-29,16.85,16.99,16.615,16.9,7380165
2023-11-28,16.81,16.975,16.6,16.73,7018243
2023-11-27,16.75,17.185,16.69,16.83,7224963
2023-11-24,16.84,16.94,16.64,16.78,2559730
2023-11-22,16.91,16.95,16.68,16.85,5420289
2023-11-21,17.05,17.135,16.885,16.89,5212363
2023-11-20,17.06,17.45,17.015,17.06,6212721
2023-11-17,17.19,17.22,16.97,16.99,4442033
2023-11-16,16.96,17.2,16.86,17.04,5741163
2023-11-15,16.83,17.34,16.82,17.02,7426825
2023-11-14,17.0,17.16,16.7847,16.83,7783978
2023-11-13,16.41,16.6396,16.41,16.51,4210939
2023-11-10,16.45,16.65,16.37,16.55,6101590
2023-11-09,16.93,16.9578,16.41,16.44,5657018
2023-11-08,16.99,16.99,16.35,16.71,9682201
2023-11-07,17.11,17.1673,16.89,17.07,8748968
2023-11-06,17.21,17.49,17.045,17.36,9658914
