date,open,high,low,close,volume
2024-01-25,79.27,79.98,78.47,78.85,142860
2024-01-24,79.87,80.265,78.78,78.83,297187
2024-01-23,79.95,80.66,78.84,79.55,301132
2024-01-22,78.6,79.36,78.28,79.35,276935
2024-01-19,77.79,78.41,76.84,78.4,263110
2024-01-18,77.49,77.74,76.18,77.5,366845
2024-01-17,76.83,77.28,76.03,76.99,363569
2024-01-16,76.69,77.7,75.72,77.67,438197
2024-01-12,78.07,78.77,77.04,77.39,296237
2024-01-11,77.45,77.905,76.88,77.57,259590
2024-01-10,77.59,77.94,76.66,77.79,327345
2024-01-09,76.35,77.81,75.91,77.51,324387
2024-01-08,75.39,76.99,75.14,76.75,364781
2024-01-05,75.0,76.59,73.62,75.37,744590
2024-01-04,76.37,76.97,75.71,76.89,344744
2024-01-03,78.47,78.47,76.66,76.7,304271
2024-01-02,79.39,79.75,78.45,79.32,463182
2023-12-29,80.32,80.79,79.45,79.54,252552
2023-12-28,80.0,80.54,79.9,80.44,269200
2023-12-27,80.91,81.04,80.24,80.36,250344
2023-12-26,80.49,81.34,79.75,80.8,329969
2023-12-22,80.0,80.97,79.38,80.19,412821
2023-12-21,81.69,82.3,81.32,81.99,238502
2023-12-20,83.03,83.11,81.3,81.3,271072
2023-12-19,81.92,82.97,81.92,82.96,373388
2023-12-18,81.59,81.77,80.93,81.68,219640
2023-12-15,82.5,83.34,81.2134,81.51,633815
2023-12-14,82.0,83.24,81.79,82.39,375956
2023-12-13,79.25,81.58,79.16,81.5,321229
2023-12-12,80.95,80.95,79.225,79.6,309764
2023-12-11,80.12,81.19,80.12,80.9,250538
2023-12-08,79.98,80.82,79.655,80.13,253869
2023-12-07,80.36,81.03,79.82,80.02,432468
2023-12-06,79.92,81.0675,79.8,80.44,264416
2023-12-05,80.72,80.87,79.43,79.53,380319
2023-12-04,79.45,81.795,79.45,81.21,358200
2023-12-01,78.12,79.8,77.62,79.77,334232
2023-11-30,78.0,78.86,77.11,78.33,449175
2023-11-29,77.17,77.86,77.02,77.69,504548
2023-11-28,75.42,77.0,74.98,76.43,461833
2023-11-27,74.85,75.42,73.7,75.37,481969
2023-11-24,74.89,75.47,74.55,75.43,168995
2023-11-22,74.78,75.34,74.5,74.89,351657
2023-11-21,75.1,75.23,74.16,74.71,486892
2023-11-20,76.9,76.9,74.85,75.4,419160
2023-11-17,77.97,77.97,76.7,76.9,299851
2023-11-16,77.8,77.8,76.05,76.54,314157
2023-11-15,77.34,79.68,77.34,78.06,395725
2023-11-14,77.22,78.43,77.06,77.35,374161
2023-11-13,75.81,75.825,74.88,75.05,446891
2023-11-10,76.88,76.97,75.3,76.35,418924
2023-11-09,77.81,78.02,76.675,76.82,318546
2023-11-08,77.75,78.42,77.04,77.38,390600
2023-11-07,77.19,77.75,76.9,77.27,260400
2023-11-06,77.88,78.12,76.71,77.65,443900
2023-11-03,76.72,77.98,76.41,77.59,429000
2023-11-02,75.14,76.73,74.97,75.89,605300
2023-11-01,73.98,74.02,72.13,73.98,745000
2023-10-31,71.89,74.13,71.21,73.8,651600
2023-10-30,71.81,72.39,70.79,71.8,608400
2023-10-27,69.45,73.21,66.01,71.34,1516500
2023-10-26,69.99,70.99,69.38,70.37,822900
2023-10-25,70.52,70.84,69.96,70.25,574200
2023-10-24,71.49,72.7,70.41,70.42,572800
2023-10-23,71.11,72.13,70.55,71.3,389000
2023-10-20,72.16,72.92,71.21,71.33,638700
2023-10-19,74.63,75.08,72.94,73.01,723900
2023-10-18,75.4,75.78,74.79,74.94,304100
2023-10-17,74.37,76.52,74.24,75.98,513100
2023-10-16,72.17,74.6,72.05,74.47,467700
2023-10-13,71.1,71.83,70.39,71.77,291400
2023-10-12,71.39,71.49,70.16,70.97,290400
2023-10-11,70.46,71.54,70.46,71.2,328200
2023-10-10,70.32,71.16,69.93,70.32,353000
2023-10-09,70.22,70.85,69.54,70.55,412900
2023-10-06,70.58,71.64,69.94,70.98,289000
2023-10-05,71.09,71.89,70.39,71.01,284100
2023-10-04,70.73,71.18,69.93,70.96,277600
2023-10-03,70.5,71.39,70.19,70.73,402300
2023-10-02,74.33,74.63,70.44,70.83,572400
2023-09-29,74.38,74.98,73.43,74.1,551400
2023-09-28,70.84,72.72,70.52,72.56,434400
2023-09-27,70.21,70.88,69.76,70.54,482300
2023-09-26,69.61,70.67,69.59,69.96,314400
2023-09-25,69.7,70.33,69.57,70.16,295700
2023-09-22,70.29,70.7,69.82,69.95,329800
2023-09-21,71.17,71.18,70.16,70.21,233300
2023-09-20,71.75,72.58,71.58,71.63,397500
2023-09-19,70.61,71.56,70.07,71.46,417500
2023-09-18,71.83,72.0,70.37,70.56,382300
2023-09-15,71.65,72.22,71.52,71.76,658400
2023-09-14,71.71,71.99,71.09,71.74,430000
2023-09-13,71.52,71.54,70.91,71.1,469900
2023-09-12,70.04,71.91,70.0,71.69,415000
2023-09-11,72.15,72.15,70.01,70.43,416100
2023-09-08,72.42,72.42,71.54,71.58,398800
2023-09-07,71.77,72.8,71.77,72.15,549000
