date,open,high,low,close,volume
2024-01-25,24.57,25.08,24.57,24.86,445611
2024-01-24,24.93,24.96,24.075,24.21,769209
2024-01-23,25.29,25.5,24.475,24.62,1187930
2024-01-22,24.72,25.63,24.71,24.98,1202552
2024-01-19,24.71,24.71,24.22,24.61,1030366
2024-01-18,24.76,24.8,24.49,24.61,849522
2024-01-17,25.0,25.12,24.52,24.7,820230
2024-01-16,25.68,25.805,25.29,25.37,807790
2024-01-12,26.3,26.43,25.75,25.84,815900
2024-01-11,26.51,26.53,25.6,26.01,1532100
2024-01-10,26.94,26.95,26.6,26.69,474000
2024-01-09,26.96,27.14,26.76,27.0,558100
2024-01-08,26.84,27.6,26.76,27.25,1147000
2024-01-05,26.65,27.42,26.53,26.85,1217000
2024-01-04,26.77,27.05,26.65,26.83,1014700
2024-01-03,27.0,27.0,26.52,26.84,829800
2024-01-02,27.35,27.68,27.1,27.19,1240300
2023-12-29,27.47,27.6,27.33,27.43,655000
2023-12-28,27.43,27.82,27.43,27.71,465300
2023-12-27,27.73,27.82,27.48,27.64,377200
2023-12-26,27.42,27.77,27.35,27.7,376700
2023-12-22,27.3,27.64,27.26,27.37,428300
2023-12-21,26.78,27.22,26.71,27.16,628900
2023-12-20,26.89,27.19,26.45,26.5,905600
2023-12-19,26.3,26.93,26.04,26.88,1142400
2023-12-18,26.68,26.68,25.99,26.08,814800
2023-12-15,26.82,26.85,26.24,26.63,2904200
2023-12-14,26.73,27.31,26.37,26.66,1599900
2023-12-13,24.6,26.29,24.4,26.1,1418200
2023-12-12,24.79,24.79,24.28,24.56,925000
2023-12-11,24.73,25.17,24.62,24.9,685600
2023-12-08,24.87,25.08,24.67,24.88,1059400
2023-12-07,25.12,25.36,24.89,24.96,815100
2023-12-06,25.26,25.46,24.79,25.0,1062500
2023-12-05,25.25,25.5,25.06,25.09,843400
2023-12-04,24.93,25.68,24.81,25.22,1257300
2023-12-01,24.94,25.43,24.62,25.23,1748300
2023-11-30,24.77,25.16,24.65,24.97,2161900
2023-11-29,25.23,25.59,24.97,25.25,19954500
2023-11-28,24.68,25.76,24.45,25.22,6951100
2023-11-27,22.71,22.99,22.69,22.87,892000
2023-11-24,23.0,23.09,22.69,22.73,279100
2023-11-22,22.98,23.06,22.64,23.0,631600
2023-11-21,22.6,22.79,22.28,22.72,604100
2023-11-20,22.58,22.77,22.34,22.69,686000
2023-11-17,22.77,22.77,22.25,22.67,720200
2023-11-16,22.96,23.21,22.4,22.63,767500
2023-11-15,23.07,23.5,22.87,22.92,762600
2023-11-14,22.12,23.21,22.12,23.07,794800
2023-11-13,21.43,21.63,21.25,21.35,632400
2023-11-10,21.73,21.73,21.27,21.47,645500
2023-11-09,22.03,22.14,21.61,21.67,649500
2023-11-08,22.48,22.49,22.04,22.09,600000
2023-11-07,22.38,23.06,22.38,22.68,817700
2023-11-06,22.91,22.91,22.33,22.45,704700
2023-11-03,23.28,23.68,22.87,22.87,1196400
2023-11-02,22.44,23.06,22.0,22.77,1374300
2023-11-01,21.68,22.24,21.43,22.12,1000200
2023-10-31,21.76,21.94,21.52,21.71,1075800
2023-10-30,21.78,22.02,21.52,21.73,913700
2023-10-27,22.34,22.48,21.46,21.55,988700
2023-10-26,22.15,22.87,22.15,22.48,1573700
2023-10-25,21.75,22.08,21.56,22.02,1124500
2023-10-24,21.33,22.22,21.12,21.94,1580600
2023-10-23,20.95,21.33,20.76,20.88,829400
2023-10-20,21.24,21.7,21.14,21.22,2832600
2023-10-19,21.5,21.76,21.27,21.34,1220200
2023-10-18,21.82,21.92,21.38,21.59,905300
2023-10-17,21.74,22.23,21.7,22.01,1521500
2023-10-16,21.82,22.41,21.47,22.15,1996500
2023-10-13,21.98,22.11,21.5,21.58,1194400
2023-10-12,21.84,22.05,21.4,21.62,1233600
2023-10-11,22.12,22.2,21.78,22.05,1323500
2023-10-10,21.02,22.17,21.02,21.96,2247400
2023-10-09,20.85,21.09,20.61,20.92,1903700
2023-10-06,19.0,21.0,18.81,20.79,2874000
2023-10-05,19.19,19.25,18.59,18.76,1285800
2023-10-04,19.33,19.61,18.83,19.27,1384800
2023-10-03,19.52,19.53,18.92,19.26,1724700
2023-10-02,21.12,21.16,19.61,19.75,2376600
2023-09-29,21.08,21.55,20.91,21.16,2477300
2023-09-28,21.56,21.56,19.79,20.79,3832300
2023-09-27,22.89,22.97,21.37,21.49,2807600
2023-09-26,23.73,23.74,23.24,23.26,843400
2023-09-25,23.55,23.95,23.49,23.89,753300
2023-09-22,23.9,24.01,23.56,23.73,808500
2023-09-21,24.71,24.71,23.91,23.95,853600
2023-09-20,24.84,25.01,24.45,24.86,1030500
