date,open,high,low,close,volume
2024-01-25,24.33,24.33,23.925,24.03,28647
2024-01-24,24.58,24.59,24.05,24.06,47400
2024-01-23,24.35,24.48,24.15,24.3,72700
2024-01-22,24.26,24.75,24.23,24.38,70800
2024-01-19,23.79,24.06,23.57,24.04,105300
2024-01-18,23.86,23.98,23.54,23.73,92300
2024-01-17,23.56,23.79,23.46,23.78,143500
2024-01-16,23.98,24.2,23.82,23.99,517600
2024-01-12,24.6,24.72,24.24,24.28,45100
2024-01-11,24.92,25.1,24.3,24.58,90300
2024-01-10,24.61,24.87,24.44,24.75,122300
2024-01-09,24.78,24.99,24.65,24.68,50200
2024-01-08,24.34,25.0,24.34,25.0,115700
2024-01-05,24.11,24.45,24.09,24.2,26000
2024-01-04,24.1,24.42,23.97,24.21,51800
2024-01-03,24.17,24.38,24.06,24.11,107900
2024-01-02,25.51,25.51,24.76,24.81,335000
2023-12-29,26.0,26.12,25.44,25.57,91500
2023-12-28,25.94,26.19,25.93,26.08,86200
2023-12-27,25.73,26.15,25.73,26.08,276200
2023-12-26,25.54,25.83,25.53,25.71,94200
2023-12-22,25.39,25.74,25.39,25.64,97000
2023-12-21,25.2,25.45,25.11,25.38,69500
2023-12-20,25.35,25.73,24.88,24.88,120800
2023-12-19,24.87,25.41,24.87,25.38,181500
2023-12-18,24.37,24.9,24.37,24.75,476000
2023-12-15,24.71,24.79,24.39,24.47,79800
2023-12-14,24.62,25.11,24.43,24.71,146900
2023-12-13,23.52,24.49,23.39,24.38,89900
2023-12-12,23.47,23.65,23.37,23.6,102200
2023-12-11,23.43,23.59,23.41,23.49,52600
2023-12-08,23.1,23.62,23.1,23.57,139400
2023-12-07,23.1,23.22,22.94,23.22,140000
2023-12-06,23.35,23.5,23.02,23.05,97400
2023-12-05,23.0,23.18,22.91,23.02,71500
2023-12-04,23.0,23.29,22.94,23.16,69300
2023-12-01,22.19,23.08,22.1,23.0,109500
2023-11-30,22.46,22.46,22.1,22.32,67200
2023-11-29,22.34,22.68,22.34,22.4,48000
2023-11-28,21.69,22.23,21.69,22.19,71200
2023-11-27,21.43,21.83,21.43,21.78,57600
2023-11-24,21.29,21.59,21.29,21.59,20700
2023-11-22,21.22,21.38,21.2,21.35,66100
2023-11-21,21.32,21.32,21.07,21.13,33800
2023-11-20,21.01,21.38,21.01,21.32,37500
2023-11-17,20.87,21.07,20.87,21.04,57100
2023-11-16,21.01,21.02,20.68,20.79,49100
2023-11-15,20.78,21.25,20.78,21.07,49300
2023-11-14,20.51,20.87,20.51,20.78,46200
2023-11-13,19.8,20.1,19.79,20.02,61100
2023-11-10,19.77,19.93,19.64,19.87,127400
2023-11-09,20.01,20.2,19.75,19.76,41400
2023-11-08,19.68,20.01,19.55,19.96,71000
2023-11-07,19.71,19.93,19.61,19.83,41200
2023-11-06,19.92,19.96,19.56,19.68,40400
2023-11-03,19.65,20.02,19.65,19.88,60900
2023-11-02,19.25,19.59,19.25,19.56,49200
2023-11-01,18.75,18.87,18.62,18.84,27400
2023-10-31,18.46,18.74,18.45,18.71,64600
2023-10-30,18.46,18.57,18.25,18.45,29900
2023-10-27,18.65,18.65,18.17,18.19,32200
2023-10-26,18.74,18.77,18.35,18.56,84500
2023-10-25,19.25,19.25,18.65,18.72,102400
2023-10-24,19.41,19.75,19.35,19.51,37400
2023-10-23,19.09,19.47,18.9,19.16,34100
2023-10-20,19.48,19.57,19.17,19.19,67800
2023-10-19,19.68,19.85,19.46,19.56,80300
