date,open,high,low,close,volume
2024-01-25,44.44,44.5069,44.3001,44.4999,54129
2024-01-24,44.83,44.83,44.26,44.28,107063
2024-01-23,44.56,44.88,44.56,44.82,369431
2024-01-22,44.43,44.55,44.31,44.38,126418
2024-01-19,44.72,44.72,44.34,44.55,77591
2024-01-18,44.67,44.7488,44.3814,44.72,112438
2024-01-17,44.62,44.907,44.62,44.78,53818
2024-01-16,44.99,45.064,44.665,44.84,77492
2024-01-12,44.98,45.14,44.9199,45.06,71726
2024-01-11,44.91,44.95,44.62,44.92,56421
2024-01-10,45.0,45.1622,44.81,44.94,97098
2024-01-09,44.74,44.98,44.595,44.98,180062
2024-01-08,44.52,44.89,44.52,44.87,73588
2024-01-05,44.63,44.81,44.2844,44.52,79536
2024-01-04,44.68,44.9189,44.62,44.64,80563
2024-01-03,45.11,45.22,44.66,44.71,206098
2024-01-02,44.44,45.15,44.44,45.13,219797
2023-12-29,44.52,44.6301,44.44,44.63,104621
2023-12-28,44.5,44.61,44.4301,44.56,84980
2023-12-27,44.42,44.64,44.42,44.63,151745
2023-12-26,44.19,44.52,44.18,44.45,300369
2023-12-22,43.98,44.34,43.98,44.21,189600
2023-12-21,43.8,43.95,43.58,43.95,146400
2023-12-20,44.17,44.23,43.6,43.63,164600
2023-12-19,44.25,44.47,44.25,44.47,175700
2023-12-18,43.98,44.44,43.98,44.27,203900
2023-12-15,43.94,44.0,43.73,43.85,159200
2023-12-14,44.85,44.88,44.18,44.2,173200
2023-12-13,43.95,44.8,43.87,44.8,179500
2023-12-12,43.93,43.97,43.74,43.94,202500
2023-12-11,43.55,43.84,43.55,43.81,170500
2023-12-08,43.68,43.68,43.35,43.41,128200
2023-12-07,43.53,43.8,43.46,43.69,109000
2023-12-06,43.56,43.57,43.34,43.46,116300
2023-12-05,43.88,43.88,43.54,43.59,60500
2023-12-04,43.65,44.02,43.56,43.9,109700
2023-12-01,43.48,43.8,43.44,43.77,96900
2023-11-30,43.13,43.52,42.92,43.52,54300
2023-11-29,43.46,43.46,43.05,43.11,73000
2023-11-28,43.27,43.58,43.27,43.44,192700
2023-11-27,43.45,43.47,43.28,43.32,79400
2023-11-24,43.27,43.46,43.27,43.44,23100
2023-11-22,43.0,43.3,43.0,43.29,91300
2023-11-21,42.81,42.98,42.68,42.93,79900
2023-11-20,42.67,42.9,42.65,42.85,104100
2023-11-17,42.91,42.91,42.72,42.81,66100
2023-11-16,43.05,43.05,42.82,42.89,82800
2023-11-15,43.32,43.49,43.31,43.42,99900
2023-11-14,42.9,43.24,42.9,43.15,160800
2023-11-13,42.45,42.78,42.45,42.68,124800
2023-11-10,42.35,42.58,42.17,42.52,90100
2023-11-09,42.49,42.52,42.19,42.3,195900
2023-11-08,42.74,42.75,42.36,42.46,171300
2023-11-07,42.58,42.82,42.54,42.68,92500
2023-11-06,42.46,42.7,42.46,42.59,56500
2023-11-03,42.6,42.79,42.49,42.49,105800
2023-11-02,41.97,42.43,41.91,42.4,160300
2023-11-01,41.87,41.95,41.61,41.81,175300
2023-10-31,41.79,41.9,41.58,41.86,77500
2023-10-30,41.26,41.8,41.26,41.74,88000
2023-10-27,41.59,41.72,41.03,41.14,127100
2023-10-26,41.97,42.1,41.67,41.67,257000
2023-10-25,41.73,42.04,41.6,41.93,107000
2023-10-24,41.5,41.85,41.5,41.77,97800
2023-10-23,41.39,41.71,41.28,41.39,97700
2023-10-20,41.74,41.9,41.49,41.5,115700
2023-10-19,42.02,42.1,41.66,41.69,84500
2023-10-18,41.93,42.29,41.92,41.96,83700
2023-10-17,41.49,41.94,41.49,41.89,174800
2023-10-16,41.35,41.74,41.27,41.64,71300
2023-10-13,40.9,41.21,40.87,41.18,86400
2023-10-12,41.48,41.48,40.73,40.85,138800
2023-10-11,41.84,41.9,41.25,41.44,173000
