date,open,high,low,close,volume
2024-01-25,61.8,61.94,61.4297,61.6,36900
2024-01-24,62.38,62.38,61.53,61.56,20315
2024-01-23,61.78,62.32,61.78,62.21,108414
2024-01-22,61.98,62.11,61.6602,61.69,45623
2024-01-19,62.8,62.8,62.135,62.41,25225
2024-01-18,62.87,62.87,62.351,62.75,37172
2024-01-17,62.78,63.34,62.78,63.0826,25762
2024-01-16,63.13,63.2122,62.85,63.05,27865
2024-01-12,63.35,63.561,63.1287,63.22,22557
2024-01-11,63.12,63.24,62.86,63.21,57135
2024-01-10,63.55,63.63,63.09,63.2034,19735
2024-01-09,63.13,63.54,63.105,63.54,72435
2024-01-08,63.14,63.34,62.89,63.34,29947
2024-01-05,63.16,63.4693,62.8,63.0607,17698
2024-01-04,63.48,63.7075,63.23,63.23,28635
2024-01-03,64.12,64.16,63.42,63.4799,78938
2024-01-02,62.85,64.2406,62.85,64.1315,64152
2023-12-29,63.07,63.1399,62.84,63.09,37366
2023-12-28,62.84,63.2,62.82,63.06,27249
2023-12-27,62.72,62.97,62.682,62.91,39019
2023-12-26,62.24,62.86,62.185,62.7,31701
2023-12-22,62.2,62.54,62.14,62.26,44532
2023-12-21,62.0643,62.3195,61.82,62.29,33595
2023-12-20,62.48,62.73,61.75,61.75,35159
2023-12-19,62.43,62.9,62.43,62.87,16365
2023-12-18,62.22,62.66,62.04,62.41,92600
2023-12-15,62.71,62.76,61.91,62.03,21200
2023-12-14,63.58,63.64,62.72,62.73,17300
2023-12-13,62.12,63.4,61.93,63.37,22700
2023-12-12,62.11,62.21,61.92,62.08,23800
2023-12-11,61.73,62.11,61.73,62.1,1028800
2023-12-08,61.83,62.0,61.56,61.65,25500
2023-12-07,61.53,61.93,61.31,61.83,49700
2023-12-06,61.57,61.6,61.34,61.43,47000
2023-12-05,61.48,61.69,61.32,61.32,14600
2023-12-04,61.08,61.87,61.08,61.56,19400
2023-12-01,60.7,61.3,60.7,61.28,45300
2023-11-30,59.92,60.73,59.92,60.7,28900
2023-11-29,60.54,60.54,59.82,59.86,23500
2023-11-28,60.59,60.78,60.45,60.51,16500
2023-11-27,60.84,60.84,60.6,60.63,48900
2023-11-24,60.72,61.09,60.72,60.94,6400
2023-11-22,60.34,60.85,60.34,60.81,20800
2023-11-21,60.25,60.37,60.12,60.2,32000
2023-11-20,59.9,60.42,59.9,60.27,45200
2023-11-17,60.08,60.08,59.7,59.96,114900
2023-11-16,60.09,60.25,59.76,59.84,18900
2023-11-15,60.31,60.48,60.11,60.16,37900
2023-11-14,60.22,60.32,59.97,60.21,19100
2023-11-13,59.57,59.81,59.57,59.62,44300
2023-11-10,59.36,59.7,59.35,59.61,39000
2023-11-09,59.91,59.94,59.46,59.59,41100
2023-11-08,60.13,60.26,59.65,59.71,35400
2023-11-07,59.97,60.28,59.87,59.98,83100
2023-11-06,60.04,60.17,59.94,59.94,45300
2023-11-03,59.65,60.02,59.65,59.71,91600
2023-11-02,58.76,59.19,58.54,59.14,23100
2023-11-01,58.1,58.46,58.1,58.25,31200
2023-10-31,58.05,58.26,57.84,58.12,77700
2023-10-30,57.69,58.15,57.57,58.0,52200
2023-10-27,57.91,58.04,57.23,57.36,126700
2023-10-26,58.18,58.45,57.97,57.97,34700
2023-10-25,57.54,58.11,57.42,58.08,50400
2023-10-24,57.45,57.83,57.45,57.6,56500
2023-10-23,57.44,57.74,57.27,57.32,106200
2023-10-20,58.07,58.2,57.59,57.61,136100
2023-10-19,58.48,58.76,58.02,58.11,109100
2023-10-18,58.66,59.21,58.46,58.46,96900
2023-10-17,57.91,58.94,57.91,58.78,118700
2023-10-16,57.9,58.3,57.68,58.09,31500
2023-10-13,57.18,57.55,57.1,57.54,97200
2023-10-12,58.69,58.69,56.82,57.04,157600
2023-10-11,59.37,59.37,58.32,58.65,393100
2023-10-10,58.95,59.46,58.95,59.18,53700
2023-10-09,57.93,58.75,57.93,58.73,143000
2023-10-06,58.35,58.41,57.39,58.13,41800
2023-10-05,59.47,59.55,58.59,58.59,203200
2023-10-04,59.23,59.38,58.65,59.36,76200
2023-10-03,59.43,59.65,58.97,59.08,89000
2023-10-02,60.24,60.24,59.48,59.71,133000
2023-09-29,60.78,60.87,60.25,60.34,675000
2023-09-28,60.55,60.74,60.43,60.56,23300
2023-09-27,60.97,61.05,60.19,60.44,77700
2023-09-26,61.11,61.24,60.89,60.89,70100
2023-09-25,61.18,61.48,61.08,61.38,64200
2023-09-22,62.15,62.15,61.37,61.4,156700
2023-09-21,62.58,62.75,62.34,62.34,82600
2023-09-20,63.23,63.35,62.82,62.86,29900
2023-09-19,63.23,63.41,63.05,63.1,58300
2023-09-18,63.23,63.5,63.12,63.28,87600
2023-09-15,63.51,63.7,63.18,63.18,93300
2023-09-14,63.08,63.63,63.08,63.55,26800
2023-09-13,62.96,63.21,62.79,62.92,58900
2023-09-12,63.09,63.21,62.88,63.02,28600
2023-09-11,62.56,62.93,62.56,62.75,60200
2023-09-08,62.15,62.43,62.14,62.36,124700
2023-09-07,61.72,62.22,61.72,62.1,112500
2023-09-06,62.0,62.24,61.69,61.78,334700
2023-09-05,62.55,62.55,62.09,62.11,49900
2023-09-01,63.2,63.39,62.66,62.73,46000
2023-08-31,63.55,63.55,63.06,63.07,54500
2023-08-30,63.62,63.69,63.48,63.48,24200
2023-08-29,63.09,63.41,62.85,63.41,1015700
2023-08-28,62.99,63.22,62.88,63.02,57500
2023-08-25,62.68,62.99,62.48,62.8,23500
2023-08-24,62.57,62.98,62.44,62.45,39400
2023-08-23,62.49,62.64,62.39,62.64,38900
2023-08-22,62.95,62.95,62.47,62.47,43400
2023-08-21,63.21,63.21,62.71,62.95,65700
2023-08-18,62.52,63.25,62.52,63.21,45500
2023-08-17,63.35,63.41,62.72,62.72,22100
2023-08-16,63.66,63.92,63.42,63.42,38500
2023-08-15,64.12,64.12,63.65,63.66,97700
2023-08-14,64.3,64.37,64.18,64.33,101600
2023-08-11,64.1,64.36,64.1,64.34,43300
2023-08-10,64.47,64.7,63.92,64.06,46800
2023-08-09,64.25,64.57,64.19,64.26,42500
2023-08-08,64.17,64.17,63.51,63.8,41900
2023-08-07,63.96,64.72,63.89,64.56,32400
2023-08-04,64.54,64.98,64.16,64.17,43300
2023-08-03,64.49,64.8,64.33,64.53,25600
2023-08-02,63.92,64.85,63.92,64.52,89300
2023-08-01,64.3,64.47,63.99,64.17,54100
2023-07-31,64.59,64.59,64.19,64.33,29500
2023-07-28,64.47,64.49,64.25,64.46,34300
2023-07-27,64.67,64.82,64.0,64.0,55100
2023-07-26,64.45,64.78,64.43,64.46,180800
