date,open,high,low,close,volume
2024-01-25,124.8,125.51,124.23,124.28,318947
2024-01-24,127.73,127.73,125.015,125.11,614069
2024-01-23,126.46,127.25,125.89,127.05,745221
2024-01-22,126.05,127.355,126.05,126.71,659088
2024-01-19,124.73,126.02,124.5,125.48,1334288
2024-01-18,124.08,124.58,123.14,124.28,612794
2024-01-17,122.98,123.64,122.735,123.37,699202
2024-01-16,123.2,123.76,122.5118,123.59,703654
2024-01-12,124.2,124.29,123.37,123.85,521000
2024-01-11,123.25,123.55,121.98,123.18,621400
2024-01-10,122.67,123.46,122.35,123.25,567200
2024-01-09,122.2,122.52,121.32,121.88,934700
2024-01-08,122.06,123.19,121.72,123.02,795200
2024-01-05,123.78,124.36,122.64,122.85,864600
2024-01-04,123.94,124.7,123.75,123.81,660900
2024-01-03,125.55,125.99,123.94,124.15,728100
2024-01-02,127.55,128.6,126.03,126.56,1023300
2023-12-29,128.4,128.95,128.08,128.54,622300
2023-12-28,128.54,129.06,128.25,128.76,440100
2023-12-27,129.0,129.32,128.34,128.67,443300
2023-12-26,127.85,129.06,127.77,128.91,488000
2023-12-22,127.4,128.8,127.39,128.06,730100
2023-12-21,126.98,127.45,126.47,127.42,486200
2023-12-20,126.75,128.12,126.01,126.05,623500
2023-12-19,126.47,127.42,126.47,127.04,659000
2023-12-18,125.45,126.51,125.06,126.46,582300
2023-12-15,125.6,126.64,125.15,126.13,3125400
2023-12-14,126.83,126.83,124.97,125.6,960600
2023-12-13,125.88,126.99,124.73,126.89,962000
2023-12-12,125.14,125.9,124.69,125.53,610600
2023-12-11,124.42,125.69,124.08,125.2,616400
2023-12-08,124.47,124.92,124.14,124.59,644600
2023-12-07,125.06,125.4,123.98,124.39,630300
2023-12-06,124.66,125.99,124.1,125.08,932600
2023-12-05,123.77,124.63,123.25,124.18,720600
2023-12-04,122.97,124.53,122.34,124.18,1106200
2023-12-01,122.04,123.72,121.7,123.64,575000
2023-11-30,121.14,122.5,120.97,122.24,1653500
2023-11-29,121.65,122.19,120.96,121.0,559900
2023-11-28,121.58,122.27,121.09,121.39,823200
2023-11-27,121.03,121.93,120.77,121.47,659700
2023-11-24,120.28,121.27,120.28,121.03,254400
2023-11-22,120.02,120.87,119.75,120.37,499200
2023-11-21,119.91,120.52,119.27,119.32,1065900
2023-11-20,119.26,120.4,118.79,120.07,449000
2023-11-17,119.67,119.86,119.19,119.51,1453100
2023-11-16,118.51,119.47,118.51,119.13,506900
