date,open,high,low,close,volume
2024-01-25,382.69,386.7099,382.01,384.46,1096970
2024-01-24,381.81,384.61,379.18,379.4,2049537
2024-01-23,379.98,383.36,378.625,380.77,3313294
2024-01-22,386.36,392.73,384.56,385.96,2922749
2024-01-19,376.73,383.3,372.07,382.2,2603278
2024-01-18,380.33,381.64,374.56,376.91,1771217
2024-01-17,375.2,380.2,374.13,377.18,2415333
2024-01-16,378.36,385.01,374.32,380.45,3926571
2024-01-12,383.34,385.845,376.58,377.75,2223834
2024-01-11,380.89,380.98,374.68,379.75,2209933
2024-01-10,381.35,383.05,378.53,381.96,1547381
2024-01-09,384.6,385.95,381.77,383.74,1708765
2024-01-08,385.97,389.08,382.025,388.86,1902568
2024-01-05,381.92,389.47,381.08,386.44,2913924
2024-01-04,383.55,387.0899,381.95,382.95,1618314
2024-01-03,383.88,385.395,376.7633,381.79,2265306
2024-01-02,383.0,389.14,382.19,388.3,2263330
2023-12-29,385.57,386.64,383.57,385.77,881319
2023-12-28,384.52,387.76,383.63,386.41,1024818
2023-12-27,381.2,385.75,380.31,384.48,1367219
2023-12-26,380.65,382.61,380.05,381.61,837409
2023-12-22,382.0,383.4896,379.41,380.65,1538183
2023-12-21,380.05,381.49,377.01,380.57,1301713
2023-12-20,380.73,385.13,377.25,377.52,1836529
2023-12-19,376.01,383.769,374.545,382.45,2091787
2023-12-18,381.26,382.76,375.91,376.4,2741011
2023-12-15,380.19,385.895,379.32,380.51,4522310
2023-12-14,366.5,386.2,365.0,383.47,5376303
2023-12-13,352.94,362.85,351.6,362.73,2876467
2023-12-12,351.41,353.9956,349.58,352.61,1597669
2023-12-11,351.44,353.03,349.05,351.76,1616161
2023-12-08,344.31,352.29,343.7758,350.83,2239001
2023-12-07,343.71,344.69,342.0,344.62,2160951
2023-12-06,343.51,347.0,341.6,341.97,1869436
2023-12-05,346.6,346.8337,340.54,341.75,2412202
2023-12-04,346.3,350.49,345.29,349.39,2168216
2023-12-01,341.46,348.89,340.42,348.43,3623292
2023-11-30,341.68,344.755,340.09,341.54,1903754
2023-11-29,337.0,343.53,336.51,340.26,2038124
2023-11-28,337.38,338.3999,334.87,337.65,1406826
2023-11-27,339.19,340.02,335.74,337.71,1250571
2023-11-24,338.8,340.27,337.64,339.15,460100
2023-11-22,336.94,338.91,335.37,338.64,1235200
2023-11-21,338.36,339.09,334.55,334.97,1900900
2023-11-20,340.0,341.32,337.5,339.45,3146000
2023-11-17,339.5,340.45,338.12,339.19,1465200
2023-11-16,337.76,339.75,335.01,336.67,1620400
2023-11-15,339.9,341.08,335.34,337.6,2534500
2023-11-14,333.53,341.78,332.47,338.72,3592700
2023-11-13,324.16,328.72,323.53,326.91,1403300
2023-11-10,323.32,326.06,321.65,325.51,1781400
2023-11-09,326.0,326.65,319.66,320.78,1787900
2023-11-08,323.95,326.66,323.67,324.56,1484400
2023-11-07,322.13,326.39,321.29,323.95,1505000
2023-11-06,326.66,328.9,322.1,323.91,2087600
2023-11-03,318.46,329.33,317.93,327.62,3740800
2023-11-02,309.69,314.54,308.0,313.76,2597000
2023-11-01,303.33,308.25,302.84,307.16,2345400
2023-10-31,301.68,304.29,300.7,303.61,2611000
2023-10-30,293.45,301.81,293.29,300.83,3065200
2023-10-27,297.55,298.27,289.36,289.91,2601700
2023-10-26,296.96,300.14,294.78,296.99,2011200
2023-10-25,298.6,300.0,295.03,296.76,1809300
2023-10-24,300.0,303.1,299.08,299.18,1697100
2023-10-23,298.29,303.55,298.19,299.22,2959800
2023-10-20,298.5,303.25,298.1,300.05,2328700
2023-10-19,301.96,305.34,298.63,299.19,3211800
2023-10-18,307.0,307.22,301.48,301.96,3460300
2023-10-17,313.38,316.18,305.91,309.36,4123000
2023-10-16,313.18,315.9,310.25,314.39,2273900
2023-10-13,312.0,316.18,308.17,309.3,1785200
2023-10-12,314.15,314.25,308.02,309.85,1727700
2023-10-11,315.43,316.63,311.6,313.02,1672500
2023-10-10,314.47,316.85,312.29,314.77,1193800
2023-10-09,308.9,313.48,308.37,312.61,1094400
2023-10-06,308.11,315.32,307.17,312.48,1595100
2023-10-05,307.36,310.55,304.21,310.5,1584600
2023-10-04,304.85,309.06,303.48,308.6,1872000
2023-10-03,315.27,315.68,304.39,306.12,3118600
2023-10-02,322.03,323.58,317.1,318.5,1303800
2023-09-29,327.2,327.96,322.27,323.57,1403900
2023-09-28,320.21,326.84,320.21,325.2,1389600
2023-09-27,324.98,325.0,318.98,321.95,1493000
2023-09-26,325.61,327.43,322.42,323.82,1481800
2023-09-25,327.07,329.29,325.28,328.84,833300
2023-09-22,330.1,331.54,326.83,327.89,1669100
2023-09-21,334.5,334.69,330.08,330.24,1685100
2023-09-20,342.61,343.8,336.29,336.7,1224400
2023-09-19,343.46,344.97,337.97,341.89,1660200
2023-09-18,342.54,344.26,339.27,343.32,1356600
2023-09-15,345.15,346.19,341.86,342.54,3058800
2023-09-14,339.0,345.12,336.85,344.57,2822700
2023-09-13,333.5,337.01,330.82,334.98,2165000
2023-09-12,324.01,335.28,324.0,330.9,2054700
2023-09-11,328.26,330.15,324.29,324.65,1283100
2023-09-08,321.92,325.97,321.66,325.52,2026400
2023-09-07,320.62,324.22,320.13,321.96,1471100
2023-09-06,322.31,324.14,319.31,321.13,2120800
2023-09-05,327.34,328.48,322.63,323.75,1846000
2023-09-01,329.67,331.62,326.21,327.4,1201400
2023-08-31,329.41,330.49,325.96,327.71,1271100
2023-08-30,330.0,331.91,327.65,328.58,1131500
2023-08-29,325.56,332.7,324.68,332.55,1831700
2023-08-28,321.34,326.6,321.34,325.97,1440100
2023-08-25,320.8,322.72,318.19,320.15,1159600
2023-08-24,322.15,327.49,319.51,319.96,1185600
2023-08-23,320.62,322.45,318.0,322.33,1429000
2023-08-22,322.48,322.64,318.31,318.79,1810300
2023-08-21,325.39,326.39,319.39,322.06,1983500
2023-08-18,324.32,327.62,323.2,324.93,1730100
2023-08-17,330.0,333.99,324.0,327.52,3135200
2023-08-16,330.54,332.92,328.97,329.11,3340300
2023-08-15,333.3,334.03,330.48,332.21,1657800
2023-08-14,337.41,338.45,334.86,337.74,1347000
2023-08-11,339.93,341.79,337.55,340.73,1256800
2023-08-10,344.07,347.26,339.8,340.4,1345900
2023-08-09,346.82,348.46,342.49,342.69,1326000
