date,open,high,low,close,volume
2024-01-25,66.58,66.9924,63.685,64.23,338981
2024-01-24,68.56,68.91,66.16,66.19,663363
2024-01-23,69.5,69.55,67.43,67.61,512870
2024-01-22,69.75,69.75,67.69,68.79,719721
2024-01-19,67.83,69.97,66.8801,69.97,944827
2024-01-18,63.89,67.7,63.3,67.46,880693
2024-01-17,60.54,63.91,59.78,63.23,724317
2024-01-16,63.34,63.73,61.065,61.27,433714
2024-01-12,63.7,64.08,62.92,63.53,351377
2024-01-11,63.78,64.25,62.36,63.15,320562
2024-01-10,65.12,65.39,62.88,63.58,630931
2024-01-09,63.64,65.25,63.22,65.03,798813
2024-01-08,64.63,64.795,62.24,63.72,408613
2024-01-05,65.73,66.05,64.47,65.11,712364
2024-01-04,62.71,67.43,62.4,65.73,1066897
2024-01-03,60.4,63.6899,60.0,62.34,617257
2024-01-02,60.61,61.58,59.88,60.91,304261
2023-12-29,61.46,61.6,60.78,60.97,301364
2023-12-28,61.8,62.08,60.95,61.45,368878
2023-12-27,61.9,62.88,61.7075,62.28,278013
2023-12-26,61.81,62.3564,61.3855,61.65,279423
2023-12-22,61.79,62.41,61.35,61.8,455838
2023-12-21,61.17,62.41,60.76,61.41,757808
2023-12-20,60.3,62.5,60.3,60.72,821738
2023-12-19,58.06,60.9423,57.8201,60.71,775081
2023-12-18,58.21,58.95,57.395,57.68,554738
2023-12-15,55.73,57.32,54.715,56.76,3494205
2023-12-14,56.8,57.4432,55.46,55.96,760694
2023-12-13,55.63,56.33,54.38,56.05,820445
2023-12-12,56.81,56.81,55.35,55.69,577014
2023-12-11,57.58,57.723,55.91,57.05,618280
2023-12-08,58.32,59.0,57.87,58.14,349165
2023-12-07,58.22,59.09,57.775,58.42,520672
2023-12-06,57.43,61.03,57.43,58.13,837339
2023-12-05,57.36,58.1,57.09,57.34,727075
2023-12-04,57.71,58.21,56.7,57.21,577075
2023-12-01,55.98,58.82,55.98,58.36,588164
2023-11-30,54.68,56.1,54.68,55.97,412767
2023-11-29,55.32,55.5,54.1,54.56,447778
2023-11-28,56.42,56.78,54.6896,55.14,428398
2023-11-27,55.14,57.38,55.14,56.5,770899
2023-11-24,54.92,56.09,54.92,55.31,199827
2023-11-22,54.0,55.14,53.48,54.99,402080
2023-11-21,53.5,54.83,53.5,54.25,429664
2023-11-20,54.18,54.55,52.56,53.31,637317
2023-11-17,51.77,53.81,51.44,53.8,910479
2023-11-16,50.12,52.91,50.12,50.96,861672
2023-11-15,49.51,50.73,49.23,49.85,493859
2023-11-14,48.02,50.595,48.0,49.98,908898
2023-11-13,47.34,47.73,46.66,46.69,484573
2023-11-10,46.7,47.59,46.265,47.37,621014
2023-11-09,46.07,47.3,46.07,46.34,964456
2023-11-08,46.23,47.45,45.495,45.6,797720
2023-11-07,48.12,48.12,44.76,46.23,1097095
2023-11-06,49.96,49.96,47.71,49.07,728996
2023-11-03,50.1,50.97,48.49,49.37,521133
2023-11-02,48.14,52.37,47.88,48.66,1216090
2023-11-01,48.45,49.79,47.7077,49.69,851629
2023-10-31,47.57,49.53,47.49,48.73,1167740
2023-10-30,48.72,49.1399,47.7,47.71,452680
2023-10-27,47.4,48.605,47.4,48.13,965599
2023-10-26,47.19,47.88,46.9,47.3,440500
2023-10-25,47.13,47.95,47.08,47.35,412700
2023-10-24,47.21,48.44,47.21,47.29,611000
2023-10-23,46.85,47.92,46.76,47.02,696600
2023-10-20,47.56,48.0,46.6,46.68,600400
2023-10-19,48.84,48.84,47.35,47.75,582300
2023-10-18,49.65,49.85,48.75,48.82,606400
2023-10-17,47.59,49.57,47.59,49.53,753800
2023-10-16,49.33,49.71,47.63,47.84,660900
2023-10-13,49.11,49.63,48.07,48.23,430300
2023-10-12,50.06,50.06,48.19,48.95,649400
2023-10-11,51.35,51.73,50.02,50.53,540200
2023-10-10,51.45,51.93,51.33,51.48,503400
2023-10-09,50.28,52.26,50.02,51.63,498300
2023-10-06,49.7,50.62,49.34,50.14,786800
2023-10-05,49.17,50.12,48.92,49.66,689300
2023-10-04,50.31,50.5,48.71,49.29,948300
2023-10-03,49.63,50.49,49.04,49.59,602900
2023-10-02,50.71,50.97,48.03,49.91,1169800
2023-09-29,51.26,52.21,50.6,51.08,609300
2023-09-28,51.16,52.99,50.95,51.06,948500
2023-09-27,49.04,52.29,49.04,50.86,1704300
2023-09-26,46.74,47.39,45.93,47.0,751800
2023-09-25,45.67,46.96,45.54,46.81,464200
2023-09-22,46.6,46.91,45.7,45.74,427100
2023-09-21,45.24,46.97,44.6,46.36,581800
2023-09-20,46.08,46.54,45.5,45.52,767600
2023-09-19,48.09,48.23,45.72,45.95,958500
2023-09-18,47.78,48.63,47.36,47.76,896200
2023-09-15,47.19,48.41,46.46,47.24,2792300
2023-09-14,45.24,47.19,45.14,47.17,1104600
2023-09-13,43.77,45.22,43.59,44.55,891100
2023-09-12,43.0,43.74,42.95,43.7,716300
2023-09-11,43.02,43.6,42.51,42.67,697500
2023-09-08,41.52,42.85,41.28,42.56,603500
2023-09-07,41.46,41.79,41.19,41.65,505400
2023-09-06,41.42,42.7,41.22,41.81,446500
2023-09-05,41.06,41.73,40.63,41.58,467400
2023-09-01,40.22,41.38,40.13,41.22,457300
2023-08-31,39.19,39.71,39.0,39.56,461400
2023-08-30,39.78,39.91,39.08,39.25,415400
2023-08-29,39.77,40.26,39.46,39.99,436200
2023-08-28,38.86,39.7,38.83,39.48,309900
2023-08-25,39.5,39.5,38.14,38.69,463400
2023-08-24,39.41,39.74,38.6,39.27,463200
2023-08-23,39.66,39.92,39.13,39.62,312300
2023-08-22,39.81,40.14,39.57,39.83,332500
2023-08-21,39.19,39.78,38.91,39.62,390900
2023-08-18,39.28,39.66,38.78,39.26,524500
2023-08-17,40.07,40.71,39.62,39.72,499300
2023-08-16,39.05,40.13,39.04,39.69,592300
2023-08-15,40.49,40.57,39.08,39.14,678000
2023-08-14,40.43,40.78,39.49,40.77,414500
2023-08-11,40.62,40.87,39.88,40.44,485200
2023-08-10,40.51,41.38,40.14,40.63,668800
2023-08-09,40.25,40.67,39.65,40.42,617000
2023-08-08,40.43,40.89,39.92,40.02,588900
2023-08-07,39.68,40.91,39.25,40.91,680300
2023-08-04,38.06,40.23,38.06,39.68,758700
2023-08-03,39.33,40.07,38.01,38.23,2457600
2023-08-02,44.67,44.67,43.06,43.3,702600
2023-08-01,43.68,44.82,43.6,44.8,552600
2023-07-31,42.82,44.41,42.81,44.25,613900
2023-07-28,42.96,43.21,42.16,42.48,398000
2023-07-27,42.26,42.78,41.5,42.46,499000
2023-07-26,42.01,42.55,41.43,42.47,890500
2023-07-25,42.02,43.65,42.01,42.4,664200
2023-07-24,40.62,42.41,40.62,41.95,565800
2023-07-21,40.65,40.79,39.76,40.68,447300
2023-07-20,39.68,40.6,39.29,40.43,769600
2023-07-19,39.45,39.46,38.61,39.24,534300
2023-07-18,38.7,39.6,38.54,39.32,506100
2023-07-17,37.65,39.08,37.65,38.67,648400
2023-07-14,38.84,38.85,37.28,38.08,625000
2023-07-13,39.88,40.0,38.78,39.09,868900
2023-07-12,41.11,41.22,39.61,39.64,653800
2023-07-11,40.22,40.9,40.22,40.44,545200
2023-07-10,39.76,40.54,39.7,40.33,349600
2023-07-07,38.92,40.47,38.81,39.75,642400
2023-07-06,39.31,39.41,38.06,38.75,944800
2023-07-05,39.6,40.3,39.18,39.79,986500
2023-07-03,39.04,40.14,39.01,39.6,544000
2023-06-30,39.0,39.42,38.72,38.95,706400
2023-06-29,38.24,39.42,38.0,38.81,608400
2023-06-28,37.89,38.3,37.15,38.06,576700
2023-06-27,37.35,38.66,37.05,38.3,744300
2023-06-26,36.72,37.86,36.72,37.38,368700
2023-06-23,37.2,37.53,36.7,36.7,631400
2023-06-22,38.1,38.2,37.46,37.87,375800
2023-06-21,37.67,38.91,37.16,38.42,564500
2023-06-20,35.67,38.5,35.48,37.77,1326700
2023-06-16,36.58,36.7,35.58,35.89,1249300
2023-06-15,34.71,36.21,34.71,36.1,760800
2023-06-14,35.8,36.04,34.72,34.8,682400
2023-06-13,36.15,36.67,35.13,35.22,845900
2023-06-12,35.58,35.8,34.93,35.42,484900
2023-06-09,35.82,36.29,35.41,35.9,275600
2023-06-08,36.27,36.76,35.47,35.7,328600
2023-06-07,35.81,37.03,35.81,36.38,571100
2023-06-06,34.59,35.53,34.54,35.4,674600
2023-06-05,34.57,35.47,34.57,34.76,641300
2023-06-02,34.21,35.2,34.15,35.04,579000
2023-06-01,32.75,33.77,32.59,33.4,520600
2023-05-31,32.45,33.28,32.43,32.78,496000
2023-05-30,33.2,33.4,31.97,32.83,513400
2023-05-26,33.65,34.08,33.36,33.42,354300
2023-05-25,33.59,33.94,32.97,33.52,362300
2023-05-24,34.71,34.78,33.92,34.07,300600
2023-05-23,35.48,35.56,34.87,34.97,286300
2023-05-22,35.18,35.87,34.9,35.61,373900
2023-05-19,35.65,35.7,34.52,34.96,534600
2023-05-18,35.59,35.59,34.31,35.3,728200
2023-05-17,36.01,36.4,35.11,36.0,702800
2023-05-16,36.99,37.26,35.69,35.73,464800
2023-05-15,37.64,37.87,37.04,37.12,432800
2023-05-12,37.76,38.03,36.99,37.17,536000
2023-05-11,38.4,38.66,36.96,37.52,709300
2023-05-10,39.73,39.96,38.68,39.24,595100
2023-05-09,38.26,40.26,38.25,39.38,926000
2023-05-08,39.26,39.62,38.3,38.42,771900
2023-05-05,36.37,39.0,35.28,38.75,1043500
2023-05-04,36.0,37.22,34.7,35.7,1186800
2023-05-03,33.56,35.0,33.43,33.59,651900
2023-05-02,33.2,33.67,32.54,33.53,991100
2023-05-01,34.51,34.53,33.34,33.42,414000
2023-04-28,34.02,34.57,33.71,34.57,547900
2023-04-27,34.58,34.71,33.08,34.19,524200
2023-04-26,34.79,35.33,34.46,34.8,385400
2023-04-25,35.84,35.84,34.38,34.74,459100
2023-04-24,36.36,36.76,35.21,36.73,328400
2023-04-21,37.63,37.72,35.89,36.51,542200
2023-04-20,38.39,38.71,37.54,37.79,330200
2023-04-19,38.54,38.86,37.63,38.75,404000
2023-04-18,38.2,39.07,38.06,38.92,359800
2023-04-17,38.33,38.97,38.01,38.09,365800
2023-04-14,38.65,39.0,37.24,37.83,531200
2023-04-13,38.0,38.79,37.57,38.65,482900
2023-04-12,36.49,37.9,36.27,37.85,600300
2023-04-11,35.74,37.07,35.63,36.4,565400
2023-04-10,35.49,35.98,35.38,35.39,526300
2023-04-06,35.77,35.77,35.17,35.31,291100
2023-04-05,35.8,36.0,34.67,35.85,478000
2023-04-04,37.47,37.47,35.79,36.04,425400
2023-04-03,37.47,37.55,36.04,37.48,559900
2023-03-31,35.89,36.84,35.89,36.71,603400
2023-03-30,35.99,36.26,35.45,35.67,623400
2023-03-29,36.5,36.5,35.44,35.48,714400
2023-03-28,34.83,36.25,34.83,36.15,520000
2023-03-27,34.83,35.29,33.53,34.96,805100
2023-03-24,33.08,35.18,32.57,34.54,1399900
2023-03-23,33.85,34.84,33.22,33.36,557600
2023-03-22,34.06,34.68,33.56,33.69,618200
2023-03-21,34.3,34.82,33.8,33.96,389600
2023-03-20,33.83,34.15,33.14,33.47,590400
2023-03-17,34.23,34.23,33.01,33.17,1257100
2023-03-16,33.09,34.04,32.51,33.96,545600
2023-03-15,35.47,35.49,33.22,33.79,758300
2023-03-14,37.13,37.39,36.06,36.43,517000
2023-03-13,36.94,37.55,36.15,36.27,649600
2023-03-10,38.84,39.3,37.34,37.87,536800
2023-03-09,39.43,40.47,38.77,38.84,703500
2023-03-08,39.92,40.5,39.1,39.4,621100
2023-03-07,40.55,40.81,39.42,39.91,442200
2023-03-06,41.99,42.41,40.26,40.75,544800
2023-03-03,40.98,42.95,40.9,42.44,1028600
2023-03-02,39.76,41.07,39.37,40.79,514600
2023-03-01,38.7,40.34,38.65,40.16,583600
2023-02-28,37.41,38.89,37.41,38.27,783300
2023-02-27,36.4,37.47,35.57,37.4,565200
2023-02-24,37.5,37.5,36.42,36.9,480600
2023-02-23,38.94,39.35,37.5,37.88,676200
2023-02-22,39.48,39.78,38.26,38.97,663200
2023-02-21,41.49,41.49,38.16,39.9,1114700
2023-02-17,40.75,42.66,40.75,41.66,1329300
2023-02-16,37.14,40.7,37.13,40.0,2190000
2023-02-15,38.89,40.78,38.89,40.47,1056400
2023-02-14,38.72,39.88,38.04,39.38,782000
2023-02-13,38.38,38.78,37.73,38.6,868100
2023-02-10,37.52,38.56,37.28,38.36,605500
2023-02-09,37.63,38.4,37.37,37.52,368000
2023-02-08,38.34,38.43,37.43,37.43,509700
2023-02-07,38.91,39.37,37.13,38.48,610800
2023-02-06,37.88,38.98,37.65,38.78,589100
2023-02-03,38.44,39.1,37.86,37.86,440800
2023-02-02,37.9,38.32,37.55,38.31,411900
2023-02-01,37.76,38.28,36.8,37.94,1041300
2023-01-31,37.37,37.98,37.08,37.88,369500
2023-01-30,36.58,38.06,36.53,37.55,460900
2023-01-27,37.92,37.93,36.26,36.95,331200
2023-01-26,37.98,38.19,37.01,37.93,307300
2023-01-25,38.77,39.06,37.66,37.82,369400
2023-01-24,38.04,38.85,37.35,38.74,338900
2023-01-23,38.32,38.7,37.01,37.68,346300
2023-01-20,37.7,38.33,37.09,38.31,414600
2023-01-19,36.7,37.63,36.4,37.44,394200
2023-01-18,36.65,37.9,36.16,36.75,561600
2023-01-17,34.81,36.34,34.76,36.33,464600
2023-01-13,33.6,34.53,33.3,34.43,317600
2023-01-12,34.38,34.48,33.81,33.83,386100
2023-01-11,34.0,34.58,33.45,34.06,618100
2023-01-10,33.9,34.35,33.73,33.99,473600
2023-01-09,34.98,35.14,33.53,33.61,369300
2023-01-06,33.72,35.04,33.72,34.62,558700
2023-01-05,32.99,33.48,32.49,33.37,450300
2023-01-04,31.63,33.18,31.04,32.99,736600
2023-01-03,34.57,34.6,31.85,32.11,677800
2022-12-30,34.17,34.78,34.04,34.64,430300
2022-12-29,33.89,34.5,33.81,34.41,427400
2022-12-28,36.5,36.76,33.43,33.76,485200
2022-12-27,36.7,36.7,36.05,36.58,256200
2022-12-23,37.32,37.35,36.13,36.23,289900
2022-12-22,36.71,37.19,36.03,37.18,399800
2022-12-21,36.18,36.81,35.62,36.67,285500
2022-12-20,34.89,36.19,34.59,35.67,344000
2022-12-19,34.91,35.26,34.13,34.54,438000
2022-12-16,34.25,34.78,33.9,34.73,1648500
2022-12-15,35.09,35.16,34.45,34.72,424700
2022-12-14,34.28,35.46,34.25,35.06,653800
2022-12-13,34.05,35.12,33.97,34.54,898800
2022-12-12,35.2,35.28,33.66,33.95,494500
2022-12-09,36.29,36.36,35.33,35.49,269600
2022-12-08,37.88,37.93,36.24,36.36,350200
2022-12-07,38.12,38.19,36.66,37.2,454900
2022-12-06,37.72,38.58,37.65,38.41,483200
2022-12-05,39.36,39.59,37.28,37.43,450400
2022-12-02,36.64,39.37,36.62,39.08,541300
2022-12-01,37.16,37.45,36.43,36.76,624900
2022-11-30,36.44,36.89,35.98,36.82,525700
2022-11-29,34.82,36.15,34.82,35.96,470800
2022-11-28,35.01,35.27,34.29,34.43,452700
2022-11-25,35.38,35.9,35.2,35.49,111900
2022-11-23,35.31,35.54,34.88,35.18,502600
2022-11-22,36.15,36.69,35.06,35.44,836100
2022-11-21,33.0,35.89,32.95,35.72,772000
2022-11-18,34.14,34.31,32.52,33.35,599600
2022-11-17,34.12,34.51,33.6,34.45,349800
2022-11-16,34.41,34.8,33.9,34.45,553900
2022-11-15,34.55,35.0,33.38,34.84,614300
2022-11-14,33.85,35.34,33.55,34.4,1013400
2022-11-11,36.44,36.9,34.08,34.11,937400
2022-11-10,36.63,36.74,35.18,35.85,631700
2022-11-09,37.59,37.76,35.31,35.55,659700
2022-11-08,38.24,38.41,37.17,37.95,1185100
2022-11-07,38.66,38.99,37.92,38.45,606800
2022-11-04,38.99,39.25,37.71,38.04,965300
2022-11-03,37.64,40.01,37.4,37.88,915800
2022-11-02,38.04,38.56,36.56,36.63,501600
2022-11-01,37.67,38.51,36.93,38.46,657800
2022-10-31,37.05,37.77,36.81,37.14,663000
2022-10-28,38.38,38.38,36.25,37.08,632600
2022-10-27,36.89,38.68,36.89,38.61,1025300
2022-10-26,37.53,37.65,36.49,36.67,1005500
2022-10-25,36.27,37.42,35.86,37.03,551300
2022-10-24,36.56,36.94,35.1,36.8,631600
2022-10-21,35.04,37.08,34.66,36.93,803200
2022-10-20,34.33,35.7,34.11,34.46,616600
2022-10-19,34.45,35.06,33.9,34.25,506600
2022-10-18,34.2,34.8,33.88,34.24,442700
2022-10-17,33.76,34.45,32.96,33.85,501300
2022-10-14,34.12,34.12,32.66,33.2,543200
2022-10-13,33.45,34.83,33.3,34.34,830300
2022-10-12,32.62,34.61,32.33,33.66,879500
2022-10-11,32.66,33.18,32.14,32.58,1174500
2022-10-10,32.64,33.42,32.59,33.06,457300
2022-10-07,32.65,33.04,31.98,32.33,679700
2022-10-06,31.14,32.63,31.14,32.62,678600
2022-10-05,30.42,31.96,30.27,31.7,421500
2022-10-04,30.31,31.06,30.2,30.89,565000
2022-10-03,28.97,30.1,28.97,29.84,424600
2022-09-30,28.87,29.41,28.32,28.44,520000
2022-09-29,28.64,29.31,28.34,29.02,463500
2022-09-28,28.31,29.58,28.06,29.16,520400
2022-09-27,27.81,28.56,27.5,28.39,519900
