date,open,high,low,close,volume
2024-01-25,352.59,352.875,348.26,350.775,1553960
2024-01-24,351.94,352.87,347.07,347.27,3457200
2024-01-23,355.85,355.88,349.06,350.78,3864045
2024-01-22,359.36,361.46,355.6861,356.69,4003659
2024-01-19,358.81,362.96,356.2801,362.41,3234572
2024-01-18,356.12,358.71,354.03,357.9,2510660
2024-01-17,356.63,359.7551,354.05,355.7,2646225
2024-01-16,358.06,359.645,356.21,358.43,3669405
2024-01-12,358.53,358.53,353.43,355.71,1956284
2024-01-11,357.09,361.0,353.26,356.53,3530570
2024-01-10,350.62,356.86,350.31,356.8,4109255
2024-01-09,345.81,349.11,345.25,346.19,2338058
2024-01-08,343.43,348.4559,343.25,347.93,2736244
2024-01-05,337.87,343.8299,337.82,342.94,2664279
2024-01-04,339.93,342.9217,338.54,338.59,3652356
2024-01-03,342.48,342.7,336.59,338.26,3309589
2024-01-02,344.21,347.3013,343.22,345.08,2833794
2023-12-29,345.83,347.55,343.02,346.55,10325908
2023-12-28,348.5,349.04,345.8,347.36,2859487
2023-12-27,349.91,350.0,347.1801,348.53,2764484
2023-12-26,348.43,350.09,348.16,349.31,1585615
2023-12-22,349.04,351.34,346.69,348.59,2030139
2023-12-21,351.87,352.25,347.0,348.97,2794221
2023-12-20,351.0,354.77,348.31,348.66,3259495
2023-12-19,351.46,352.96,350.4,352.07,4654836
2023-12-18,353.71,354.92,350.32,350.81,4420534
2023-12-15,348.22,354.38,346.75,354.0,11212928
2023-12-14,349.74,353.07,348.0,351.81,7594781
2023-12-13,334.9,343.835,331.91,343.4,5822699
2023-12-12,330.44,334.52,330.32,333.2,2893400
2023-12-11,329.81,332.09,328.81,331.33,3520700
2023-12-08,326.0,327.28,325.06,326.47,2889300
2023-12-07,326.11,327.41,324.68,326.17,2742300
2023-12-06,325.0,328.31,324.21,326.11,3030800
2023-12-05,322.0,323.92,320.01,323.5,3269800
2023-12-04,319.62,325.08,318.96,324.02,3827900
2023-12-01,313.83,320.1,313.0,319.62,3613600
2023-11-30,312.54,313.76,308.59,313.49,4493700
2023-11-29,314.06,314.06,310.91,311.02,3083800
2023-11-28,310.71,314.58,309.39,313.34,3116900
2023-11-27,310.69,312.89,309.75,310.92,2992600
2023-11-24,309.18,311.38,308.31,310.7,1259900
2023-11-22,307.39,309.86,306.48,309.2,2873500
2023-11-21,305.57,306.07,302.34,305.34,2977200
2023-11-20,307.19,309.67,305.74,308.19,3459000
2023-11-17,308.5,308.71,305.45,307.27,2770300
2023-11-16,305.88,307.95,304.33,306.44,3114000
2023-11-15,304.1,308.93,304.01,308.19,3985900
2023-11-14,300.89,308.24,300.14,303.63,7952800
2023-11-13,287.79,289.93,287.24,288.07,4586700
2023-11-10,289.23,291.59,286.79,291.59,3653500
2023-11-09,291.95,292.74,287.68,287.87,4059100
2023-11-08,295.03,298.01,294.11,295.92,2454900
2023-11-07,294.61,296.0,293.56,294.77,2629000
2023-11-06,294.75,296.44,293.22,294.57,2890300
2023-11-03,294.18,297.81,294.17,295.61,3071100
2023-11-02,290.25,294.66,290.0,294.53,3628000
2023-11-01,285.59,286.83,282.02,286.63,2747300
2023-10-31,282.59,285.4,281.62,284.69,3036000
2023-10-30,277.47,282.32,276.96,281.48,3074400
2023-10-27,278.98,279.67,274.26,276.46,2907300
2023-10-26,280.53,283.24,277.75,278.0,3108200
2023-10-25,281.75,283.23,279.2,280.93,2962800
2023-10-24,286.74,287.91,282.03,283.31,2705200
2023-10-23,285.82,288.25,284.33,285.07,2590900
2023-10-20,285.86,287.18,283.61,286.41,2884000
2023-10-19,291.0,291.34,286.42,286.77,3028600
2023-10-18,293.0,293.33,289.58,290.24,2720100
2023-10-17,296.69,298.36,294.5,295.94,2139700
2023-10-16,294.43,298.37,293.58,297.33,2567000
2023-10-13,292.94,294.73,290.89,291.92,2092700
2023-10-12,297.7,297.7,290.77,293.02,2546400
2023-10-11,299.74,300.85,295.9,298.05,2292800
2023-10-10,296.69,300.67,295.17,299.22,3116300
2023-10-09,290.3,295.53,289.68,295.36,1929900
2023-10-06,290.76,294.54,287.39,292.82,2922000
2023-10-05,292.0,292.67,290.24,291.7,2469300
