date,open,high,low,close,volume
2024-01-25,39.03,39.04,38.765,38.88,913104
2024-01-24,39.1,39.11,38.75,38.75,1727084
2024-01-23,38.4,38.53,38.31,38.43,1727585
2024-01-22,38.29,38.515,38.24,38.33,2245183
2024-01-19,37.64,38.01,37.56,37.99,2328391
2024-01-18,37.88,37.96,37.67,37.89,2044508
2024-01-17,37.34,37.645,37.25,37.58,3026597
2024-01-16,38.09,38.15,37.86,37.95,4905370
2024-01-12,39.6,39.74,39.21,39.38,2626659
2024-01-11,40.2,40.23,39.29,39.42,4935740
2024-01-10,40.52,40.7,40.485,40.64,1708746
2024-01-09,40.88,40.93,40.555,40.58,2700848
2024-01-08,41.02,41.43,40.915,41.43,2133224
2024-01-05,40.415,40.905,40.415,40.74,1627662
2024-01-04,40.12,40.535,40.1,40.31,1805282
2024-01-03,39.99,40.0863,39.82,40.0,1730401
2024-01-02,40.11,40.28,39.91,40.12,1870422
2023-12-29,40.59,40.635,40.43,40.54,1039351
2023-12-28,40.55,40.695,40.495,40.52,1200526
2023-12-27,40.65,40.77,40.6,40.73,1273631
2023-12-26,40.3,40.65,40.3,40.55,1218516
2023-12-22,39.87,40.29,39.87,40.27,1978216
2023-12-21,39.56,39.73,39.54,39.72,1216129
2023-12-20,39.45,39.585,39.09,39.09,1426734
2023-12-19,39.41,39.525,39.33,39.4,1852056
2023-12-18,39.17,39.195,38.9937,39.05,1096049
2023-12-15,39.01,39.25,38.84,38.85,2722501
2023-12-14,39.28,39.835,39.16,39.64,2557425
2023-12-13,39.23,39.525,38.87,39.48,2052203
2023-12-12,39.17,39.265,39.05,39.26,1783039
2023-12-11,38.88,39.1,38.85,39.0,1671385
2023-12-08,38.95,39.23,38.95,39.21,1911039
2023-12-07,38.59,38.82,38.48,38.82,1589909
2023-12-06,38.93,39.11,38.495,38.52,2122064
2023-12-05,38.23,38.39,38.19,38.19,1331662
2023-12-04,38.27,38.49,38.26,38.35,1291415
2023-12-01,38.23,38.695,38.215,38.66,1688098
2023-11-30,38.33,38.46,38.22,38.43,1563464
2023-11-29,37.9,38.18,37.89,38.03,2068188
2023-11-28,38.63,38.795,38.49,38.59,2009050
2023-11-27,38.56,38.63,38.3922,38.61,2094974
2023-11-24,38.32,38.6699,38.31,38.62,954816
2023-11-22,38.04,38.1,37.835,38.04,2731691
2023-11-21,38.61,38.69,38.505,38.57,1674986
2023-11-20,38.51,38.79,38.48,38.74,1591043
2023-11-17,38.46,38.61,38.36,38.58,1994390
2023-11-16,37.91,38.16,37.89,38.04,1787676
2023-11-15,38.49,38.545,38.335,38.47,2422163
2023-11-14,37.67,37.96,37.65,37.88,2454593
2023-11-13,37.43,37.49,37.24,37.42,2148789
2023-11-10,36.78,37.07,36.625,37.03,1582502
2023-11-09,37.24,37.37,36.885,36.97,2376750
2023-11-08,37.66,37.815,37.425,37.59,1709303
2023-11-07,37.57,37.73,37.425,37.69,1836861
2023-11-06,38.16,38.165,37.81,37.93,2740073
2023-11-03,37.38,37.55,37.28,37.44,2245200
2023-11-02,36.77,37.05,36.71,37.02,2263700
2023-11-01,36.2,36.4,36.02,36.26,2626100
2023-10-31,36.39,36.49,36.07,36.33,3072100
2023-10-30,36.53,36.61,35.3,36.02,6728000
2023-10-27,37.15,37.21,36.59,36.71,3440700
2023-10-26,37.44,37.58,37.13,37.28,2209300
2023-10-25,37.68,37.79,37.51,37.58,1551900
2023-10-24,37.54,37.78,37.48,37.68,1320500
2023-10-23,37.64,37.95,37.55,37.69,1394800
2023-10-20,37.94,38.07,37.62,37.69,3502100
2023-10-19,39.17,39.41,39.01,39.11,2447200
2023-10-18,40.05,40.1,39.61,39.67,1744000
2023-10-17,39.8,40.34,39.8,40.09,1343400
2023-10-16,40.04,40.15,39.8,40.09,1244000
2023-10-13,40.0,40.22,39.66,39.75,2192900
2023-10-12,40.47,40.51,40.14,40.3,1243900
2023-10-11,40.82,40.94,40.62,40.83,1417300
2023-10-10,40.55,40.63,40.36,40.53,2378800
2023-10-09,39.56,39.88,39.48,39.76,1699400
2023-10-06,40.03,40.58,39.86,40.48,2522100
2023-10-05,39.18,39.82,39.17,39.78,2021700
2023-10-04,39.37,39.39,38.92,39.31,1748900
2023-10-03,39.61,39.65,39.13,39.32,3028800
2023-10-02,39.42,39.45,38.9,39.02,2230400
2023-09-29,39.93,39.96,39.41,39.46,1376100
2023-09-28,39.3,39.77,39.28,39.68,1577700
2023-09-27,39.18,39.19,38.87,39.16,1314200
2023-09-26,39.16,39.36,38.91,38.97,1123500
2023-09-25,39.21,39.46,39.05,39.42,1677500
2023-09-22,40.05,40.05,39.46,39.54,2023500
2023-09-21,39.52,39.64,39.25,39.26,1513400
2023-09-20,39.51,39.74,39.09,39.11,1629500
2023-09-19,39.35,39.47,39.28,39.45,1332900
2023-09-18,39.16,39.17,38.84,39.02,1618700
2023-09-15,39.39,39.63,39.27,39.27,2105400
2023-09-14,39.28,39.53,39.26,39.37,2556000
2023-09-13,38.72,38.91,38.51,38.54,2449900
2023-09-12,37.58,38.11,37.57,37.9,3020400
2023-09-11,37.39,37.57,37.34,37.47,1911500
2023-09-08,36.73,37.0,36.65,36.97,1665200
2023-09-07,37.09,37.2,36.86,36.87,1789700
2023-09-06,36.98,37.17,36.88,36.98,1655200
2023-09-05,37.64,37.76,37.22,37.22,1501700
2023-09-01,37.64,37.79,37.49,37.55,1519000
2023-08-31,37.75,37.77,37.27,37.32,2543100
2023-08-30,38.29,38.48,38.0,38.01,1667800
2023-08-29,37.9,38.21,37.89,38.21,1503800
2023-08-28,37.71,38.02,37.69,37.96,1140500
2023-08-25,37.77,37.8,37.31,37.51,1403400
2023-08-24,37.66,37.88,37.55,37.55,1136200
2023-08-23,37.38,37.67,37.34,37.61,1333000
2023-08-22,37.64,37.7,37.34,37.38,2130000
2023-08-21,37.68,37.78,37.49,37.75,1678900
2023-08-18,37.37,37.74,37.32,37.66,1987400
2023-08-17,38.33,38.43,37.92,37.93,2378900
2023-08-16,38.05,38.2,37.94,37.99,2390100
2023-08-15,38.99,38.99,38.58,38.62,2943300
2023-08-14,39.57,39.81,39.33,39.78,1320900
2023-08-11,40.0,40.26,39.96,40.11,1636300
2023-08-10,40.48,40.78,40.28,40.38,1511900
2023-08-09,40.71,41.03,40.67,40.79,1796400
2023-08-08,40.63,40.95,40.38,40.91,1523400
2023-08-07,41.4,41.55,41.14,41.52,1948400
2023-08-04,40.83,41.1,40.69,40.79,1677900
2023-08-03,40.63,41.01,40.54,40.99,1686200
2023-08-02,41.09,41.15,40.53,40.66,2322700
2023-08-01,42.17,42.47,41.85,42.21,2126700
2023-07-31,41.95,42.05,41.67,41.78,1429000
2023-07-28,41.79,41.84,41.62,41.73,1221700
2023-07-27,41.47,41.58,41.2,41.22,1661600
2023-07-26,41.56,42.05,41.56,41.91,1500900
2023-07-25,41.55,41.67,41.45,41.54,1331400
2023-07-24,41.1,41.48,41.1,41.37,1082900
2023-07-21,41.58,41.58,41.36,41.37,1102400
2023-07-20,41.27,41.46,41.17,41.4,1506400
2023-07-19,40.78,40.91,40.68,40.79,1564900
2023-07-18,40.54,41.02,40.51,40.96,1689400
2023-07-17,40.57,40.75,40.53,40.73,1399600
2023-07-14,40.56,40.63,40.27,40.36,1255200
2023-07-13,40.49,40.59,40.35,40.55,1500300
2023-07-12,39.87,40.21,39.79,40.09,1920100
2023-07-11,39.01,39.09,38.86,39.05,1272700
2023-07-10,38.99,39.24,38.95,39.09,1309100
2023-07-07,39.0,39.46,38.99,39.27,1403400
2023-07-06,39.18,39.21,38.78,39.0,1328100
2023-07-05,39.65,39.72,39.52,39.57,1510300
2023-07-03,39.83,40.05,39.76,39.95,1284300
2023-06-30,39.75,39.84,39.59,39.62,1801300
2023-06-29,38.89,39.27,38.88,39.22,1141000
2023-06-28,38.87,38.95,38.76,38.9,1174400
2023-06-27,38.8,39.07,38.67,39.01,1164600
2023-06-26,38.4,38.64,38.4,38.47,945800
2023-06-23,38.27,38.49,38.16,38.23,1296600
2023-06-22,38.83,38.9,38.65,38.7,1427000
2023-06-21,39.19,39.49,39.17,39.42,1151000
2023-06-20,39.39,39.42,39.14,39.37,1260800
2023-06-16,39.18,39.33,39.06,39.18,1701400
2023-06-15,38.84,39.08,38.78,39.05,1696000
2023-06-14,38.89,39.14,38.55,38.65,1912500
2023-06-13,38.36,38.68,38.34,38.46,1587100
2023-06-12,38.19,38.24,37.91,38.09,1236400
2023-06-09,38.23,38.47,38.19,38.45,828100
2023-06-08,38.45,38.51,38.21,38.45,1066800
2023-06-07,38.59,38.59,38.3,38.38,1584500
2023-06-06,37.75,38.2,37.7,38.2,1198300
2023-06-05,37.92,37.96,37.57,37.73,1090700
2023-06-02,37.81,37.88,37.71,37.82,1331700
2023-06-01,36.99,37.51,36.99,37.42,1628700
2023-05-31,36.96,36.98,36.64,36.82,1714700
2023-05-30,37.61,37.66,37.2,37.42,1225800
2023-05-26,37.76,37.95,37.69,37.82,1267000
2023-05-25,37.67,37.72,37.32,37.58,1834600
2023-05-24,37.34,37.41,37.09,37.2,2413900
2023-05-23,38.32,38.54,38.15,38.16,1297800
2023-05-22,38.49,38.6,38.38,38.53,1070100
2023-05-19,38.38,38.5,38.08,38.32,1184800
2023-05-18,38.4,38.4,37.98,38.25,1735600
2023-05-17,37.86,38.14,37.71,37.97,1278400
2023-05-16,38.16,38.28,37.79,37.84,1400000
2023-05-15,38.24,38.59,38.16,38.44,1656800
2023-05-12,37.72,37.81,37.38,37.5,1141100
2023-05-11,37.09,37.52,36.97,37.45,1722000
2023-05-10,38.39,38.39,37.83,38.11,1620500
2023-05-09,37.76,38.07,37.72,37.98,1620600
2023-05-08,38.19,38.44,38.15,38.19,1855600
2023-05-05,37.66,38.34,37.59,38.2,2833500
2023-05-04,37.42,37.55,36.72,37.04,2912400
2023-05-03,37.41,37.57,37.02,37.06,2890500
2023-05-02,37.74,37.84,36.83,37.07,2854800
2023-05-01,36.24,36.33,35.81,35.83,1172400
2023-04-28,35.68,36.14,35.65,36.05,1763700
2023-04-27,35.95,36.26,35.9,36.23,2536400
2023-04-26,35.52,35.87,35.43,35.55,3571400
2023-04-25,35.27,35.33,34.89,34.93,2377800
2023-04-24,35.78,35.96,35.7,35.85,1704000
2023-04-21,35.48,35.73,35.3,35.69,1393300
2023-04-20,35.72,35.99,35.72,35.93,1118300
2023-04-19,35.69,35.93,35.65,35.87,1757900
2023-04-18,35.91,35.98,35.7,35.8,1957000
2023-04-17,35.78,36.09,35.6,36.08,2079200
2023-04-14,36.53,36.69,36.26,36.34,2247500
2023-04-13,35.5,35.72,35.37,35.67,1259600
2023-04-12,35.25,35.32,35.02,35.09,2040400
