date,open,high,low,close,volume
2024-01-25,56.74,56.978,56.53,56.75,128821
2024-01-24,57.43,57.43,55.9899,56.01,108744
2024-01-23,57.29,57.54,56.651,56.87,95714
2024-01-22,57.16,57.8057,56.98,57.21,169310
2024-01-19,56.47,57.21,56.2,56.99,157822
2024-01-18,57.04,57.14,56.1,56.41,139889
2024-01-17,57.31,57.92,56.31,56.85,193825
2024-01-16,57.88,58.26,57.77,57.91,187529
2024-01-12,58.3,58.53,57.97,58.25,75993
2024-01-11,58.15,58.25,57.63,57.85,94385
2024-01-10,58.39,58.64,58.2369,58.4,76900
2024-01-09,58.34,58.5188,57.9,58.27,100027
2024-01-08,57.77,58.71,57.77,58.66,137443
2024-01-05,57.82,58.34,57.345,57.84,119127
2024-01-04,58.05,58.36,57.74,57.98,103104
2024-01-03,59.13,59.13,57.95,58.02,160830
2024-01-02,58.6,59.42,58.4681,59.38,502925
2023-12-29,59.34,59.34,58.67,58.73,80894
2023-12-28,58.88,59.39,58.88,59.39,114132
2023-12-27,58.78,59.05,58.516,59.02,143595
2023-12-26,58.28,58.831,58.22,58.7,97263
2023-12-22,58.33,58.7,58.0,58.23,159171
2023-12-21,58.02,58.19,57.48,58.11,184098
2023-12-20,58.39,58.745,57.57,57.58,235128
2023-12-19,58.63,59.032,58.63,58.88,123281
2023-12-18,58.87,58.95,58.4379,58.46,159452
2023-12-15,59.25,59.25,58.135,58.67,151525
2023-12-14,58.86,59.85,58.86,59.42,271444
2023-12-13,56.03,58.22,55.94,57.99,204000
2023-12-12,55.87,56.17,55.66,56.0,227500
2023-12-11,55.68,56.07,55.59,56.01,140500
2023-12-08,55.87,56.05,55.26,55.85,175200
2023-12-07,55.87,56.24,55.68,56.0,174500
2023-12-06,56.24,56.66,55.86,55.86,251000
2023-12-05,55.94,56.18,55.78,56.12,199000
2023-12-04,55.66,56.36,55.64,56.34,253800
2023-12-01,54.93,56.07,54.69,56.06,995900
2023-11-30,54.34,54.92,54.23,54.86,480100
2023-11-29,54.22,54.79,54.22,54.35,224600
2023-11-28,53.38,54.0,53.33,53.95,290700
2023-11-27,53.53,53.93,53.25,53.64,187700
2023-11-24,53.14,53.39,52.84,53.34,85100
2023-11-22,53.4,53.5,52.99,53.18,357800
2023-11-21,53.11,53.23,52.91,53.03,92100
2023-11-20,52.76,53.31,52.45,53.3,202100
2023-11-17,53.49,53.49,52.73,52.91,159100
2023-11-16,53.0,53.31,52.92,53.02,367600
2023-11-15,52.82,53.44,52.82,53.0,199400
2023-11-14,51.51,53.35,51.51,52.92,175100
2023-11-13,50.32,50.46,49.91,50.25,130900
2023-11-10,50.28,50.67,50.05,50.6,111700
2023-11-09,51.0,51.21,50.04,50.13,158900
2023-11-08,50.79,51.05,50.67,50.92,146100
2023-11-07,51.12,51.12,50.52,50.56,108500
2023-11-06,51.76,51.76,50.77,51.04,217700
2023-11-03,51.48,52.55,51.48,51.76,152500
2023-11-02,49.64,50.86,49.64,50.67,175500
2023-11-01,48.99,49.1,48.55,49.06,231600
2023-10-31,48.16,48.84,47.82,48.82,181100
2023-10-30,47.87,48.3,47.23,47.88,157100
2023-10-27,48.56,48.57,47.62,47.78,137600
2023-10-26,47.58,48.82,47.58,48.53,200000
2023-10-25,48.11,48.18,47.38,47.45,416900
2023-10-24,48.01,48.57,47.99,48.42,247400
2023-10-23,47.86,48.51,47.7,47.85,1065600
2023-10-20,48.54,49.06,48.26,48.26,290500
2023-10-19,49.53,49.71,48.53,48.56,471500
2023-10-18,50.56,50.63,49.81,49.81,223200
2023-10-17,50.54,51.45,50.49,50.84,165400
2023-10-16,50.65,51.11,50.24,50.94,1744900
2023-10-13,50.84,50.87,50.26,50.49,181300
2023-10-12,51.07,51.09,50.29,50.52,166500
2023-10-11,50.38,51.18,50.38,51.16,159800
2023-10-10,50.0,50.62,49.76,50.16,177400
2023-10-09,49.11,50.16,49.1,50.05,113900
2023-10-06,49.02,49.7,48.34,49.38,158400
2023-10-05,48.89,49.26,48.66,49.19,188900
2023-10-04,48.62,48.95,48.1,48.91,350700
2023-10-03,49.0,49.18,48.23,48.34,151800
2023-10-02,50.25,50.25,48.96,49.26,218200
2023-09-29,50.57,50.92,49.9,50.16,201700
2023-09-28,49.55,50.18,49.55,50.0,249200
2023-09-27,50.14,50.39,49.31,49.48,204200
2023-09-26,50.5,50.63,49.8,49.93,113900
2023-09-25,51.23,51.49,51.04,51.45,140200
2023-09-22,51.85,52.22,51.44,51.5,177100
2023-09-21,53.31,53.31,51.91,51.92,136800
2023-09-20,53.81,54.28,53.66,53.68,128800
2023-09-19,53.76,54.01,53.44,53.56,100800
2023-09-18,54.53,54.53,53.77,53.83,120700
2023-09-15,54.32,54.58,54.15,54.39,146000
2023-09-14,53.75,54.65,53.75,54.55,103100
2023-09-13,54.07,54.07,53.38,53.51,104200
2023-09-12,53.77,54.08,53.52,54.0,75000
