date,open,high,low,close,volume
2024-01-25,77.12,77.24,76.48,77.06,36362
2024-01-24,77.59,77.78,76.1,76.16,69514
2024-01-23,77.12,77.26,76.88,77.2079,56854
2024-01-22,77.33,77.86,76.7691,77.09,117247
2024-01-19,77.32,77.49,76.86,77.32,121957
2024-01-18,77.76,77.76,76.94,77.32,68595
2024-01-17,78.65,79.13,77.49,77.93,88087
2024-01-16,79.37,79.5999,78.798,78.96,62464
2024-01-12,79.74,80.0301,79.49,79.8238,30320
2024-01-11,80.79,80.79,79.07,79.34,114647
2024-01-10,81.07,81.3,80.7201,80.97,38821
2024-01-09,81.22,81.29,80.91,80.99,83151
2024-01-08,80.79,81.59,80.68,81.55,40464
2024-01-05,80.61,81.34,80.34,81.03,80001
2024-01-04,81.19,81.48,80.7,80.76,46297
2024-01-03,80.66,81.16,80.41,81.01,83315
2024-01-02,79.53,81.0,79.53,80.8,55122
2023-12-29,79.63,79.99,79.36,79.93,32463
2023-12-28,79.18,80.03,79.18,79.93,63787
2023-12-27,79.65,79.65,79.14,79.39,56519
2023-12-26,78.9,79.72,78.83,79.5,80646
2023-12-22,78.9,79.64,78.86,78.99,42597
2023-12-21,78.83,79.2,78.236,78.71,50321
2023-12-20,79.99,79.99,78.52,78.52,52532
2023-12-19,80.37,80.6855,80.23,80.61,50957
2023-12-18,80.29,80.875,80.04,80.22,52963
2023-12-15,81.25,81.25,79.73,80.25,54249
2023-12-14,83.15,83.4,81.45,81.61,91743
2023-12-13,79.75,82.55,79.73,82.51,65800
2023-12-12,80.14,80.14,79.16,79.77,107800
2023-12-11,79.18,79.98,79.16,79.95,65100
2023-12-08,79.49,79.55,78.95,79.44,75100
2023-12-07,79.68,80.05,79.52,79.59,74900
2023-12-06,78.98,79.72,78.98,79.72,36100
2023-12-05,79.25,79.34,78.59,78.78,48400
2023-12-04,79.06,79.96,79.06,79.41,53500
2023-12-01,78.49,79.64,78.22,79.6,39500
2023-11-30,78.27,78.62,77.95,78.56,55300
2023-11-29,78.67,79.0,77.93,78.12,69900
2023-11-28,78.64,79.18,78.25,78.68,60200
2023-11-27,78.34,78.64,78.04,78.49,38500
2023-11-24,78.26,78.4,78.05,78.36,20800
2023-11-22,78.22,78.26,77.73,78.26,24700
2023-11-21,77.81,77.93,77.31,77.88,52500
2023-11-20,77.64,78.0,76.82,77.72,40800
2023-11-17,78.26,78.26,77.57,77.92,62900
2023-11-16,78.09,78.2,77.79,77.8,43800
2023-11-15,77.57,78.4,77.34,77.43,64600
2023-11-14,76.18,77.7,76.18,77.64,104300
2023-11-13,75.52,75.65,74.84,74.9,40600
2023-11-10,75.57,75.67,75.23,75.64,44200
2023-11-09,76.27,76.46,75.29,75.33,49200
2023-11-08,76.35,76.35,75.42,76.13,72100
2023-11-07,77.04,77.18,76.56,76.68,49200
2023-11-06,77.32,77.58,77.07,77.19,40900
2023-11-03,77.84,78.09,77.29,77.29,33000
2023-11-02,75.49,77.13,75.3,76.83,133300
2023-11-01,74.6,75.75,74.07,75.3,71000
2023-10-31,74.07,74.61,73.89,74.55,386100
2023-10-30,73.63,74.3,73.19,73.91,61700
2023-10-27,74.45,74.67,73.26,73.35,71000
2023-10-26,74.22,75.26,74.22,74.68,93900
2023-10-25,73.43,74.36,73.43,74.22,69500
2023-10-24,72.93,73.79,72.83,73.61,201200
2023-10-23,72.0,72.86,71.73,71.98,129800
2023-10-20,73.16,73.67,72.52,72.52,67000
2023-10-19,74.04,74.38,73.2,73.31,92600
2023-10-18,74.53,74.77,73.65,74.04,125900
2023-10-17,74.36,75.11,74.24,74.75,86100
2023-10-16,74.18,75.06,73.8,74.82,154100
2023-10-13,73.74,74.42,73.59,74.02,94600
2023-10-12,74.17,74.34,72.68,73.22,122300
2023-10-11,73.62,74.41,73.21,74.34,108400
2023-10-10,72.44,73.34,72.44,73.31,84700
2023-10-09,71.51,72.38,71.39,72.38,65400
2023-10-06,69.94,71.82,68.87,71.68,115500
2023-10-05,70.82,71.12,70.16,70.79,177500
2023-10-04,71.32,71.5,70.06,71.08,104600
2023-10-03,69.77,71.28,68.94,71.05,667300
2023-10-02,73.29,73.29,69.65,70.39,102900
2023-09-29,73.97,74.46,73.16,73.58,156800
2023-09-28,75.07,75.33,73.43,73.46,114600
2023-09-27,76.33,76.33,74.74,74.89,214900
2023-09-26,78.12,78.12,76.14,76.25,64300
2023-09-25,78.76,79.13,78.4,79.08,93300
2023-09-22,79.07,79.61,78.75,79.19,21500
2023-09-21,79.93,80.22,79.35,79.35,32700
2023-09-20,80.39,81.03,80.11,80.24,63700
2023-09-19,80.45,80.78,80.17,80.17,22500
2023-09-18,80.85,80.85,80.03,80.55,24700
2023-09-15,80.91,81.42,80.63,80.65,23000
2023-09-14,80.34,81.0,80.34,80.99,27600
2023-09-13,79.1,80.22,79.1,79.88,39200
2023-09-12,78.78,79.19,78.42,79.03,45600
2023-09-11,78.4,79.15,78.4,78.77,33200
2023-09-08,77.93,78.58,77.88,78.51,39000
2023-09-07,77.48,78.42,77.38,77.89,58800
2023-09-06,76.96,77.02,76.59,76.96,29300
2023-09-05,77.95,77.95,76.52,76.83,82500
2023-09-01,78.65,78.86,77.45,77.94,48300
2023-08-31,79.1,79.31,78.28,78.28,60900
2023-08-30,79.05,79.56,78.69,78.94,56700
2023-08-29,78.89,79.39,78.69,79.23,108800
2023-08-28,79.09,79.48,78.79,78.93,52300
2023-08-25,78.41,79.28,78.41,78.92,72200
2023-08-24,78.65,79.67,78.32,78.35,72500
2023-08-23,78.89,78.95,78.32,78.82,44400
2023-08-22,78.3,78.72,78.13,78.52,110200
2023-08-21,78.63,78.81,77.85,78.35,72100
2023-08-18,78.48,78.99,78.41,78.78,58500
2023-08-17,78.75,79.42,78.41,78.44,89500
2023-08-16,78.61,79.11,78.5,78.72,65700
2023-08-15,79.22,79.22,78.39,78.4,61300
2023-08-14,80.27,80.27,79.47,79.73,86100
2023-08-11,80.03,80.47,79.85,80.36,62600
2023-08-10,80.54,81.01,79.76,80.0,77600
2023-08-09,80.12,80.9,79.88,80.3,124300
2023-08-08,79.65,80.03,79.0,80.02,92400
2023-08-07,79.96,80.35,79.75,79.75,56800
2023-08-04,80.85,81.19,79.43,79.69,79500
2023-08-03,82.18,82.18,80.6,80.6,79800
2023-08-02,82.01,82.68,81.95,82.43,69200
2023-08-01,83.09,83.7,82.28,82.37,203000
2023-07-31,83.52,83.81,82.97,83.28,42700
2023-07-28,83.78,84.08,82.88,83.23,35100
2023-07-27,84.79,84.9,83.22,83.41,53000
2023-07-26,84.87,85.73,84.49,84.83,37900
2023-07-25,84.73,85.3,84.73,85.08,40900
2023-07-24,85.23,85.46,84.66,84.97,39200
2023-07-21,84.36,85.52,84.36,85.26,42400
2023-07-20,82.61,84.18,82.56,84.1,95500
2023-07-19,81.88,82.93,81.88,82.54,49100
2023-07-18,82.24,82.83,81.08,81.74,56800
2023-07-17,82.79,83.04,82.29,82.32,58500
2023-07-14,83.3,83.46,82.68,83.09,67500
2023-07-13,83.32,83.46,82.96,83.45,65100
2023-07-12,82.44,83.31,82.29,83.2,49900
2023-07-11,81.37,82.16,81.22,82.16,37200
2023-07-10,81.41,81.69,80.72,81.28,47800
2023-07-07,81.68,82.03,81.42,81.54,44100
2023-07-06,82.32,82.32,81.73,82.11,74400
2023-07-05,82.1,83.57,81.85,83.05,103900
2023-07-03,81.45,82.22,81.45,82.19,44700
2023-06-30,80.85,81.87,80.85,81.75,107100
2023-06-29,80.31,81.15,80.02,80.8,53000
2023-06-28,81.81,81.81,80.54,80.7,56800
2023-06-27,81.78,82.03,81.6,81.84,35500
2023-06-26,80.93,81.9,80.83,81.66,34900
2023-06-23,82.23,82.47,80.82,80.9,194300
2023-06-22,82.69,82.99,81.88,82.03,45200
2023-06-21,81.87,82.64,80.93,82.59,107800
2023-06-20,82.72,82.74,81.96,81.98,49900
2023-06-16,82.47,83.49,82.47,82.85,55100
2023-06-15,81.69,82.65,81.69,82.43,180200
2023-06-14,81.84,82.46,81.5,81.59,360600
2023-06-13,81.65,81.93,81.29,81.65,157300
2023-06-12,81.81,81.91,81.44,81.78,22400
2023-06-09,82.11,82.24,81.77,81.83,41000
2023-06-08,81.95,82.36,81.49,82.27,22600
2023-06-07,80.83,82.02,80.32,81.95,42400
2023-06-06,81.33,81.47,81.09,81.13,35500
2023-06-05,81.04,81.75,80.89,81.15,91500
2023-06-02,79.79,81.16,79.7,80.9,65400
2023-06-01,80.65,80.65,79.61,80.01,39400
