date,open,high,low,close,volume
2024-01-25,290.0,290.3248,288.0695,288.78,33584
2024-01-24,294.41,294.93,290.81,290.92,35816
2024-01-23,293.28,293.61,291.55,293.42,42100
2024-01-22,293.2,294.38,292.43,293.66,32200
2024-01-19,292.06,293.03,290.96,292.43,29100
2024-01-18,289.79,292.22,288.6,292.07,42300
2024-01-17,291.71,293.16,291.11,291.88,76200
2024-01-16,293.5,294.02,292.29,292.71,36900
2024-01-12,294.22,295.81,293.72,294.64,27600
2024-01-11,295.33,295.46,293.43,295.14,42200
2024-01-10,294.35,295.76,293.13,295.47,230000
2024-01-09,294.08,296.67,293.89,294.17,66800
2024-01-08,291.6,294.17,290.6,294.13,33400
2024-01-05,290.9,291.98,290.13,291.56,107300
2024-01-04,290.99,292.96,290.65,291.45,34000
2024-01-03,291.85,292.14,289.73,289.88,60000
2024-01-02,285.52,291.23,285.52,290.74,134500
2023-12-29,286.44,286.81,285.17,286.24,31100
2023-12-28,285.74,286.97,285.72,286.28,41400
2023-12-27,284.2,285.69,284.0,285.69,111500
2023-12-26,283.26,284.77,282.99,284.16,30100
2023-12-22,282.87,284.17,282.21,283.33,78800
2023-12-21,279.48,281.71,279.46,281.61,115600
2023-12-20,282.19,282.45,278.09,278.29,125700
2023-12-19,281.87,283.59,281.61,283.56,303100
2023-12-18,282.39,282.39,281.24,281.54,31800
2023-12-15,283.03,283.03,280.36,281.04,31300
2023-12-14,285.87,285.98,282.5296,283.475,36581
2023-12-13,277.98,284.62,277.98,284.62,44900
2023-12-12,278.33,279.58,277.1,279.32,42800
2023-12-11,276.62,277.71,276.06,277.61,26800
2023-12-08,275.81,276.61,274.41,276.0,63600
2023-12-07,275.64,276.03,274.16,275.55,37400
2023-12-06,275.97,276.91,275.74,275.92,33000
2023-12-05,275.52,276.15,274.22,275.72,34900
2023-12-04,274.72,276.68,274.72,276.38,68400
2023-12-01,273.52,275.83,273.52,275.65,30700
2023-11-30,271.08,274.29,270.96,274.29,30200
2023-11-29,270.44,272.25,270.44,271.18,34200
2023-11-28,271.58,272.16,270.6,270.9,66800
2023-11-27,273.04,274.03,271.9,272.21,26300
2023-11-24,272.71,274.11,272.71,274.02,10300
2023-11-22,272.11,273.26,272.0,272.67,27500
2023-11-21,270.73,271.85,270.46,271.14,33600
2023-11-20,266.87,270.3,266.87,269.84,57400
2023-11-17,268.74,268.8,267.56,268.15,39200
