date,open,high,low,close,volume
2024-01-25,88.14,88.49,87.61,88.03,3080979
2024-01-24,89.19,89.19,86.915,86.95,5459576
2024-01-23,89.08,89.36,87.9,88.24,4400854
2024-01-22,88.57,89.675,88.385,88.78,5674499
2024-01-19,87.55,88.635,86.92,88.32,7749012
2024-01-18,87.99,88.31,86.78,87.35,6410441
2024-01-17,88.35,89.42,86.99,87.94,8928088
2024-01-16,89.7,90.08,89.21,89.54,7090237
2024-01-12,90.54,90.74,89.69,90.17,5250868
2024-01-11,90.09,90.19,89.1,89.59,6250435
2024-01-10,90.52,90.82,90.09,90.39,5195449
2024-01-09,90.15,90.69,89.64,90.32,5348319
2024-01-08,89.5,90.98,89.38,90.95,4941871
2024-01-05,89.16,90.37,88.68,89.66,6890806
2024-01-04,90.07,90.435,89.47,89.86,6303693
2024-01-03,91.39,91.45,89.83,90.02,7145510
2024-01-02,91.0,92.32,90.71,92.22,4613840
2023-12-29,91.92,92.23,91.315,91.41,4854428
2023-12-28,91.74,92.465,91.68,92.46,4143736
2023-12-27,91.64,91.96,91.16,91.95,5522974
2023-12-26,90.84,91.679,90.66,91.47,3094079
2023-12-22,90.77,91.44,90.32,90.78,4737406
2023-12-21,90.41,90.65,89.45,90.48,6895306
2023-12-20,90.78,91.415,89.57,89.63,7895469
2023-12-19,91.31,91.785,91.1307,91.58,6754363
2023-12-18,91.5,91.61,90.77,90.97,7094300
2023-12-15,92.15,92.15,90.36,91.11,12226500
2023-12-14,91.22,92.85,91.22,92.26,10613300
2023-12-13,86.6,90.05,86.38,89.78,11198900
2023-12-12,86.45,86.78,86.0,86.55,5163800
2023-12-11,85.99,86.65,85.82,86.49,4347300
2023-12-08,86.11,86.51,85.41,86.29,5477800
2023-12-07,86.24,86.72,85.88,86.47,8795100
2023-12-06,86.93,87.51,86.17,86.18,10876700
2023-12-05,86.66,86.78,86.11,86.56,13199600
2023-12-04,86.02,87.09,85.96,87.09,13459700
2023-12-01,84.53,86.57,84.28,86.57,17020700
2023-11-30,83.87,84.64,83.6,84.59,8109100
2023-11-29,83.95,84.69,83.85,83.95,6359500
2023-11-28,82.61,83.43,82.18,83.34,7386200
2023-11-27,82.6,83.26,82.19,82.85,6466400
2023-11-24,82.07,82.55,81.68,82.55,2314400
2023-11-22,82.48,82.85,81.89,82.25,4303800
2023-11-21,82.0,82.19,81.67,81.94,4730700
2023-11-20,81.6,82.37,81.02,82.34,6169900
2023-11-17,82.55,82.59,81.44,81.7,4579400
2023-11-16,82.2,82.35,81.63,81.86,6620600
2023-11-15,81.56,82.64,81.42,81.95,7927800
2023-11-14,80.04,82.41,79.56,81.72,15751000
2023-11-13,77.62,77.82,77.06,77.55,4812700
2023-11-10,78.02,78.31,77.26,78.19,5418400
2023-11-09,78.94,78.98,77.26,77.42,9070100
2023-11-08,78.62,78.89,78.31,78.66,6482600
2023-11-07,78.83,78.97,78.14,78.28,8560900
2023-11-06,80.03,80.03,78.5,78.97,8434400
2023-11-03,79.54,81.11,79.49,80.03,10154000
2023-11-02,76.85,78.49,76.65,78.23,9187400
2023-11-01,75.35,75.86,74.94,75.84,10792900
2023-10-31,74.6,75.38,73.94,75.33,8676300
2023-10-30,74.2,74.54,72.88,73.96,8309600
2023-10-27,75.07,75.07,73.35,73.62,9656000
2023-10-26,73.62,75.24,73.6,74.73,10955200
2023-10-25,74.2,74.44,73.17,73.28,8236100
2023-10-24,74.3,75.13,74.11,74.92,8164400
2023-10-23,74.18,75.07,73.84,74.04,8808400
2023-10-20,75.37,75.87,74.72,74.75,9323700
2023-10-19,76.47,77.08,75.11,75.24,12199100
2023-10-18,78.26,78.49,77.03,77.08,8722600
2023-10-17,78.26,79.82,78.26,78.8,10660300
2023-10-16,78.75,79.21,77.81,79.02,6540200
2023-10-13,78.73,78.86,77.75,78.12,8625100
2023-10-12,79.41,79.41,77.85,78.2,9653000
2023-10-11,78.69,79.46,78.5,79.44,6364000
2023-10-10,77.68,78.69,77.3,78.0,5994400
2023-10-09,76.38,77.95,76.33,77.75,8146600
2023-10-06,75.95,77.31,75.21,76.77,7606700
2023-10-05,76.14,76.69,75.67,76.61,6656300
2023-10-04,75.76,76.12,74.7,76.03,7980400
2023-10-03,76.29,76.57,75.01,75.21,10290000
2023-10-02,77.89,78.19,76.21,76.7,11887600
2023-09-29,79.23,79.25,77.71,78.14,8764900
2023-09-28,77.46,78.18,77.27,77.88,8431500
2023-09-27,78.11,78.38,76.75,77.12,8713100
2023-09-26,78.59,78.86,77.47,77.68,7726200
2023-09-25,79.82,80.15,79.53,80.04,6067800
2023-09-22,80.76,81.26,80.13,80.19,8696000
2023-09-21,83.14,83.18,80.68,80.68,9010000
2023-09-20,84.12,84.65,83.63,83.63,5643400
2023-09-19,83.86,84.2,83.3,83.54,4389800
2023-09-18,84.61,84.65,83.74,83.92,4982500
2023-09-15,84.57,84.91,84.32,84.58,6497000
2023-09-14,84.23,85.17,84.09,85.03,5846200
2023-09-13,84.32,84.42,83.25,83.48,5446500
2023-09-12,84.23,84.49,83.74,84.38,4518100
2023-09-11,84.39,84.59,83.92,84.28,4085900
2023-09-08,84.94,84.98,84.14,84.28,4260500
2023-09-07,84.08,85.08,83.93,84.71,5260600
2023-09-06,84.32,84.52,83.53,84.16,5332100
2023-09-05,85.11,85.34,84.33,84.33,6565700
2023-09-01,85.72,86.1,85.12,85.39,5769900
2023-08-31,85.85,85.95,85.09,85.34,4463100
2023-08-30,85.49,86.06,85.44,85.83,5658500
2023-08-29,84.56,85.56,84.21,85.51,6630900
2023-08-28,84.24,84.97,84.16,84.49,4479100
2023-08-25,83.86,84.34,83.41,83.79,5789200
2023-08-24,84.23,85.15,83.63,83.64,5419200
2023-08-23,83.23,84.12,83.08,84.0,5131400
2023-08-22,82.77,83.02,82.41,82.67,5256200
2023-08-21,83.0,83.05,81.75,82.4,4746600
