date,open,high,low,close,volume
2024-01-25,23.42,23.65,23.3822,23.605,132151
2024-01-24,23.66,23.66,23.22,23.23,208770
2024-01-23,23.44,23.5788,23.37,23.53,197164
2024-01-22,23.19,23.3097,23.12,23.26,248493
2024-01-19,22.82,23.03,22.73,23.02,255395
2024-01-18,22.57,22.755,22.54,22.74,376402
2024-01-17,22.59,22.69,22.4199,22.55,212215
2024-01-16,22.64,22.83,22.555,22.81,279048
2024-01-12,22.8,22.95,22.72,22.73,229031
2024-01-11,22.98,22.98,22.66,22.73,305996
2024-01-10,22.89,23.03,22.77,22.96,521640
2024-01-09,22.9,22.91,22.76,22.89,700190
2024-01-08,22.61,22.95,22.55,22.93,259049
2024-01-05,22.49,22.75,22.485,22.63,1303354
2024-01-04,22.66,22.66,22.52,22.52,198422
2024-01-03,22.78,22.84,22.635,22.64,412994
2024-01-02,22.66,22.985,22.66,22.85,347182
2023-12-29,22.79,22.85,22.65,22.76,326597
2023-12-28,22.57,22.85,22.57,22.82,662045
2023-12-27,22.58,22.705,22.58,22.65,297187
2023-12-26,22.43,22.66,22.37,22.61,862172
2023-12-22,22.395,22.61,22.3,22.43,285760
2023-12-21,22.26,22.31,22.15,22.28,297827
2023-12-20,22.32,22.52,22.13,22.13,814501
2023-12-19,22.45,22.555,22.45,22.53,229026
2023-12-18,22.39,22.47,22.27,22.42,583400
2023-12-15,22.49,22.54,22.32,22.38,726800
2023-12-14,22.38,22.76,22.38,22.57,626700
2023-12-13,21.89,22.23,21.72,22.21,946500
2023-12-12,22.09,22.09,21.83,21.91,477800
2023-12-11,21.99,22.12,21.9,22.04,964000
2023-12-08,21.81,22.04,21.81,21.96,220900
2023-12-07,21.66,21.94,21.63,21.89,394200
2023-12-06,21.74,21.87,21.58,21.61,314500
2023-12-05,21.96,22.01,21.51,21.63,457800
2023-12-04,21.8,22.02,21.6,21.99,283600
2023-12-01,21.65,21.91,21.58,21.9,240300
2023-11-30,21.62,21.67,21.48,21.65,190800
2023-11-29,21.52,21.71,21.5,21.55,222900
2023-11-28,21.35,21.51,21.28,21.45,246400
2023-11-27,21.42,21.47,21.33,21.41,253700
2023-11-24,21.38,21.5,21.38,21.48,89100
2023-11-22,21.44,21.52,21.35,21.39,174500
2023-11-21,21.43,21.43,21.25,21.3,214400
2023-11-20,21.2,21.5,21.16,21.44,241500
2023-11-17,21.21,21.26,21.12,21.21,745800
2023-11-16,21.2,21.24,20.9,21.15,377600
2023-11-15,21.5,21.72,21.5,21.7,480700
2023-11-14,21.33,21.56,21.33,21.49,266500
2023-11-13,20.99,21.11,20.9,20.97,284500
2023-11-10,20.99,21.08,20.73,21.07,188900
2023-11-09,21.24,21.24,20.9,20.93,290300
2023-11-08,21.33,21.39,21.15,21.23,137600
2023-11-07,21.38,21.44,21.23,21.32,147600
2023-11-06,21.7,21.7,21.32,21.35,163200
2023-11-03,21.56,21.84,21.54,21.74,281100
2023-11-02,20.93,21.38,20.93,21.38,281200
2023-11-01,20.76,20.82,20.61,20.76,353400
2023-10-31,20.45,20.74,20.44,20.7,272700
2023-10-30,20.0,20.36,20.0,20.3,342000
2023-10-27,20.06,20.2,19.85,19.9,416000
2023-10-26,20.22,20.35,20.1,20.15,1074500
2023-10-25,20.94,20.94,20.52,20.54,766500
2023-10-24,20.7,20.98,20.7,20.95,245300
2023-10-23,20.61,20.72,20.47,20.49,409800
2023-10-20,20.88,21.03,20.73,20.75,219900
2023-10-19,21.23,21.26,20.9,20.92,335000
2023-10-18,21.33,21.33,21.09,21.12,180200
2023-10-17,21.12,21.36,21.12,21.36,221500
2023-10-16,21.01,21.33,21.01,21.26,262400
2023-10-13,20.99,21.13,20.86,20.92,251800
2023-10-12,21.24,21.24,20.84,20.97,220900
2023-10-11,21.24,21.28,21.02,21.11,205900
