date,open,high,low,close,volume
2024-01-25,36.98,37.43,36.92,37.045,1961598
2024-01-24,37.15,37.165,36.77,36.82,6063338
2024-01-23,36.74,37.2,36.4,37.15,24754312
2024-01-22,37.1,37.1,36.38,36.76,9334521
2024-01-19,37.0,37.3,36.59,37.08,8786781
2024-01-18,37.77,37.77,36.85,37.01,10693749
2024-01-17,37.46,37.99,37.43,37.79,7680887
2024-01-16,37.75,37.79,37.43,37.61,8373769
2024-01-12,37.74,37.81,37.52,37.68,4957700
2024-01-11,37.76,37.84,37.5,37.58,7661700
2024-01-10,38.47,38.47,37.74,37.89,7852100
2024-01-09,38.06,38.61,37.88,38.55,8108800
2024-01-08,37.86,38.32,37.82,38.25,7553800
2024-01-05,37.76,38.12,37.63,37.94,5629900
2024-01-04,37.97,38.15,37.7,37.78,7755400
2024-01-03,38.24,38.36,38.0,38.08,8913500
2024-01-02,37.03,38.32,36.98,38.12,11647900
2023-12-29,36.66,37.03,36.64,36.98,5537400
2023-12-28,36.52,36.86,36.51,36.74,5455900
2023-12-27,36.64,36.64,36.33,36.52,4385400
2023-12-26,36.35,36.54,36.18,36.5,4079600
2023-12-22,36.05,36.42,35.98,36.36,5806200
2023-12-21,35.74,36.07,35.69,35.96,6185100
2023-12-20,36.13,36.2,35.71,35.75,8456100
2023-12-19,36.56,36.56,36.17,36.49,7464500
2023-12-18,36.68,36.98,36.39,36.71,6447800
2023-12-15,37.0,37.14,36.41,36.59,14202800
2023-12-14,37.6,37.69,36.94,37.0,10242700
2023-12-13,37.15,37.78,37.08,37.66,7541700
2023-12-12,36.99,37.45,36.77,37.26,9353600
2023-12-11,36.77,36.83,36.55,36.78,11739600
2023-12-08,36.52,36.54,36.08,36.23,6112000
2023-12-07,36.34,36.67,35.97,36.5,8693100
2023-12-06,35.9,36.45,35.85,36.2,8942500
2023-12-05,35.75,35.96,35.52,35.84,7660000
2023-12-04,35.23,35.98,35.23,35.82,7963400
2023-12-01,35.05,35.53,34.99,35.52,9401100
2023-11-30,34.66,35.27,34.65,35.11,23929000
2023-11-29,35.2,35.22,34.94,35.08,8116800
2023-11-28,34.95,35.32,34.92,35.12,10641500
2023-11-27,35.49,35.49,34.83,34.89,8878100
2023-11-24,34.8,35.03,34.72,34.94,3984100
2023-11-22,34.3,34.71,34.21,34.68,7110900
2023-11-21,33.91,34.27,33.82,34.15,8677600
2023-11-20,33.56,33.89,33.54,33.79,6551800
2023-11-17,33.9,33.95,33.48,33.66,6461500
2023-11-16,33.75,33.89,33.53,33.81,6816800
2023-11-15,33.58,33.77,33.33,33.56,6432800
2023-11-14,33.92,34.1,33.48,33.58,9084800
2023-11-13,32.9,33.48,32.78,33.24,6532000
2023-11-10,32.87,33.02,32.75,32.89,6561800
2023-11-09,33.22,33.25,32.94,32.95,6038600
2023-11-08,33.1,33.34,32.87,33.17,5985500
2023-11-07,33.29,33.4,33.07,33.09,5879300
2023-11-06,33.33,33.48,32.97,33.29,6880300
2023-11-03,33.7,33.8,33.22,33.27,8384900
2023-11-02,32.38,33.71,32.18,33.51,11280800
