date,open,high,low,close,volume
2024-01-25,59.01,59.08,58.66,58.935,5676202
2024-01-24,59.8,59.81,58.89,58.91,15461344
2024-01-23,59.53,60.0,59.46,59.85,14481643
2024-01-22,59.755,60.065,59.44,59.57,14314265
2024-01-19,60.26,60.28,59.64,59.83,14392600
2024-01-18,59.69,60.23,59.525,60.16,10397682
2024-01-17,59.86,60.21,59.82,59.99,8982132
2024-01-16,60.39,60.43,59.85,59.99,11826910
2024-01-12,60.08,60.46,59.87,60.39,13216900
2024-01-11,60.25,60.26,59.69,59.81,13754200
2024-01-10,60.22,60.41,59.98,60.2,12258000
2024-01-09,59.99,60.14,59.62,60.0,10493700
2024-01-08,59.68,60.18,59.42,60.11,11554600
2024-01-05,59.8,59.95,59.09,59.67,10411400
2024-01-04,60.05,60.26,59.66,59.76,12912900
2024-01-03,59.93,60.2,59.76,59.96,14830600
2024-01-02,58.8,59.88,58.67,59.82,16322600
2023-12-29,58.74,58.98,58.63,58.93,9241600
2023-12-28,58.65,58.87,58.53,58.75,8400100
2023-12-27,58.64,58.77,58.4,58.71,8560100
2023-12-26,58.06,58.71,58.06,58.56,6422500
2023-12-22,58.12,58.46,58.02,58.32,9028500
2023-12-21,57.85,58.07,57.47,57.99,11725100
2023-12-20,58.5,58.67,57.57,57.61,17701000
2023-12-19,59.0,59.2,58.64,58.83,14612200
2023-12-18,58.8,59.49,58.62,59.02,16717700
2023-12-15,58.83,59.17,57.8,58.6,65172300
2023-12-14,59.97,60.04,58.77,59.04,22478300
2023-12-13,59.45,60.02,59.26,59.93,16196800
2023-12-12,59.2,59.42,58.9,59.42,12899000
2023-12-11,58.83,59.09,58.5,59.04,14524800
2023-12-08,58.74,58.75,58.37,58.61,11177600
2023-12-07,58.67,58.89,58.39,58.74,11587900
2023-12-06,58.56,58.73,58.21,58.6,14868500
2023-12-05,58.55,58.83,58.42,58.66,11891500
2023-12-04,58.59,58.96,58.44,58.57,14942200
2023-12-01,58.27,58.69,58.24,58.64,15369600
2023-11-30,57.96,58.46,57.6,58.44,22727500
2023-11-29,58.58,58.67,58.1,58.23,11263600
2023-11-28,58.4,58.83,58.36,58.58,13739600
2023-11-27,58.54,58.69,58.27,58.46,16246500
2023-11-24,58.46,58.75,58.34,58.57,4816000
2023-11-22,58.26,58.54,58.13,58.42,11320600
2023-11-21,57.46,58.04,57.33,58.03,13891600
2023-11-20,57.05,57.58,56.96,57.4,13051000
2023-11-17,57.19,57.34,56.7,57.26,14475800
2023-11-16,57.25,57.53,56.81,57.15,16010400
2023-11-15,57.3,57.34,56.75,57.21,10201900
2023-11-14,57.02,57.24,56.81,57.1,12697100
2023-11-13,56.62,57.1,56.6,56.93,12798200
2023-11-10,56.87,56.93,56.06,56.72,11678900
2023-11-09,57.03,57.14,56.37,56.66,12021100
2023-11-08,57.32,57.47,56.92,57.09,13744000
2023-11-07,56.92,57.4,56.73,57.18,10449300
2023-11-06,56.78,57.28,56.74,56.97,12673200
2023-11-03,57.4,57.59,56.7,56.74,13956500
2023-11-02,56.5,57.15,56.36,57.09,13087200
2023-11-01,56.8,56.88,56.26,56.44,14110800
2023-10-31,56.57,56.72,56.15,56.49,16639400
2023-10-30,55.43,56.28,55.42,56.15,15014300
2023-10-27,55.55,56.14,55.1,55.24,13626500
2023-10-26,56.37,56.63,55.72,55.78,16228400
2023-10-25,55.76,56.22,55.56,56.12,16701000
2023-10-24,55.65,56.17,55.3,55.64,25290800
2023-10-23,54.38,54.89,54.05,54.08,21212700
2023-10-20,54.53,55.02,54.44,54.57,15674600
2023-10-19,54.16,54.76,53.86,54.35,16202200
2023-10-18,54.1,54.53,53.92,54.05,12809500
2023-10-17,53.31,54.1,53.21,54.07,16457200
2023-10-16,53.02,53.56,52.84,53.43,12816800
2023-10-13,52.74,53.42,52.64,52.89,14494600
2023-10-12,53.76,53.83,52.43,52.81,19330400
2023-10-11,54.22,54.28,53.02,53.71,21138900
2023-10-10,54.13,54.33,53.56,54.03,20909700
2023-10-09,52.96,53.15,52.11,52.88,15704700
2023-10-06,52.04,53.29,51.55,53.14,30292000
2023-10-05,54.74,54.95,52.24,52.38,29878100
2023-10-04,54.89,55.28,54.71,55.04,12100500
2023-10-03,55.16,55.43,54.78,54.88,13604200
2023-10-02,55.91,56.01,55.08,55.48,11792500
2023-09-29,56.14,56.27,55.62,55.98,12270000
2023-09-28,56.23,56.32,55.7,55.81,12484800
2023-09-27,56.42,56.53,55.68,55.95,13766300
2023-09-26,56.73,56.9,56.4,56.53,11194700
2023-09-25,57.4,57.49,56.74,57.0,12358800
2023-09-22,57.85,57.97,57.5,57.6,14644100
2023-09-21,58.37,58.42,57.42,57.54,15941800
2023-09-20,58.3,58.83,58.08,58.44,14766600
2023-09-19,58.26,58.39,57.92,58.18,11998900
2023-09-18,57.98,58.35,57.63,58.3,13617400
2023-09-15,58.41,58.64,57.75,57.94,55690500
2023-09-14,58.24,58.59,58.19,58.46,12311600
2023-09-13,58.4,58.68,58.34,58.44,12641400
2023-09-12,58.99,59.0,58.19,58.3,12292700
2023-09-11,58.4,58.99,58.23,58.88,14767400
2023-09-08,58.3,58.41,58.01,58.33,14312300
2023-09-07,58.95,59.16,58.3,58.33,17628600
2023-09-06,58.62,58.83,58.42,58.78,13923500
2023-09-05,59.25,59.32,58.67,58.82,12474600
2023-09-01,60.0,60.13,59.12,59.31,11257200
2023-08-31,60.3,60.47,59.81,59.83,14663500
2023-08-30,60.64,60.74,60.29,60.47,9447900
2023-08-29,60.56,60.63,60.15,60.5,8189600
2023-08-28,60.55,60.73,60.37,60.56,6254300
2023-08-25,60.41,60.57,60.01,60.39,7629200
2023-08-24,60.27,60.88,60.09,60.11,8955100
2023-08-23,60.2,60.44,60.16,60.27,7749500
2023-08-22,60.34,60.58,59.98,60.06,9412200
2023-08-21,60.86,60.93,60.32,60.43,8648500
