date,open,high,low,close,volume
2024-01-25,53.69,54.495,53.54,54.455,1072185
2024-01-24,54.36,54.4,53.42,53.47,4232973
2024-01-23,53.8,54.53,53.51,54.45,2798638
2024-01-22,53.635,54.0,53.3062,53.61,2652505
2024-01-19,54.61,54.61,53.83,53.93,2019974
2024-01-18,54.25,54.59,53.96,54.56,1610568
2024-01-17,53.91,54.8199,53.71,54.53,1971601
2024-01-16,55.26,55.31,54.01,54.14,3256946
2024-01-12,55.45,55.75,55.04,55.42,3129934
2024-01-11,55.68,55.73,55.135,55.25,3143193
2024-01-10,56.43,56.59,55.595,55.79,2808047
2024-01-09,56.24,56.46,55.8901,56.39,2523428
2024-01-08,56.56,56.88,56.345,56.54,3357548
2024-01-05,56.84,57.02,56.215,56.66,2898332
2024-01-04,57.58,57.795,56.83,56.84,2489799
2024-01-03,57.93,58.23,57.29,57.48,2575406
2024-01-02,55.89,57.945,55.73,57.76,3187513
2023-12-29,55.59,55.98,55.43,55.91,1878259
2023-12-28,55.11,55.67,55.06,55.62,3206415
2023-12-27,54.91,55.21,54.71,55.17,2183658
2023-12-26,54.36,55.09,54.12,55.0,1650019
2023-12-22,54.0,54.65,53.88,54.48,2277100
2023-12-21,53.12,53.85,53.09,53.85,2716400
2023-12-20,52.95,53.67,52.67,53.03,2992600
2023-12-19,53.81,53.97,53.32,53.64,2579600
2023-12-18,54.03,54.29,53.64,53.93,2281900
2023-12-15,54.46,54.71,53.48,53.77,7962500
2023-12-14,55.49,55.57,54.68,54.83,3499000
2023-12-13,54.05,55.4,53.91,55.3,2541500
2023-12-12,54.33,54.42,53.85,54.04,2382000
2023-12-11,53.84,54.26,53.7,54.25,2917900
2023-12-08,54.15,54.21,53.44,53.7,1643000
2023-12-07,53.8,54.41,53.28,54.16,2206800
2023-12-06,53.33,54.45,53.29,53.71,2675300
2023-12-05,53.59,53.66,53.15,53.35,2238400
2023-12-04,52.71,53.8,52.68,53.65,2052900
2023-12-01,52.47,52.91,52.04,52.88,1957400
2023-11-30,51.29,52.58,51.02,52.54,4266800
2023-11-29,52.13,52.25,51.63,51.66,2291600
2023-11-28,52.31,52.44,52.08,52.28,2212500
2023-11-27,53.39,53.45,52.37,52.5,2244800
2023-11-24,53.0,53.52,53.0,53.47,913700
2023-11-22,52.83,53.38,52.75,52.98,2292400
2023-11-21,52.67,53.14,52.43,52.82,2983500
2023-11-20,52.62,53.03,52.5,52.52,3043300
2023-11-17,52.4,53.03,51.53,52.8,3188100
2023-11-16,52.26,52.68,52.05,52.2,2738600
2023-11-15,52.58,52.9,52.26,52.3,2641000
2023-11-14,52.39,52.86,52.21,52.58,3125700
2023-11-13,51.69,52.59,51.57,52.21,2564200
2023-11-10,52.09,52.26,51.55,51.82,2012400
2023-11-09,52.28,52.3,51.36,52.0,2455400
2023-11-08,52.62,54.0,51.45,51.99,4134900
2023-11-07,51.15,51.41,50.81,50.9,2614000
2023-11-06,51.88,52.05,51.32,51.34,1806800
2023-11-03,52.0,52.27,51.55,52.06,2988100
2023-11-02,50.83,51.88,50.83,51.73,2948800
2023-11-01,50.66,50.86,50.48,50.6,2689300
2023-10-31,50.49,50.7,50.14,50.47,2367000
2023-10-30,50.73,50.8,49.79,50.2,2394100
2023-10-27,50.64,51.14,50.33,50.4,1838600
2023-10-26,51.04,51.39,50.57,50.87,2201600
2023-10-25,50.3,51.04,50.13,50.96,2123600
2023-10-24,49.51,50.34,49.41,50.26,2092500
2023-10-23,49.75,50.13,49.28,49.37,3132200
2023-10-20,50.03,50.84,50.03,50.12,2920300
2023-10-19,50.12,50.47,49.6,49.89,3777400
2023-10-18,50.62,51.13,50.24,50.31,2542700
2023-10-17,50.04,50.85,50.04,50.62,2612700
2023-10-16,50.05,50.57,49.57,50.29,2773400
2023-10-13,48.71,50.02,48.46,49.86,3339400
2023-10-12,49.45,49.45,47.63,48.62,4499300
2023-10-11,50.81,50.93,49.3,49.53,2635800
2023-10-10,50.92,51.11,50.41,50.71,3377100
2023-10-09,50.36,50.76,49.4,50.5,3364100
2023-10-06,50.26,50.49,48.34,50.43,4974100
2023-10-05,52.65,52.74,50.62,50.64,3687600
2023-10-04,53.04,53.28,52.24,52.97,3822800
2023-10-03,52.37,53.46,52.06,52.99,5218500
2023-10-02,55.7,55.82,51.83,52.5,7357100
2023-09-29,55.82,56.02,55.56,55.88,3635697
2023-09-28,55.63,55.76,55.13,55.59,2409563
2023-09-27,55.48,55.7,54.87,55.51,2550888
2023-09-26,55.73,56.0,55.52,55.57,2456742
2023-09-25,56.27,56.64,55.68,55.86,3036848
2023-09-22,56.69,57.0,56.53,56.54,2517873
2023-09-21,57.02,57.36,56.61,56.77,2672085
2023-09-20,56.81,57.32,56.25,57.04,2070573
2023-09-19,56.46,56.93,56.26,56.61,2808831
2023-09-18,56.5,56.54,55.76,56.49,2309985
2023-09-15,56.16,56.69,56.11,56.3,6092972
2023-09-14,55.4,56.37,55.37,56.25,2792324
2023-09-13,56.16,56.32,55.23,55.32,3206822
2023-09-12,56.43,56.48,55.53,55.96,2992544
2023-09-11,55.94,56.3,55.67,56.2,2267492
2023-09-08,55.75,55.83,55.29,55.79,2462174
2023-09-07,55.96,56.47,55.49,55.75,2464836
2023-09-06,55.99,56.17,55.6,55.68,2102310
2023-09-05,56.1,56.59,55.83,55.84,2799246
2023-09-01,57.38,57.69,56.08,56.23,2765805
2023-08-31,57.54,57.74,57.16,57.3,3233340
2023-08-30,57.75,58.38,57.75,57.94,2958038
2023-08-29,57.96,58.02,57.16,57.74,1845006
2023-08-28,57.5,57.92,57.46,57.62,1813482
2023-08-25,57.46,57.83,57.15,57.5,1740423
2023-08-24,57.19,57.7,56.87,57.12,1873974
2023-08-23,57.11,57.54,56.84,57.14,1911675
2023-08-22,57.33,57.46,57.0,57.04,2297738
2023-08-21,57.91,58.03,57.05,57.39,2201036
2023-08-18,57.66,58.32,57.66,58.08,2058113
2023-08-17,58.23,58.38,57.67,57.68,2080158
2023-08-16,59.15,59.37,58.19,58.27,2265894
2023-08-15,59.89,59.92,59.26,59.28,2362064
2023-08-14,60.31,60.38,59.83,60.02,2599665
2023-08-11,59.85,60.19,59.65,60.08,2137136
2023-08-10,59.7,60.35,59.51,59.71,2500194
2023-08-09,59.57,60.44,59.18,59.71,3385103
2023-08-08,61.03,61.03,59.54,59.59,2736198
2023-08-07,60.85,61.38,60.81,60.85,2139905
2023-08-04,61.99,62.22,60.74,60.85,2428520
2023-08-03,62.64,63.65,61.81,62.21,3669671
2023-08-02,62.08,63.27,61.99,62.57,2867726
2023-08-01,62.92,63.05,61.81,62.15,3196704
2023-07-31,63.46,63.46,62.51,62.81,4531682
2023-07-28,63.4,63.67,63.1,63.46,1806240
2023-07-27,63.37,63.67,62.86,63.03,2307962
2023-07-26,63.74,64.07,63.39,63.42,1718484
2023-07-25,63.85,63.95,63.25,63.81,1846284
2023-07-24,63.79,63.95,63.5,63.71,1715289
2023-07-21,63.57,63.82,63.34,63.64,1932230
2023-07-20,63.23,63.78,62.85,63.6,2449820
2023-07-19,62.64,63.12,62.42,63.08,2276864
2023-07-18,62.8,63.21,62.31,62.55,1416237
2023-07-17,63.26,63.31,62.61,62.65,1344563
2023-07-14,63.61,63.63,63.11,63.44,1983669
2023-07-13,63.8,63.85,63.08,63.5,2370371
2023-07-12,63.31,63.91,63.13,63.77,2156199
2023-07-11,63.07,63.35,62.8,63.34,1663956
2023-07-10,63.34,63.68,62.67,62.9,1743831
2023-07-07,64.05,64.14,63.07,63.09,1972167
2023-07-06,64.09,64.42,63.74,64.21,2377826
2023-07-05,64.14,64.5,63.8,64.23,2199012
2023-07-03,63.09,64.37,62.84,64.37,1477262
2023-06-30,62.86,63.48,62.75,63.29,2497532
2023-06-29,61.36,62.77,61.14,62.74,3167417
2023-06-28,61.46,61.63,60.43,61.55,5115728
2023-06-27,63.94,64.23,62.54,62.63,3921437
2023-06-26,61.03,61.62,60.26,61.6,2293265
2023-06-23,61.9,62.08,61.14,61.18,4967267
2023-06-22,61.71,61.83,61.39,61.55,3474243
2023-06-21,61.58,61.79,61.01,61.26,3245268
2023-06-20,62.26,62.28,61.55,61.56,2219141
2023-06-16,61.66,62.3,61.66,62.24,4170008
2023-06-15,62.01,62.58,61.62,61.92,2828321
2023-06-14,61.75,62.24,61.52,62.1,1727111
2023-06-13,61.03,61.66,60.66,61.58,2252795
2023-06-12,63.15,63.19,61.03,61.41,5257692
2023-06-09,62.48,63.33,62.38,63.06,2085909
2023-06-08,62.31,62.62,61.92,62.51,3360288
2023-06-07,61.45,62.54,60.34,62.33,3475095
2023-06-06,63.53,63.77,62.08,62.75,2567715
2023-06-05,63.28,64.02,63.15,63.38,1888458
2023-06-02,61.77,63.31,61.71,63.28,2579856
2023-06-01,62.79,62.91,61.86,62.0,2518832
2023-05-31,61.99,62.83,61.82,62.69,5689017
2023-05-30,63.28,63.34,62.28,62.36,2654193
2023-05-26,63.62,63.87,63.21,63.54,1935425
2023-05-25,63.94,64.06,63.42,63.78,1742127
2023-05-24,64.53,64.73,64.06,64.36,1881003
2023-05-23,64.14,64.6,63.62,64.35,2263977
2023-05-22,65.21,65.36,64.07,64.17,2218502
2023-05-19,64.86,65.32,64.63,65.1,1842131
