date,open,high,low,close,volume
2024-01-25,205.1,206.015,202.965,204.8,1199860
2024-01-24,206.2,207.37,204.04,204.25,873170
2024-01-23,207.0,208.93,204.875,206.09,1306153
2024-01-22,205.0,207.5055,203.53,206.82,1184160
2024-01-19,206.2,206.2,203.77,204.82,959238
2024-01-18,204.45,206.05,203.0,205.73,676083
2024-01-17,204.16,208.6165,203.94,204.54,761907
2024-01-16,207.75,207.97,204.14,205.09,826087
2024-01-12,204.99,208.04,204.41,207.8,1049640
2024-01-11,206.05,206.06,201.04,202.92,1414547
2024-01-10,203.14,203.89,202.14,203.47,1087622
2024-01-09,205.55,205.71,203.445,203.5,995020
2024-01-08,204.7,206.719,203.62,206.4,1113062
2024-01-05,207.47,207.47,204.12,205.21,949742
2024-01-04,211.3,211.7,207.48,207.53,1131198
2024-01-03,209.88,212.13,208.4,209.82,1379184
2024-01-02,210.495,213.13,209.3,209.78,1275540
2023-12-29,210.68,211.38,210.02,210.62,628825
2023-12-28,209.36,211.515,209.36,210.92,789811
2023-12-27,209.32,210.155,209.12,209.89,499756
2023-12-26,207.89,209.9,207.56,209.72,561931
2023-12-22,208.56,209.68,207.85,208.49,741871
2023-12-21,207.78,209.31,206.4,207.54,811460
2023-12-20,209.97,211.99,206.53,206.58,920490
2023-12-19,209.8,211.1399,209.34,210.12,1757979
2023-12-18,208.27,210.625,208.18,209.8,1963886
2023-12-15,206.5,208.58,206.5,208.37,3294498
2023-12-14,207.44,209.0,205.44,206.6,2482644
2023-12-13,201.0,208.44,200.49,208.08,2985717
2023-12-12,200.72,200.72,198.2201,200.31,1734493
2023-12-11,196.42,203.0,196.42,201.07,2206467
2023-12-08,197.01,197.19,193.34,195.81,1273620
2023-12-07,199.92,200.29,196.38,196.68,909682
2023-12-06,198.5,200.095,197.88,198.95,990473
2023-12-05,199.0,199.62,197.81,198.01,1354635
2023-12-04,193.91,199.44,192.95,199.28,1863724
2023-12-01,190.87,194.93,190.17,194.69,1110041
2023-11-30,189.6,190.91,188.95,190.81,1363422
2023-11-29,189.08,189.775,188.06,188.66,661849
2023-11-28,189.01,189.74,187.6775,189.1,726570
2023-11-27,190.86,190.86,187.3708,187.92,676154
