date,open,high,low,close,volume
2024-01-25,300.74,301.3,296.091,297.0,1503978
2024-01-24,300.0,302.035,299.31,300.44,3208948
2024-01-23,297.44,300.21,297.125,300.05,1873976
2024-01-22,300.95,302.39,297.7375,298.41,3250224
2024-01-19,298.0,301.08,296.525,300.53,4250885
2024-01-18,292.09,294.48,291.31,294.36,2221156
2024-01-17,290.14,292.34,290.125,291.16,2008289
2024-01-16,293.47,294.25,289.98,291.09,2859014
2024-01-12,295.46,295.75,292.84,293.47,1714200
2024-01-11,294.45,294.95,290.65,294.15,2047400
2024-01-10,291.0,294.39,290.87,294.09,2199700
2024-01-09,289.63,290.87,287.52,290.87,2176400
2024-01-08,288.51,292.0,287.52,291.9,3097000
2024-01-05,289.21,290.33,287.2,288.99,3406900
2024-01-04,295.32,297.27,290.92,291.74,4615400
2024-01-03,297.0,297.99,294.25,294.39,3114800
2024-01-02,295.05,297.28,295.05,297.04,4458400
2023-12-29,295.83,296.85,295.31,296.51,2227500
2023-12-28,294.47,296.47,294.0,295.84,1907100
2023-12-27,292.5,294.63,292.46,294.55,1892100
2023-12-26,291.22,293.05,290.89,292.86,1381500
2023-12-22,290.7,292.47,290.5,291.7,1700300
2023-12-21,290.57,291.53,289.29,291.39,2313100
2023-12-20,290.73,291.67,288.72,288.99,2398500
2023-12-19,290.67,291.72,289.59,290.73,2054200
2023-12-18,288.65,290.59,287.56,290.23,2490100
2023-12-15,290.41,291.75,285.72,287.27,6324300
2023-12-14,294.6,295.27,288.01,290.02,4626800
2023-12-13,291.69,295.97,291.55,295.93,3312300
2023-12-12,289.12,291.7,288.51,291.42,2252200
2023-12-11,285.56,289.31,285.56,289.15,3353000
2023-12-08,287.33,287.9,285.05,285.53,3623600
2023-12-07,287.49,288.15,285.64,286.79,3131900
2023-12-06,286.73,287.37,283.4,286.86,2765100
2023-12-05,286.55,288.76,285.21,286.54,3005300
2023-12-04,284.99,287.4,284.99,286.13,3522900
2023-12-01,283.25,286.86,283.0,285.96,4967400
2023-11-30,280.42,282.28,278.06,281.84,5030400
2023-11-29,282.21,282.47,279.5,280.38,2433400
2023-11-28,281.5,283.54,281.35,282.09,2199600
2023-11-27,282.66,283.9,281.09,281.84,3703900
2023-11-24,282.0,282.59,281.03,282.54,1218000
2023-11-22,281.25,282.41,281.2,281.93,2285000
2023-11-21,279.87,280.67,278.43,280.47,2940800
2023-11-20,275.35,279.8,275.02,279.03,3499400
2023-11-17,276.55,277.12,275.15,275.75,2604800
2023-11-16,271.07,276.16,271.03,276.12,3593700
2023-11-15,272.43,273.1,269.02,270.39,2575900
2023-11-14,270.0,271.66,269.35,271.49,2647800
2023-11-13,267.4,269.72,267.26,269.2,2591900
2023-11-10,267.33,268.13,265.21,267.79,2664900
2023-11-09,268.24,268.34,265.94,266.91,2501700
2023-11-08,268.83,270.06,267.28,267.49,2223300
2023-11-07,268.8,269.79,268.11,268.67,2360800
2023-11-06,268.01,269.11,267.3,268.91,3090600
2023-11-03,267.56,268.61,265.49,267.87,3126200
2023-11-02,263.59,267.42,263.51,266.85,4109700
2023-11-01,263.0,263.39,259.83,261.97,3543000
2023-10-31,263.46,263.69,259.75,262.17,3990600
2023-10-30,260.1,262.06,254.6,260.15,6305100
2023-10-27,256.55,259.38,254.87,255.76,3209000
2023-10-26,258.36,259.54,255.68,255.83,2702600
2023-10-25,258.12,259.43,256.94,258.03,2759100
2023-10-24,254.68,257.76,254.68,257.27,2468000
2023-10-23,256.61,257.24,254.54,254.75,3409800
2023-10-20,258.96,260.34,257.56,258.11,3778200
2023-10-19,256.26,262.56,256.26,258.38,5646200
2023-10-18,252.85,257.09,252.34,256.03,4559200
2023-10-17,250.09,251.4,249.38,251.14,2627500
2023-10-16,249.22,250.49,248.07,249.94,2774700
2023-10-13,246.82,248.81,246.0,248.31,2646500
2023-10-12,251.69,252.15,245.88,246.19,3528300
2023-10-11,252.59,252.69,249.39,250.92,2919400
2023-10-10,251.72,253.43,250.5,251.52,3129600
2023-10-09,247.72,249.99,247.26,249.92,2782300
2023-10-06,250.0,250.82,245.73,248.22,5129500
2023-10-05,256.0,257.85,251.58,252.23,3799600
2023-10-04,255.33,256.25,254.01,255.81,2820000
2023-10-03,257.21,258.3,253.87,254.49,3408100
2023-10-02,262.0,262.07,257.46,257.75,4425000
2023-09-29,267.15,267.37,261.75,263.44,3366600
2023-09-28,264.23,266.31,263.13,265.59,2182400
2023-09-27,267.72,267.94,262.29,263.64,2735000
2023-09-26,268.82,269.3,266.58,267.72,2251600
2023-09-25,270.45,271.76,268.91,269.78,1895500
2023-09-22,271.4,273.64,270.83,272.22,1958300
2023-09-21,276.94,277.19,271.02,271.22,2370100
2023-09-20,278.74,280.27,277.14,277.2,1979300
2023-09-19,276.44,278.26,276.44,278.13,2128100
2023-09-18,278.72,280.27,276.93,277.72,2884800
2023-09-15,283.86,283.86,277.73,278.23,5720400
2023-09-14,283.33,285.6,282.57,284.76,2219700
2023-09-13,281.67,282.89,280.61,281.77,1724300
2023-09-12,279.49,281.5,277.69,280.71,1450200
2023-09-11,279.69,280.13,278.56,279.76,2433200
2023-09-08,278.08,280.35,277.85,279.22,2351300
2023-09-07,277.25,278.99,276.1,278.33,3732800
2023-09-06,278.0,278.65,275.0,275.44,2705800
2023-09-05,281.0,281.64,279.06,279.16,2410300
2023-09-01,282.54,283.14,279.13,280.94,2136400
2023-08-31,283.21,283.8,280.88,281.15,2979800
2023-08-30,283.8,285.98,283.29,284.24,2410700
2023-08-29,283.95,284.57,280.43,283.59,2348500
2023-08-28,284.58,286.2,283.51,283.68,2317600
2023-08-25,284.76,286.14,283.51,284.58,3725200
2023-08-24,281.74,284.75,281.74,282.35,2006400
2023-08-23,282.02,283.15,280.65,281.87,2308800
2023-08-22,280.76,280.82,279.09,280.31,2052300
2023-08-21,281.7,282.29,278.68,280.04,2682600
2023-08-18,281.72,283.74,280.3,281.74,2624500
2023-08-17,286.15,286.54,281.78,281.86,2148400
2023-08-16,287.57,288.88,285.03,285.4,1829400
2023-08-15,287.95,289.08,287.12,288.3,1883800
2023-08-14,288.79,289.85,287.62,288.81,1712400
2023-08-11,287.25,288.96,286.76,288.62,1760900
2023-08-10,288.81,290.37,286.78,287.6,2436300
2023-08-09,289.0,289.72,287.88,288.23,1895800
2023-08-08,291.05,291.6,288.54,289.58,1948400
2023-08-07,287.88,291.4,287.86,291.4,2176800
2023-08-04,292.41,292.82,286.76,287.02,2517300
2023-08-03,288.8,291.27,288.65,291.02,1910700
2023-08-02,290.26,293.45,289.38,289.62,2388300
2023-08-01,293.0,293.91,290.25,291.07,1916200
2023-07-31,293.61,294.24,290.05,293.2,3296000
2023-07-28,295.8,297.7,292.95,294.03,2843000
2023-07-27,292.0,298.9,291.51,295.19,4698300
2023-07-26,292.25,292.58,289.5,291.75,2896900
2023-07-25,294.2,294.93,291.65,292.36,2780600
2023-07-24,296.0,296.95,294.86,295.31,2034400
2023-07-21,297.66,299.35,295.32,295.61,2834100
2023-07-20,294.31,297.56,294.11,297.13,2104300
2023-07-19,295.0,295.4,293.22,294.13,1969200
2023-07-18,294.47,295.75,292.46,293.82,1991600
2023-07-17,295.08,296.86,294.55,294.68,1669900
2023-07-14,295.25,296.05,294.01,294.94,1550000
2023-07-13,295.39,296.66,295.01,295.22,1656900
2023-07-12,296.83,297.1,295.2,295.61,2156000
2023-07-11,295.29,295.5,291.77,294.74,1529600
2023-07-10,292.4,295.62,292.33,294.49,1703700
2023-07-07,293.72,294.36,291.55,292.1,2586500
2023-07-06,295.32,296.58,293.44,294.92,2569600
2023-07-05,295.11,297.31,294.59,296.9,2356000
2023-07-03,297.79,298.4,294.8,294.84,1601300
2023-06-30,295.14,299.1,294.89,298.41,2644700
2023-06-29,291.55,294.66,290.21,294.47,1744000
2023-06-28,291.45,291.82,289.05,291.74,1666500
2023-06-27,290.31,292.49,289.65,291.3,1815000
2023-06-26,289.64,289.75,287.07,289.09,1851800
2023-06-23,291.35,292.45,289.64,289.91,3720600
2023-06-22,294.62,295.08,291.52,293.3,1799400
2023-06-21,293.32,295.16,292.81,294.52,2837100
2023-06-20,293.65,297.18,292.68,293.04,2729800
2023-06-16,294.51,296.57,293.14,293.7,4890400
2023-06-15,289.65,293.48,288.26,292.61,2619200
2023-06-14,288.1,289.56,287.31,288.44,1964500
2023-06-13,288.5,289.69,287.55,288.55,2027800
2023-06-12,288.16,288.75,286.5,288.57,1885000
2023-06-09,285.52,287.28,284.74,286.79,1975900
2023-06-08,280.97,286.06,280.0,285.78,3043700
2023-06-07,284.45,284.74,281.31,281.9,3614800
2023-06-06,289.86,290.23,281.98,284.54,2771500
2023-06-05,290.0,290.5,288.03,288.43,1974500
2023-06-02,286.7,290.2,286.14,289.91,2869000
2023-06-01,284.92,288.04,283.6,287.87,2605300
2023-05-31,284.88,285.7,283.35,285.11,3104900
2023-05-30,283.93,286.35,283.68,284.92,3385200
2023-05-26,285.68,288.75,285.68,286.04,2148200
2023-05-25,286.79,286.91,284.71,285.52,2748100
2023-05-24,286.45,287.12,284.58,285.92,2262100
2023-05-23,288.15,288.5,285.44,286.37,2943900
2023-05-22,295.55,296.64,289.14,289.35,2514700
2023-05-19,293.84,296.0,292.47,295.55,2371200
2023-05-18,293.25,294.43,291.13,294.05,2410700
2023-05-17,295.52,295.52,292.65,293.46,2802100
2023-05-16,295.94,296.19,293.98,294.15,2859500
2023-05-15,295.77,296.64,294.66,295.9,1700500
2023-05-12,295.19,296.43,294.31,296.14,1801700
2023-05-11,296.5,296.94,293.36,294.79,1955100
2023-05-10,296.38,298.0,293.84,296.57,1849300
2023-05-09,298.63,298.86,296.3,296.66,1637500
2023-05-08,297.1,297.37,295.57,296.69,2969600
2023-05-05,295.77,297.02,294.46,296.6,1815400
2023-05-04,296.06,296.31,293.47,295.16,2005300
2023-05-03,296.76,297.26,294.65,295.22,2425500
2023-05-02,297.37,298.46,295.58,298.07,2083800
2023-05-01,295.72,298.8,295.65,297.58,2124400
2023-04-28,294.83,296.18,293.91,295.75,2837200
2023-04-27,290.72,295.05,290.0,294.72,3142300
2023-04-26,289.98,291.5,289.76,289.76,3290000
2023-04-25,295.0,295.0,289.43,291.51,5845200
2023-04-24,292.83,293.43,291.71,293.2,2995200
2023-04-21,292.32,292.53,290.51,292.06,2171200
2023-04-20,290.96,291.67,289.88,291.0,2274200
2023-04-19,290.91,291.6,290.19,291.27,2254000
2023-04-18,289.4,291.19,289.0,290.91,2086700
2023-04-17,289.84,290.51,288.18,289.31,2371000
2023-04-14,289.29,289.94,287.62,288.98,2054700
2023-04-13,286.57,289.54,286.11,289.07,3229300
2023-04-12,283.85,286.79,283.5,285.3,2557400
2023-04-11,283.17,285.54,282.75,284.48,2732900
