date,open,high,low,close,volume
2024-01-25,74.29,74.62,73.89,74.11,2414177
2024-01-24,74.18,74.4,73.82,73.95,6612046
2024-01-23,73.25,74.605,73.1875,74.41,6295235
2024-01-22,72.79,73.47,72.65,73.12,5210224
2024-01-19,72.96,73.13,72.42,72.85,6427688
2024-01-18,73.36,73.36,72.65,72.91,5121720
2024-01-17,72.7,73.385,72.55,73.3,4650692
2024-01-16,73.0,73.235,72.55,72.85,6040927
2024-01-12,73.2,73.38,72.72,73.12,4494000
2024-01-11,72.85,73.06,72.28,72.78,5221500
2024-01-10,73.7,73.77,72.82,73.08,4675800
2024-01-09,73.09,73.77,72.64,73.74,5078800
2024-01-08,73.1,73.83,73.1,73.71,5596700
2024-01-05,73.06,73.44,72.6,73.09,3733200
2024-01-04,73.09,73.86,73.04,73.28,5218700
2024-01-03,74.36,74.43,73.2,73.28,5610000
2024-01-02,72.37,73.96,72.37,73.84,6321800
2023-12-29,72.14,72.65,72.11,72.43,4658600
2023-12-28,71.78,72.35,71.69,72.26,4095300
2023-12-27,71.77,72.26,71.54,72.21,4061500
2023-12-26,71.2,71.9,71.0,71.71,4002900
2023-12-22,70.83,71.57,70.75,71.21,4109000
2023-12-21,69.62,70.48,69.5,70.46,5538100
2023-12-20,70.37,70.71,69.24,69.33,9276100
2023-12-19,70.85,71.38,70.76,71.05,5096700
2023-12-18,71.26,71.5,70.6,71.06,5243900
2023-12-15,70.41,71.07,70.04,70.7,15088700
2023-12-14,73.03,73.03,70.57,70.7,8149600
2023-12-13,72.3,73.25,72.24,73.11,5504100
2023-12-12,72.36,72.38,71.57,72.27,5850100
2023-12-11,71.85,73.03,71.61,71.75,6648300
2023-12-08,71.5,71.79,71.05,71.09,5321900
2023-12-07,71.37,71.97,70.85,71.61,6082700
2023-12-06,71.0,71.38,70.6,71.29,6123300
2023-12-05,71.06,71.25,70.35,70.68,3992400
2023-12-04,70.38,71.42,70.35,71.22,6118900
2023-12-01,70.87,71.06,70.24,70.82,5265800
2023-11-30,70.28,71.09,69.94,71.06,9089900
2023-11-29,71.25,71.41,70.28,70.44,5163600
2023-11-28,71.55,71.81,71.24,71.43,5967700
2023-11-27,72.0,72.11,71.22,71.48,7100000
2023-11-24,71.64,71.88,71.44,71.62,2067700
2023-11-22,71.32,71.75,71.17,71.49,3647100
2023-11-21,71.0,71.44,70.91,70.97,6057500
2023-11-20,70.2,71.13,70.07,70.91,5778200
2023-11-17,71.0,71.0,70.21,70.63,5427800
2023-11-16,70.49,70.97,70.31,70.62,6440200
2023-11-15,69.74,70.69,69.74,69.99,7262100
2023-11-14,69.84,70.24,69.62,70.1,7502900
2023-11-13,69.03,69.76,68.96,69.3,6178700
2023-11-10,69.16,69.31,68.37,69.12,7076700
2023-11-09,69.07,69.36,68.81,68.94,7639100
2023-11-08,68.76,69.36,68.76,69.02,6608800
2023-11-07,68.65,68.83,68.08,68.49,8028600
2023-11-06,68.74,69.22,68.18,68.24,5600600
2023-11-03,68.65,69.09,68.34,68.82,9268900
2023-11-02,68.5,68.82,67.17,67.97,10467800
2023-11-01,66.45,67.26,66.24,66.82,7991300
2023-10-31,66.01,66.33,65.33,66.21,5575200
2023-10-30,65.42,66.17,65.27,65.98,6471700
2023-10-27,65.3,66.05,64.86,65.01,6251600
2023-10-26,65.89,66.38,65.39,65.65,6808900
2023-10-25,65.38,66.08,65.05,65.69,6916700
2023-10-24,64.2,65.72,64.16,65.55,7711000
2023-10-23,63.92,64.66,63.66,63.99,5162100
2023-10-20,64.34,65.03,64.08,64.1,9887000
2023-10-19,64.08,64.97,63.81,64.21,8736200
2023-10-18,63.71,64.61,63.7,64.15,7677000
2023-10-17,62.46,63.59,62.42,63.54,7935800
2023-10-16,61.87,62.95,61.83,62.62,7588900
2023-10-13,61.07,61.95,60.87,61.53,7316600
2023-10-12,62.77,62.84,60.75,61.04,8044800
2023-10-11,63.69,63.96,62.73,62.9,5996400
2023-10-10,64.4,64.5,63.3,63.63,9107700
2023-10-09,63.8,64.39,62.71,63.77,8349300
2023-10-06,64.38,64.41,61.19,63.36,19040300
2023-10-05,68.34,68.36,65.02,65.07,7626600
2023-10-04,67.79,68.8,67.38,68.68,5757700
2023-10-03,68.24,68.26,67.37,67.6,7959500
2023-10-02,69.2,69.29,68.04,68.49,4929100
2023-09-29,69.59,69.98,69.1,69.4,5562800
2023-09-28,69.81,70.05,69.33,69.39,6688800
2023-09-27,70.79,70.96,69.64,69.99,10621700
2023-09-26,69.53,70.94,69.46,70.57,9672000
2023-09-25,70.32,70.39,69.3,69.71,4516700
2023-09-22,70.71,71.06,70.35,70.43,5976200
2023-09-21,71.42,71.8,70.66,70.71,4773400
2023-09-20,71.74,72.08,71.2,71.64,3845800
2023-09-19,71.73,71.73,71.16,71.51,4048700
2023-09-18,72.38,72.38,71.44,71.86,3915000
2023-09-15,72.3,72.7,71.84,71.94,9339800
2023-09-14,71.5,72.55,71.37,72.38,5183200
