date,open,high,low,close,volume
2024-01-25,118.66,119.488,118.66,119.32,2672040
2024-01-24,119.7,119.95,118.44,118.88,5858694
2024-01-23,118.14,119.99,117.27,119.84,6501448
2024-01-22,119.04,119.97,118.86,119.43,8786168
2024-01-19,118.21,119.018,117.7238,118.89,7605594
2024-01-18,117.645,118.62,116.62,118.54,10524719
2024-01-17,119.18,119.399,117.605,118.13,5591406
2024-01-16,118.49,119.34,117.94,118.49,6832442
2024-01-12,118.07,118.67,117.65,118.63,6822100
2024-01-11,118.8,118.9,117.08,118.43,5754400
2024-01-10,118.19,119.17,117.74,118.86,7129100
2024-01-09,117.51,119.94,117.21,118.43,8822300
2024-01-08,117.59,117.89,116.18,117.38,8193100
2024-01-05,117.1,117.45,116.64,117.22,6860100
2024-01-04,115.92,117.65,115.86,117.01,11492200
2024-01-03,114.27,115.9,114.16,114.77,10721900
2024-01-02,109.16,113.32,109.16,113.24,11920100
2023-12-29,108.99,109.24,108.79,109.02,5886100
2023-12-28,108.3,109.06,108.13,108.77,5530400
2023-12-27,107.31,108.07,107.01,107.98,5387000
2023-12-26,107.5,108.09,107.22,107.63,4727700
2023-12-22,107.15,108.06,106.84,107.7,6028100
2023-12-21,105.79,106.61,105.34,106.39,5919400
2023-12-20,107.14,107.14,105.24,105.36,8441600
2023-12-19,106.05,106.66,105.44,106.49,8043100
2023-12-18,106.16,107.21,105.63,106.04,12805600
2023-12-15,104.89,106.27,104.26,105.11,26392900
2023-12-14,106.68,107.21,105.14,105.88,10723000
2023-12-13,104.16,107.11,103.97,107.11,10995000
2023-12-12,104.48,104.79,103.42,104.36,7933500
2023-12-11,104.85,105.47,103.57,104.37,7429700
2023-12-08,103.79,104.01,102.65,103.75,7530000
2023-12-07,105.59,105.6,103.73,103.88,9602200
2023-12-06,106.25,106.57,105.43,105.63,9954800
2023-12-05,104.92,106.4,104.18,106.23,10789100
2023-12-04,103.73,105.38,103.73,105.06,10169900
2023-12-01,102.85,103.68,102.66,103.46,6856400
2023-11-30,100.84,102.69,100.28,102.48,29299700
2023-11-29,100.28,101.17,99.8,101.13,10286800
2023-11-28,101.31,101.35,100.01,100.18,8738500
2023-11-27,101.91,102.15,100.7,101.43,7356500
2023-11-24,102.26,102.51,101.44,101.87,3168000
2023-11-22,102.2,102.68,101.11,101.68,5724000
2023-11-21,103.0,103.63,101.85,102.21,7403500
2023-11-20,100.97,102.93,100.89,102.68,7449900
2023-11-17,102.0,102.42,100.96,101.75,6767000
2023-11-16,101.83,102.06,101.03,101.99,7889700
2023-11-15,101.88,102.17,100.72,101.35,7392600
2023-11-14,102.66,103.22,101.9,102.17,6944400
2023-11-13,101.09,102.55,100.58,102.47,5878200
2023-11-10,102.84,103.36,100.6,101.39,7627100
2023-11-09,104.71,104.71,102.15,102.38,7377000
2023-11-08,103.98,105.17,103.84,104.4,8152100
2023-11-07,104.35,104.72,103.73,104.0,6616400
2023-11-06,104.08,104.37,103.14,104.34,5951200
2023-11-03,103.37,104.25,102.78,103.38,6005900
2023-11-02,102.74,103.06,101.65,102.85,5379100
2023-11-01,103.55,104.23,102.73,102.85,5838100
2023-10-31,102.77,103.55,101.4,102.7,7522600
2023-10-30,103.28,104.5,102.61,102.68,6915500
2023-10-27,105.32,105.57,102.22,102.82,8933800
2023-10-26,103.1,107.23,102.99,105.55,11335700
2023-10-25,103.35,104.61,102.95,103.63,7849200
2023-10-24,103.32,104.06,102.68,103.03,6347900
2023-10-23,102.83,104.15,102.67,103.35,8493000
2023-10-20,99.99,103.36,99.99,102.67,12466800
2023-10-19,101.66,101.73,99.14,100.43,7647600
2023-10-18,104.11,104.46,101.91,101.99,7136400
2023-10-17,104.0,104.49,103.15,104.17,5827200
2023-10-16,104.2,105.37,104.06,104.14,6473500
2023-10-13,103.61,104.52,102.78,104.01,5787500
2023-10-12,103.52,103.95,102.93,103.59,5124000
2023-10-11,104.0,104.21,102.85,103.46,5375100
2023-10-10,104.32,104.46,103.16,103.61,7177200
2023-10-09,103.5,105.19,103.31,104.5,5061100
2023-10-06,103.73,104.43,102.92,103.88,6854900
2023-10-05,102.36,103.71,102.34,103.6,6449100
2023-10-04,101.58,102.43,101.33,102.17,6720500
2023-10-03,102.24,102.44,100.92,101.77,5924000
2023-10-02,102.83,102.83,101.35,102.55,7079700
2023-09-29,104.36,104.68,102.71,102.95,7232700
2023-09-28,104.57,104.97,103.78,104.3,4758800
2023-09-27,105.45,105.52,103.3,103.94,5635500
2023-09-26,105.12,106.55,105.11,105.39,5400500
2023-09-25,106.05,106.19,105.11,105.84,6052200
2023-09-22,107.22,107.22,105.96,106.34,5027200
2023-09-21,107.27,107.88,106.42,106.73,5856600
2023-09-20,108.21,108.4,107.25,107.31,4593600
2023-09-19,107.65,108.18,106.91,107.36,5818300
2023-09-18,107.77,107.94,106.85,107.82,3911300
2023-09-15,108.12,108.93,107.26,107.52,9639000
2023-09-14,107.69,108.51,106.96,108.24,6872400
2023-09-13,108.98,109.67,107.67,107.81,6761500
2023-09-12,108.42,109.48,107.55,109.02,4605400
2023-09-11,109.33,109.44,108.34,108.6,5069300
2023-09-08,107.54,109.14,107.54,109.05,6807500
2023-09-07,106.91,108.69,106.86,107.94,8532600
2023-09-06,106.76,107.0,104.92,106.49,7926100
2023-09-05,109.46,109.72,107.49,107.51,6379900
2023-09-01,109.65,110.37,109.25,109.84,4941300
2023-08-31,110.12,110.54,108.89,108.98,9212000
2023-08-30,110.3,110.8,109.72,110.21,4785000
2023-08-29,109.28,110.52,108.93,109.99,5673100
2023-08-28,110.23,110.61,108.65,108.93,4335600
2023-08-25,109.94,110.33,108.98,110.21,4839100
2023-08-24,110.95,112.02,109.09,109.45,6487700
2023-08-23,109.99,111.89,109.82,111.3,10588200
2023-08-22,109.6,109.6,107.2,107.23,6026000
2023-08-21,109.09,110.0,108.95,109.64,6012500
2023-08-18,108.97,109.5,108.21,109.2,6710400
2023-08-17,108.66,110.28,108.32,108.92,6457800
2023-08-16,108.5,109.47,108.28,108.73,5332900
2023-08-15,108.89,109.42,108.42,108.66,5118700
2023-08-14,107.92,109.43,107.31,108.91,8427200
2023-08-11,105.95,107.71,105.59,107.44,5904300
2023-08-10,106.21,107.04,105.42,105.57,6525700
2023-08-09,106.27,106.79,105.79,106.1,6479500
2023-08-08,105.69,107.19,105.69,106.41,10152200
2023-08-07,105.29,106.28,104.42,106.09,8259100
2023-08-04,105.64,106.42,104.51,105.0,6700700
2023-08-03,105.08,105.78,104.87,105.73,6039300
2023-08-02,106.03,108.14,104.88,105.7,10873500
2023-08-01,109.6,109.6,105.14,105.28,10009200
2023-07-31,106.55,106.77,105.67,106.65,7397500
2023-07-28,105.43,106.65,105.24,106.34,6903800
2023-07-27,107.24,107.62,105.17,105.27,9813100
2023-07-26,106.8,108.01,106.06,107.14,7042700
2023-07-25,107.64,108.72,107.32,107.53,6498700
2023-07-24,109.99,110.34,108.5,108.79,6045500
2023-07-21,108.73,110.62,108.38,110.39,8193500
2023-07-20,106.55,108.95,106.06,108.46,8073000
2023-07-19,106.16,107.38,105.91,105.95,6608600
2023-07-18,105.88,107.03,105.35,105.95,7499100
2023-07-17,107.04,107.44,105.29,105.57,7376400
2023-07-14,106.26,107.68,106.26,107.34,7209300
2023-07-13,107.33,107.91,106.26,106.32,9764400
2023-07-12,108.37,109.05,107.19,107.47,8376700
2023-07-11,109.48,110.02,108.25,108.7,6084900
2023-07-10,109.14,110.6,109.1,109.96,5949200
2023-07-07,111.07,111.5,108.76,109.0,11314800
2023-07-06,112.9,113.44,111.71,111.75,7257400
2023-07-05,114.04,114.43,113.42,113.7,5861500
2023-07-03,114.47,114.62,113.53,114.33,2834600
2023-06-30,113.79,115.61,113.43,115.39,8090600
2023-06-29,112.25,113.88,111.81,113.54,6281800
2023-06-28,113.45,113.57,111.44,112.44,8173800
2023-06-27,112.83,113.71,111.87,113.32,7093900
2023-06-26,114.44,114.6,111.78,113.08,7685100
2023-06-23,114.16,114.91,113.02,114.6,16407900
2023-06-22,111.6,113.84,111.6,113.72,7884100
2023-06-21,110.11,111.52,109.52,111.16,6854800
2023-06-20,109.08,110.86,109.03,110.23,7744400
2023-06-16,109.5,110.46,109.06,109.32,15844300
2023-06-15,108.4,109.9,108.34,109.4,7305700
2023-06-14,109.72,109.93,108.35,108.66,6137300
2023-06-13,108.59,110.64,108.05,109.99,7304200
2023-06-12,110.19,110.99,108.6,109.86,7468500
2023-06-09,110.19,111.51,109.02,110.71,6521900
2023-06-08,108.31,111.07,108.0,110.32,8352700
2023-06-07,109.63,109.67,106.87,108.61,12420500
2023-06-06,113.55,113.72,109.28,110.01,6960200
2023-06-05,113.0,114.48,112.91,113.11,5185500
2023-06-02,111.11,112.73,110.72,112.52,5791500
2023-06-01,110.66,111.59,109.88,110.93,6959900
2023-05-31,108.47,111.15,108.47,110.41,14563500
2023-05-30,110.13,110.71,108.97,109.17,7768100
2023-05-26,112.0,113.19,110.65,111.07,6378200
2023-05-25,113.5,113.5,111.09,112.3,7037500
2023-05-24,114.11,114.32,112.55,113.6,4509500
2023-05-23,113.97,114.79,113.05,113.27,7733000
2023-05-22,115.48,117.08,114.33,114.49,5607400
2023-05-19,114.33,116.24,114.1,115.49,7647000
2023-05-18,114.14,115.07,113.33,114.0,6437100
2023-05-17,116.37,116.66,113.48,114.76,7210400
2023-05-16,115.88,116.76,115.29,116.08,4278200
2023-05-15,117.14,117.74,115.49,116.37,5697200
