date,open,high,low,close,volume
2024-01-25,101.53,101.74,100.23,100.515,4963720
2024-01-24,101.78,101.8,100.69,100.76,7865912
2024-01-23,101.63,102.14,101.23,101.9,8208026
2024-01-22,101.75,101.81,100.09,100.56,9897443
2024-01-19,101.02,102.18,99.67,101.78,8517208
2024-01-18,101.0,101.425,100.07,100.94,8848104
2024-01-17,101.05,101.31,100.24,100.82,8205443
2024-01-16,103.94,104.2199,101.36,101.72,10547901
2024-01-12,106.0,106.32,104.72,105.06,6680000
2024-01-11,104.22,106.01,103.73,105.9,9537700
2024-01-10,102.69,103.83,102.37,103.77,6784700
2024-01-09,103.17,103.4,102.5,102.74,7759500
2024-01-08,102.08,103.69,101.73,103.62,9414200
2024-01-05,102.46,103.68,101.9,102.08,8039900
2024-01-04,102.46,103.62,102.3,102.3,10420600
2024-01-03,105.72,107.48,104.0,104.04,10573700
2024-01-02,107.61,107.85,106.45,106.55,9326600
2023-12-29,108.96,109.96,108.09,108.57,7660900
2023-12-28,107.21,109.4,106.81,108.82,9352900
2023-12-27,108.34,108.59,106.85,107.13,10157900
2023-12-26,108.3,108.69,107.48,108.02,12846700
2023-12-22,108.26,110.8,107.45,108.04,46642900
2023-12-21,122.3,123.3,121.3,122.53,16533300
2023-12-20,121.13,123.39,121.0,121.43,9176600
2023-12-19,121.74,123.34,121.64,122.64,7697300
2023-12-18,121.41,121.84,120.86,121.14,6874800
2023-12-15,120.93,122.06,120.6,121.55,13632900
2023-12-14,121.44,122.59,119.82,121.02,9590500
2023-12-13,119.35,121.44,119.2,121.17,8182900
2023-12-12,119.68,119.99,118.58,119.64,7378400
2023-12-11,117.79,119.42,117.43,118.61,7972800
2023-12-08,114.5,116.29,114.47,115.91,6121000
2023-12-07,114.12,116.0,114.12,114.81,7294500
2023-12-06,116.0,117.14,115.57,116.11,6317000
2023-12-05,114.66,116.04,114.6,115.41,6960000
2023-12-04,113.08,115.32,113.0,115.15,10086600
2023-12-01,110.33,113.55,109.75,113.48,8049900
2023-11-30,110.53,110.6,108.96,110.27,8690900
2023-11-29,110.8,112.15,110.15,110.37,9601800
2023-11-28,108.57,109.9,108.15,108.75,7287400
2023-11-27,107.66,108.22,106.9,107.96,5785000
2023-11-24,107.5,108.0,107.4,107.64,2443600
2023-11-22,107.5,108.03,106.82,107.92,6280300
2023-11-21,106.17,106.7,105.35,106.55,5803500
2023-11-20,106.0,106.55,105.1,106.32,6197400
2023-11-17,108.06,108.21,105.52,105.96,6352600
2023-11-16,107.1,108.0,107.0,107.61,5386800
2023-11-15,106.82,109.06,106.72,107.82,11140800
2023-11-14,105.56,107.1,105.38,105.75,9674800
2023-11-13,105.37,105.72,104.18,104.2,7055600
2023-11-10,107.34,107.83,105.61,106.11,8897700
2023-11-09,109.82,109.9,106.92,107.0,9154200
2023-11-08,109.37,110.7,108.9,109.39,8639700
2023-11-07,107.32,109.36,107.23,109.36,7745800
2023-11-06,106.96,107.6,106.37,107.25,5231900
2023-11-03,106.43,107.65,106.05,107.06,7563300
2023-11-02,102.05,105.55,101.89,105.08,8135100
2023-11-01,102.55,102.67,99.97,100.88,7272400
2023-10-31,101.4,102.93,101.4,102.77,6558500
2023-10-30,99.0,102.05,99.0,101.8,8206700
2023-10-27,99.78,100.34,97.81,97.98,9602700
2023-10-26,102.18,102.63,99.95,100.02,11222600
2023-10-25,104.46,105.04,103.49,103.54,7054700
2023-10-24,103.66,105.65,103.66,105.18,9252200
2023-10-23,102.13,103.76,101.77,102.81,5966100
2023-10-20,103.32,103.77,102.57,102.67,7814600
2023-10-19,103.77,104.35,102.85,103.05,8391100
2023-10-18,102.97,103.9,102.93,103.77,8757300
2023-10-17,101.97,103.59,101.97,103.01,9253800
2023-10-16,99.72,102.58,99.6,102.04,10845400
2023-10-13,99.59,100.85,99.45,99.91,8774700
2023-10-12,99.54,100.05,98.52,99.25,10705200
2023-10-11,98.31,98.95,98.01,98.65,7642900
2023-10-10,97.25,98.86,97.23,97.62,8499000
2023-10-09,96.78,97.14,95.92,96.88,5964200
2023-10-06,95.79,97.71,95.06,97.11,8531200
2023-10-05,95.79,96.23,95.28,95.79,7430000
2023-10-04,95.58,96.26,95.12,95.89,8045400
2023-10-03,94.32,96.05,94.18,95.09,10964300
2023-10-02,96.2,96.38,93.73,94.56,12776300
2023-09-29,99.37,99.47,94.62,95.62,34920400
2023-09-28,89.1,89.78,88.66,89.63,16315600
2023-09-27,90.56,90.7,89.21,89.42,7631000
2023-09-26,90.0,90.7,89.78,90.17,8060500
2023-09-25,90.0,90.85,89.79,90.6,8291700
2023-09-22,91.58,92.33,90.55,90.85,9289400
2023-09-21,93.42,93.49,91.48,91.59,7958600
2023-09-20,93.97,95.4,93.83,94.04,10274200
2023-09-19,95.04,95.49,94.41,94.62,9386600
2023-09-18,96.0,96.37,95.28,95.51,6946300
2023-09-15,98.15,98.15,96.13,96.26,10465700
2023-09-14,96.72,97.68,95.9,97.19,7075300
2023-09-13,96.3,97.2,95.66,96.13,7140700
