date,open,high,low,close,volume
2024-01-25,19.51,19.51,19.4,19.4759,9978
2024-01-24,19.49,19.5096,19.3801,19.41,34918
2024-01-23,19.14,19.31,19.13,19.3,24312
2024-01-22,19.15,19.44,19.14,19.1801,34912
2024-01-19,18.93,19.13,18.9,19.11,20498
2024-01-18,18.93,18.93,18.8411,18.915,30373
2024-01-17,18.84,18.91,18.82,18.89,6451
2024-01-16,19.24,19.24,19.08,19.09,17934
2024-01-12,19.54,19.57,19.46,19.49,50000
2024-01-11,19.38,19.42,19.3,19.42,28500
2024-01-10,19.31,19.33,19.24,19.31,16900
2024-01-09,19.3,19.31,19.24,19.24,46600
2024-01-08,19.43,19.58,19.43,19.55,19700
2024-01-05,19.29,19.43,19.29,19.39,14200
2024-01-04,19.16,19.24,19.14,19.19,19000
2024-01-03,19.28,19.32,19.19,19.22,61100
2024-01-02,19.54,19.54,19.35,19.37,553000
2023-12-29,19.67,19.76,19.64,19.69,20500
2023-12-28,19.61,19.66,19.57,19.6,18100
2023-12-27,19.58,19.59,19.54,19.56,17300
2023-12-26,19.55,19.55,19.47,19.53,13200
2023-12-22,19.42,19.45,19.35,19.42,19600
2023-12-21,19.3,19.36,19.26,19.36,31200
2023-12-20,19.26,19.29,19.04,19.04,27200
2023-12-19,19.26,19.32,19.26,19.27,37100
2023-12-18,19.27,19.27,19.17,19.24,17600
2023-12-15,19.45,19.53,19.41,19.41,300500
2023-12-14,19.39,19.64,19.39,19.61,56800
2023-12-13,18.98,19.3,18.8,19.28,53700
2023-12-12,19.02,19.09,18.96,19.09,20200
2023-12-11,19.02,19.09,18.98,19.06,27900
2023-12-08,18.95,19.03,18.93,19.03,12500
2023-12-07,18.92,19.03,18.92,19.03,18200
2023-12-06,18.98,18.99,18.81,18.81,32300
2023-12-05,18.82,18.88,18.77,18.86,15000
2023-12-04,19.07,19.07,18.91,18.94,31600
2023-12-01,18.98,19.22,18.98,19.2,62200
2023-11-30,19.0,19.03,18.93,19.0,57900
2023-11-29,19.06,19.1,19.0,19.03,26500
2023-11-28,18.95,19.02,18.89,18.98,428400
2023-11-27,18.86,18.89,18.83,18.87,22300
2023-11-24,18.79,18.9,18.79,18.85,12600
