date,open,high,low,close,volume
2024-01-25,23.38,23.52,23.165,23.34,137885
2024-01-24,23.43,23.59,23.155,23.2,572748
2024-01-23,23.25,23.44,23.16,23.31,324016
2024-01-22,23.35,23.59,23.11,23.25,290222
2024-01-19,23.11,23.275,22.76,23.26,278230
2024-01-18,22.92,23.0786,22.7,23.04,551806
2024-01-17,22.94,23.17,22.71,22.86,680686
2024-01-16,23.4,23.4,23.06,23.2,527079
2024-01-12,23.69,23.98,23.47,23.53,298772
2024-01-11,23.54,23.59,23.14,23.52,250104
2024-01-10,23.46,23.65,23.41,23.65,395263
2024-01-09,23.43,23.47,23.24,23.41,328609
2024-01-08,23.06,23.6,22.9929,23.6,346636
2024-01-05,22.74,23.2501,22.68,23.04,197673
2024-01-04,22.91,23.07,22.83,22.86,286993
2024-01-03,23.26,23.34,22.7,22.95,420769
2024-01-02,23.46,23.605,23.31,23.49,306454
2023-12-29,24.1,24.1,23.59,23.59,457579
2023-12-28,24.23,24.245,24.07,24.15,365215
2023-12-27,24.41,24.41,24.17,24.24,366938
2023-12-26,24.0,24.355,24.0,24.28,258632
2023-12-22,24.12,24.24,23.87,23.95,413933
2023-12-21,23.91,24.02,23.74,24.02,381963
2023-12-20,23.92,24.21,23.5867,23.6,572981
2023-12-19,24.61,24.935,24.5701,24.92,354216
2023-12-18,24.66,24.77,24.448,24.48,299449
2023-12-15,24.91,25.0,24.47,24.6,352285
2023-12-14,24.62,25.175,24.6,25.03,1354903
2023-12-13,23.34,24.32,23.2,24.22,759600
2023-12-12,23.2,23.43,23.0,23.3,497000
2023-12-11,23.17,23.26,23.04,23.13,445500
2023-12-08,22.97,23.27,22.86,23.12,376200
2023-12-07,22.76,23.0,22.62,22.99,359400
2023-12-06,23.34,23.54,22.69,22.69,550600
2023-12-05,23.41,23.49,23.18,23.27,234600
2023-12-04,23.35,23.52,23.25,23.5,624700
2023-12-01,22.69,23.41,22.58,23.4,597200
2023-11-30,22.81,22.81,22.63,22.72,467400
2023-11-29,22.5,22.82,22.5,22.69,252500
2023-11-28,22.07,22.37,21.88,22.34,332700
2023-11-27,22.26,22.26,22.05,22.15,152400
2023-11-24,22.32,22.38,22.2,22.23,99100
2023-11-22,22.38,22.45,22.24,22.36,167000
2023-11-21,22.39,22.39,22.24,22.28,524500
2023-11-20,22.36,22.51,22.15,22.42,283600
2023-11-17,22.24,22.44,22.11,22.28,153600
2023-11-16,22.51,22.62,22.05,22.1,298900
2023-11-15,22.31,22.59,22.23,22.59,331300
2023-11-14,21.88,22.39,21.81,22.36,459400
2023-11-13,21.16,21.34,21.01,21.3,168600
2023-11-10,21.22,21.35,21.14,21.29,176700
2023-11-09,21.69,21.85,21.06,21.13,309300
2023-11-08,21.47,21.63,21.19,21.61,336200
2023-11-07,21.35,21.48,21.11,21.47,562800
2023-11-06,21.72,21.72,21.23,21.35,349500
2023-11-03,21.53,21.97,21.53,21.67,520600
2023-11-02,20.61,21.15,20.54,21.15,593600
2023-11-01,19.89,20.33,19.64,20.33,1025700
2023-10-31,19.46,19.96,19.46,19.83,642200
2023-10-30,19.3,19.47,19.0,19.32,544000
2023-10-27,19.49,19.68,18.95,19.11,573900
2023-10-26,19.15,19.58,19.15,19.32,804600
2023-10-25,19.58,19.69,19.05,19.05,1148700
2023-10-24,19.61,19.94,19.58,19.73,753800
2023-10-23,20.01,20.08,19.59,19.85,625400
2023-10-20,20.36,20.53,20.11,20.11,653700
2023-10-19,20.88,20.92,20.28,20.32,561300
2023-10-18,21.41,21.41,20.92,20.94,276200
2023-10-17,21.45,21.64,21.4,21.58,394800
2023-10-16,21.35,21.59,21.17,21.56,236400
2023-10-13,21.71,21.76,21.17,21.21,234800
2023-10-12,21.94,21.94,21.33,21.56,308500
2023-10-11,21.78,21.98,21.73,21.98,318700
2023-10-10,21.48,21.73,21.4,21.64,259700
2023-10-09,20.94,21.55,20.94,21.52,283800
2023-10-06,20.98,21.29,20.84,21.06,248300
2023-10-05,20.76,21.2,20.6,21.12,448800
2023-10-04,21.07,21.11,20.42,20.74,503100
2023-10-03,21.54,21.55,20.81,21.01,643900
2023-10-02,22.34,22.38,21.57,21.69,616900
2023-09-29,22.43,22.7,22.3,22.34,402400
2023-09-28,22.12,22.37,21.85,22.25,313700
2023-09-27,22.31,22.37,21.95,22.05,251700
2023-09-26,22.56,22.63,22.12,22.17,541000
2023-09-25,23.31,23.4,23.2,23.24,396300
2023-09-22,23.36,23.56,23.2,23.41,213800
2023-09-21,23.96,23.98,23.21,23.23,296600
2023-09-20,24.54,24.54,24.09,24.09,350300
2023-09-19,24.39,24.68,24.27,24.34,268800
2023-09-18,24.55,24.56,24.35,24.39,327700
2023-09-15,24.25,24.47,24.2,24.46,604500
2023-09-14,24.19,24.45,24.19,24.37,483200
2023-09-13,24.04,24.11,23.88,24.02,114700
2023-09-12,24.07,24.28,24.0,24.01,160900
2023-09-11,24.02,24.18,23.88,24.14,181900
2023-09-08,23.83,24.03,23.76,23.92,176000
2023-09-07,23.7,23.91,23.67,23.81,238300
2023-09-06,24.02,24.06,23.73,23.82,188700
2023-09-05,24.3,24.32,24.01,24.03,587900
2023-09-01,24.25,24.42,24.2,24.3,232000
2023-08-31,24.08,24.24,24.08,24.11,415700
2023-08-30,24.11,24.15,23.95,24.06,181400
2023-08-29,23.79,24.16,23.69,24.16,264000
2023-08-28,23.28,23.86,23.28,23.83,213100
2023-08-25,23.26,23.36,22.91,23.21,158200
2023-08-24,23.03,23.39,23.0,23.12,156500
2023-08-23,22.59,23.14,22.59,23.14,244700
2023-08-22,22.72,22.86,22.54,22.58,183500
2023-08-21,22.71,22.75,22.43,22.61,300800
2023-08-18,22.53,22.74,22.34,22.71,236700
2023-08-17,23.06,23.12,22.59,22.65,245600
2023-08-16,23.19,23.34,22.99,23.01,264800
2023-08-15,23.49,23.49,23.1,23.23,198700
2023-08-14,23.78,23.78,23.45,23.52,243100
2023-08-11,23.85,23.94,23.79,23.85,129200
2023-08-10,24.03,24.18,23.76,23.93,224300
2023-08-09,24.09,24.15,23.9,23.94,210700
2023-08-08,23.88,24.1,23.63,24.09,143900
2023-08-07,24.12,24.23,23.94,24.08,337100
2023-08-04,23.83,24.22,23.69,24.11,276800
2023-08-03,23.92,23.92,23.5,23.63,322600
2023-08-02,24.14,24.15,23.81,24.01,462800
2023-08-01,24.41,24.46,24.13,24.21,1554300
2023-07-31,24.92,24.95,24.44,24.56,822500
2023-07-28,24.66,24.92,24.4,24.88,252300
2023-07-27,25.13,25.17,24.38,24.42,358600
2023-07-26,24.67,25.09,24.67,25.0,342100
2023-07-25,24.7,24.9,24.57,24.68,428700
2023-07-24,24.55,24.82,24.46,24.71,270100
2023-07-21,24.8,24.86,24.42,24.47,182700
2023-07-20,24.99,24.99,24.58,24.67,236400
2023-07-19,24.76,25.03,24.76,24.99,290800
2023-07-18,24.28,24.75,24.28,24.67,306100
2023-07-17,24.08,24.32,23.95,24.31,253500
2023-07-14,24.3,24.3,23.99,24.13,161900
2023-07-13,24.0,24.33,23.97,24.29,231900
2023-07-12,24.07,24.23,23.92,23.93,357300
2023-07-11,23.72,23.92,23.63,23.82,362300
2023-07-10,23.13,23.62,23.04,23.61,247700
2023-07-07,22.7,23.31,22.69,23.14,453100
2023-07-06,23.02,23.02,22.34,22.66,650300
2023-07-05,23.45,23.45,23.16,23.16,1008900
2023-07-03,23.59,23.67,23.39,23.5,1118200
2023-06-30,23.67,23.68,23.43,23.6,684500
2023-06-29,23.35,23.52,23.24,23.52,285200
2023-06-28,23.2,23.36,23.02,23.36,272800
2023-06-27,22.83,23.2,22.69,23.19,204100
2023-06-26,22.38,22.95,22.28,22.76,356000
2023-06-23,22.57,22.62,22.27,22.32,509300
2023-06-22,23.12,23.12,22.73,22.75,1009800
2023-06-21,23.04,23.27,22.83,23.17,856300
2023-06-20,23.19,23.19,22.87,22.98,219400
2023-06-16,23.49,23.5,23.06,23.17,385300
2023-06-15,22.92,23.38,22.92,23.38,337700
2023-06-14,23.12,23.29,22.8,23.05,927400
2023-06-13,22.94,23.12,22.87,23.08,382600
2023-06-12,22.42,22.83,22.39,22.83,290800
2023-06-09,22.57,22.57,22.28,22.42,285200
2023-06-08,22.44,22.56,22.24,22.54,297900
2023-06-07,22.28,22.57,22.28,22.45,279600
2023-06-06,22.27,22.88,22.21,22.78,398100
2023-06-05,22.51,22.51,22.13,22.31,475000
2023-06-02,22.1,22.54,22.06,22.47,445700
2023-06-01,21.51,21.88,21.36,21.88,834700
2023-05-31,21.51,21.6,21.21,21.44,697900
2023-05-30,21.4,21.67,21.31,21.59,535100
2023-05-26,20.61,21.34,20.5,21.28,406300
2023-05-25,21.0,21.02,20.31,20.57,638300
2023-05-24,21.46,21.46,20.89,21.04,417900
2023-05-23,21.54,22.09,21.54,21.57,316200
2023-05-22,21.41,21.66,21.3,21.59,261100
2023-05-19,21.61,21.71,21.25,21.4,286100
2023-05-18,21.23,21.57,21.16,21.56,479400
2023-05-17,20.89,21.34,20.77,21.3,482400
2023-05-16,20.96,20.98,20.67,20.69,225400
2023-05-15,20.89,21.18,20.89,21.03,261600
2023-05-12,20.98,21.04,20.75,20.83,292800
2023-05-11,20.78,20.95,20.66,20.95,363300
2023-05-10,21.14,21.23,20.67,20.89,561600
2023-05-09,20.98,21.02,20.76,20.82,307600
2023-05-08,21.14,21.24,20.89,21.09,344400
2023-05-05,20.79,21.18,20.73,21.05,332400
2023-05-04,20.86,20.88,20.38,20.47,469600
2023-05-03,21.03,21.49,20.93,20.95,719200
2023-05-02,21.7,21.7,20.54,20.91,595400
2023-05-01,22.1,22.22,21.58,21.63,280200
2023-04-28,21.92,22.33,21.92,22.16,374300
2023-04-27,21.41,21.96,21.41,21.95,431900
2023-04-26,21.29,21.72,21.23,21.29,423100
2023-04-25,21.67,21.73,21.22,21.25,505200
2023-04-24,21.79,21.84,21.35,21.79,672700
2023-04-21,21.8,21.86,21.55,21.85,497900
2023-04-20,21.82,21.84,21.62,21.8,386700
2023-04-19,21.55,22.02,21.45,21.92,312000
2023-04-18,21.92,21.92,21.44,21.63,325400
2023-04-17,21.44,22.0,21.28,21.9,384100
2023-04-14,21.71,21.86,21.21,21.45,423500
2023-04-13,21.74,21.74,21.28,21.66,413400
2023-04-12,21.8,21.95,21.55,21.59,466800
2023-04-11,21.45,21.81,21.38,21.63,385200
2023-04-10,21.66,21.78,20.85,21.44,321800
2023-04-06,21.8,21.91,21.65,21.75,250500
2023-04-05,21.55,21.91,21.48,21.79,208600
2023-04-04,21.72,21.84,21.43,21.66,260600
2023-04-03,21.85,21.97,21.53,21.66,364800
2023-03-31,21.45,21.85,21.39,21.84,510400
2023-03-30,21.39,21.47,21.14,21.34,284500
2023-03-29,21.1,21.2,21.0,21.17,359900
2023-03-28,20.93,20.98,20.72,20.87,318200
2023-03-27,20.88,21.06,20.68,20.9,329300
2023-03-24,19.9,20.58,19.69,20.56,638300
2023-03-23,20.53,20.99,19.93,20.01,1462900
2023-03-22,21.16,21.21,20.54,20.55,1358000
2023-03-21,20.9,21.3,20.9,21.07,532600
2023-03-20,20.48,20.9,20.48,20.59,544600
2023-03-17,21.0,21.05,20.31,20.39,748800
2023-03-16,20.95,21.31,20.52,21.1,1066300
2023-03-15,21.32,21.32,20.58,21.06,1057100
2023-03-14,22.04,22.46,21.49,21.75,982700
2023-03-13,21.32,21.69,20.62,21.43,2654100
2023-03-10,22.53,22.53,21.51,21.59,1788000
2023-03-09,23.49,23.57,22.56,22.58,779900
2023-03-08,23.56,23.72,23.2,23.46,521300
2023-03-07,24.06,24.11,23.54,23.57,652400
2023-03-06,23.98,24.27,23.96,23.99,753400
2023-03-03,23.64,23.98,23.59,23.87,257600
2023-03-02,23.46,23.56,23.2,23.5,814000
2023-03-01,23.95,24.0,23.5,23.61,1575800
2023-02-28,24.2,24.28,24.1,24.11,890200
2023-02-27,24.47,24.57,24.12,24.18,614000
2023-02-24,24.51,24.51,24.15,24.33,498700
2023-02-23,24.76,24.79,24.38,24.7,459700
2023-02-22,24.43,24.73,24.43,24.53,612700
2023-02-21,25.07,25.07,24.27,24.36,576300
2023-02-17,25.36,25.5,24.94,25.23,765400
2023-02-16,25.22,25.49,25.0,25.28,476300
2023-02-15,25.24,25.41,24.98,25.39,660200
2023-02-14,25.5,25.52,25.02,25.29,536600
2023-02-13,25.23,25.5,25.1,25.49,277400
2023-02-10,25.03,25.23,24.91,25.13,690100
2023-02-09,26.18,26.21,24.92,24.99,980500
2023-02-08,26.24,26.24,25.66,25.83,344200
2023-02-07,25.79,26.27,25.68,26.2,649100
2023-02-06,26.61,26.62,25.83,25.93,700700
2023-02-03,26.68,26.89,26.53,26.81,597600
2023-02-02,27.1,27.28,26.91,27.05,714300
2023-02-01,26.3,27.01,26.1,26.82,1446600
2023-01-31,25.83,26.28,25.71,26.28,744700
2023-01-30,25.89,25.92,25.58,25.64,835200
2023-01-27,25.58,26.1,25.55,26.03,322900
2023-01-26,25.39,25.57,25.31,25.57,247300
2023-01-25,25.22,25.33,25.04,25.28,410800
2023-01-24,25.43,25.51,25.3,25.32,309000
2023-01-23,25.52,25.59,25.32,25.49,389800
2023-01-20,25.02,25.39,24.82,25.39,609600
2023-01-19,25.0,25.01,24.74,24.97,251000
2023-01-18,25.31,25.49,25.05,25.16,461300
2023-01-17,25.21,25.48,25.14,25.17,289400
2023-01-13,24.99,25.27,24.87,25.23,359300
2023-01-12,24.96,25.12,24.7,25.05,856100
2023-01-11,24.36,24.82,24.36,24.7,740200
2023-01-10,23.93,24.24,23.75,24.21,364700
2023-01-09,24.06,24.16,23.86,23.87,456300
2023-01-06,23.67,23.94,23.46,23.85,778500
2023-01-05,23.47,23.6,23.22,23.45,602300
2023-01-04,23.28,23.69,23.28,23.57,1203900
2023-01-03,22.94,23.36,22.81,23.1,451900
2022-12-30,22.68,22.86,22.5,22.69,602700
2022-12-29,22.65,23.04,22.56,22.93,837600
2022-12-28,23.29,23.33,22.44,22.49,406700
2022-12-27,23.37,23.37,23.08,23.26,249900
2022-12-23,23.25,23.36,23.15,23.32,258800
2022-12-22,23.35,23.35,22.76,23.28,754800
2022-12-21,23.1,23.46,23.1,23.39,589800
2022-12-20,22.82,22.95,22.4,22.87,1209600
