date,open,high,low,close,volume
2024-01-25,70.6,70.9,70.12,70.2639,16031
2024-01-24,71.64,71.64,69.88,69.97,69237
2024-01-23,71.87,71.9,70.57,70.93,29279
2024-01-22,71.46,72.06,71.3681,71.64,38823
2024-01-19,70.8,71.66,70.4098,71.36,26350
2024-01-18,71.13,71.2,70.0904,70.49,36506
2024-01-17,71.77,72.4206,70.32,71.18,33296
2024-01-16,72.64,72.78,72.18,72.42,35782
2024-01-12,72.71,73.2,72.49,72.91,24980
2024-01-11,72.25,72.5,71.87,72.12,42332
2024-01-10,72.79,72.97,72.3819,72.77,32319
2024-01-09,72.65,72.7134,72.0,72.55,52593
2024-01-08,72.0,73.0,71.76,72.92,61647
2024-01-05,72.09,72.68,71.57,72.07,57990
2024-01-04,72.42,73.01,72.2,72.45,48627
2024-01-03,73.82,73.82,72.51,72.58,48372
2024-01-02,73.27,74.45,73.22,74.45,56554
2023-12-29,74.26,74.26,73.52,73.52,25911
2023-12-28,73.82,74.46,73.75,74.46,70239
2023-12-27,73.5,73.875,73.2342,73.785,28167
2023-12-26,72.98,73.51,72.64,73.33,32475
2023-12-22,72.61,73.26,72.47,72.68,30353
2023-12-21,72.15,72.45,71.5957,72.38,63868
2023-12-20,72.81,73.15,71.65,71.66,83593
2023-12-19,73.4,73.67,73.22,73.53,36981
2023-12-18,73.35,73.35,72.9568,73.07,52030
2023-12-15,74.24,74.24,72.59,73.16,54560
2023-12-14,73.09,74.75,73.09,74.41,55000
2023-12-13,69.42,72.44,69.27,72.11,61000
2023-12-12,69.26,69.67,68.87,69.36,64400
2023-12-11,69.02,69.37,68.77,69.34,63900
2023-12-08,68.74,69.28,68.55,69.27,55200
2023-12-07,68.65,69.2,68.48,69.04,69800
2023-12-06,69.43,69.69,68.74,68.76,39300
2023-12-05,69.5,69.5,68.82,69.25,74200
2023-12-04,69.1,69.68,68.93,69.68,314900
2023-12-01,67.76,69.35,67.73,69.35,56500
2023-11-30,67.13,67.67,66.85,67.64,42500
2023-11-29,67.75,68.14,67.04,67.09,67000
2023-11-28,66.79,67.32,66.37,67.06,27000
2023-11-27,66.76,67.22,66.5,66.93,56900
2023-11-24,66.45,66.9,66.15,66.89,15200
2023-11-22,66.96,66.96,66.29,66.53,29600
2023-11-21,66.66,66.66,66.2,66.41,42300
2023-11-20,66.36,66.89,65.64,66.8,39900
2023-11-17,67.09,67.09,65.99,66.26,34700
2023-11-16,66.69,67.04,66.46,66.46,44300
2023-11-15,66.66,67.34,66.58,66.63,25900
2023-11-14,65.15,67.31,65.15,66.8,55400
2023-11-13,63.76,63.8,63.27,63.54,57500
2023-11-10,63.71,64.27,63.49,64.17,71700
2023-11-09,64.82,64.88,63.45,63.5,32900
2023-11-08,64.19,64.8,64.18,64.62,34300
2023-11-07,64.23,64.26,63.64,63.71,51400
2023-11-06,65.36,65.36,64.18,64.48,34400
2023-11-03,65.02,66.04,65.02,65.32,66600
2023-11-02,63.05,64.22,63.05,64.04,48800
2023-11-01,62.18,62.31,61.46,62.31,84800
2023-10-31,61.84,62.23,61.22,62.22,84900
2023-10-30,61.62,62.09,60.64,61.62,76400
2023-10-27,63.04,63.04,61.31,61.4,106100
2023-10-26,62.7,63.22,62.38,62.66,45100
2023-10-25,63.42,63.46,62.45,62.46,25700
2023-10-24,63.49,63.98,63.43,63.83,31500
2023-10-23,63.64,64.08,63.2,63.25,41300
2023-10-20,65.14,65.26,64.05,64.07,36500
2023-10-19,65.82,66.42,64.8,64.82,44000
2023-10-18,66.96,66.96,66.09,66.18,46000
2023-10-17,66.53,67.84,66.53,67.24,56000
2023-10-16,66.64,67.21,66.16,67.0,24900
2023-10-13,67.09,67.09,66.23,66.4,29800
2023-10-12,67.32,67.32,66.45,66.66,27900
2023-10-11,67.15,67.58,66.8,67.52,23800
2023-10-10,66.46,67.17,66.09,66.53,21600
2023-10-09,65.14,66.45,65.14,66.32,28900
2023-10-06,64.74,65.81,64.19,65.41,30000
2023-10-05,64.68,65.21,64.51,65.12,31600
2023-10-04,64.08,64.76,63.62,64.69,76100
2023-10-03,64.47,64.71,63.62,63.85,126100
2023-10-02,65.91,66.15,64.47,64.86,51800
2023-09-29,66.42,66.84,65.49,65.95,28900
2023-09-28,65.65,66.06,65.45,65.67,39900
2023-09-27,66.22,66.59,65.12,65.29,22600
2023-09-26,66.54,66.54,65.68,65.92,25400
2023-09-25,67.19,67.58,67.07,67.5,39700
2023-09-22,68.04,68.49,67.52,67.54,38600
2023-09-21,69.56,69.56,68.05,68.05,50800
2023-09-20,69.81,70.54,69.81,69.89,15100
2023-09-19,69.69,70.02,69.37,69.51,70300
2023-09-18,70.43,70.43,69.5,69.69,74600
2023-09-15,70.3,70.74,70.22,70.54,23800
2023-09-14,69.67,70.66,69.67,70.58,46400
2023-09-13,69.93,69.93,69.12,69.27,22300
2023-09-12,69.58,69.95,69.22,69.86,29100
2023-09-11,69.34,69.66,69.19,69.57,30600
2023-09-08,69.9,69.9,69.17,69.29,41000
2023-09-07,69.44,70.23,69.37,69.75,37800
2023-09-06,69.53,69.88,69.09,69.58,20500
2023-09-05,70.61,70.79,69.7,69.7,35400
2023-09-01,71.46,71.46,70.63,70.73,27300
2023-08-31,71.59,71.59,70.93,70.99,21200
2023-08-30,71.26,71.57,71.16,71.57,40800
2023-08-29,70.6,71.19,70.27,71.18,21300
2023-08-28,70.39,71.08,70.39,70.49,34200
2023-08-25,70.1,70.54,69.89,70.19,94800
2023-08-24,70.12,71.18,69.95,69.98,26200
2023-08-23,69.35,70.12,69.35,70.1,32600
2023-08-22,69.11,69.3,68.9,69.02,42900
2023-08-21,69.45,69.55,68.61,69.02,159400
2023-08-18,69.23,69.77,69.23,69.56,43800
2023-08-17,70.17,70.67,69.65,69.65,32300
2023-08-16,70.49,70.62,70.07,70.18,47600
2023-08-15,70.99,71.11,70.36,70.55,28500
2023-08-14,71.83,72.03,71.15,71.27,19800
2023-08-11,71.52,72.19,71.52,72.07,19000
2023-08-10,72.57,72.99,71.82,71.82,30600
2023-08-09,72.26,72.67,71.93,72.35,16600
2023-08-08,72.55,72.55,71.95,72.3,47300
2023-08-07,72.15,73.21,72.15,73.21,20700
2023-08-04,72.97,73.02,71.62,71.85,25100
2023-08-03,72.8,73.32,72.04,73.32,38100
2023-08-02,73.03,73.43,72.82,73.15,22800
