date,open,high,low,close,volume
2024-01-25,92.72,93.12,92.21,92.58,154799
2024-01-24,93.83,93.84,91.55,91.64,207013
2024-01-23,94.08,94.23,92.55,92.9,359185
2024-01-22,93.67,94.52,93.28,93.62,783158
2024-01-19,92.2,93.51,91.56,93.15,241776
2024-01-18,92.71,92.99,91.29,91.83,358328
2024-01-17,93.42,94.24,91.61,92.68,659083
2024-01-16,94.53,94.9,94.09,94.48,322350
2024-01-12,95.19,95.44,94.36,94.98,213187
2024-01-11,94.81,94.98,93.9,94.34,632129
2024-01-10,94.98,95.63,94.74,95.19,615146
2024-01-09,94.53,95.13,93.93,94.84,410962
2024-01-08,93.71,95.38,93.68,95.32,271933
2024-01-05,93.27,94.62,93.16,93.79,397807
2024-01-04,93.84,94.6,93.55,94.0,274330
2024-01-03,95.45,95.45,93.82,94.1,305744
2024-01-02,95.07,96.44,94.7,96.33,262555
2023-12-29,95.92,96.29,95.2,95.32,322147
2023-12-28,95.73,96.58,95.61,96.58,177032
2023-12-27,95.55,95.91,95.21,95.91,397698
2023-12-26,94.63,95.71,94.55,95.47,287713
2023-12-22,94.52,95.37,94.26,94.59,256356
2023-12-21,94.49,94.51,93.24,94.31,450905
2023-12-20,94.79,95.54,93.51,93.51,373099
2023-12-19,94.52,95.18,94.52,94.88,245858
2023-12-18,95.05,95.05,94.22,94.23,143764
2023-12-15,97.21,97.21,95.11,95.96,602271
2023-12-14,95.91,97.74,95.91,97.31,342263
2023-12-13,90.88,94.63,90.71,94.29,1174376
2023-12-12,90.61,91.09,90.19,90.78,200300
2023-12-11,90.01,90.77,89.94,90.71,118500
2023-12-08,89.99,90.35,89.38,90.28,140700
2023-12-07,89.83,90.48,89.53,90.25,292900
2023-12-06,90.75,91.34,89.85,89.91,241200
2023-12-05,90.63,90.63,89.76,90.29,287300
2023-12-04,89.58,91.01,89.56,90.99,397300
2023-12-01,87.62,90.06,87.44,90.03,303600
2023-11-30,87.01,87.8,86.74,87.72,592700
2023-11-29,87.18,88.0,86.88,87.0,165400
2023-11-28,86.02,86.74,85.63,86.58,152700
2023-11-27,85.86,86.67,85.6,86.25,270000
2023-11-24,85.66,86.12,85.23,86.1,137500
2023-11-22,86.18,86.43,85.46,85.79,132400
2023-11-21,85.62,85.66,85.17,85.43,133700
2023-11-20,85.34,85.92,84.49,85.88,291400
2023-11-17,85.89,86.15,84.89,85.22,339700
2023-11-16,85.74,86.11,85.16,85.27,363300
2023-11-15,85.47,86.38,85.46,85.67,257500
2023-11-14,83.77,86.27,83.31,85.58,240400
2023-11-13,81.38,81.51,80.76,81.18,175500
2023-11-10,81.71,82.13,81.07,82.01,250300
2023-11-09,82.9,82.9,81.04,81.17,481700
2023-11-08,82.45,82.83,82.15,82.56,628000
2023-11-07,82.76,82.82,81.84,82.0,781300
2023-11-06,83.83,83.83,82.34,82.86,320300
2023-11-03,83.58,85.17,83.58,83.93,360000
2023-11-02,81.22,82.59,81.22,82.42,618400
2023-11-01,79.27,79.86,78.84,79.86,237200
2023-10-31,78.48,79.25,77.63,79.18,255600
2023-10-30,77.99,78.45,76.73,77.93,588800
2023-10-27,79.02,79.02,77.19,77.45,250500
2023-10-26,78.11,79.29,78.08,78.83,322800
2023-10-25,78.96,79.15,77.66,77.7,353800
2023-10-24,79.22,79.85,78.95,79.54,192900
2023-10-23,79.02,79.81,78.59,78.73,283000
2023-10-20,80.31,80.95,79.59,79.59,473500
2023-10-19,81.76,82.13,80.06,80.2,206900
2023-10-18,83.07,83.25,82.02,82.02,149400
2023-10-17,83.21,84.92,83.2,83.76,253600
2023-10-16,83.2,83.9,82.53,83.66,143500
2023-10-13,83.49,83.49,82.4,82.78,127100
2023-10-12,84.04,84.04,82.68,83.05,261800
2023-10-11,83.33,84.44,83.33,84.25,266900
2023-10-10,82.55,83.68,82.06,82.95,480200
2023-10-09,80.96,82.73,80.96,82.46,152500
2023-10-06,80.74,82.09,80.0,81.54,274300
2023-10-05,80.99,81.56,80.56,81.5,139700
2023-10-04,80.4,81.05,79.46,81.03,252200
2023-10-03,81.0,81.18,79.66,79.98,249300
2023-10-02,82.77,83.17,80.86,81.46,266600
2023-09-29,83.76,84.25,82.38,82.94,342000
2023-09-28,82.22,83.08,82.2,82.74,372500
2023-09-27,82.85,83.36,81.63,81.95,435600
2023-09-26,83.43,83.68,82.15,82.43,290800
2023-09-25,83.74,84.11,83.45,84.01,183700
2023-09-22,84.83,85.36,84.11,84.16,204400
2023-09-21,87.13,87.13,84.72,84.75,196500
2023-09-20,88.06,88.83,87.71,87.77,177900
2023-09-19,88.03,88.35,87.44,87.63,113700
2023-09-18,88.85,88.85,87.78,87.95,231900
2023-09-15,89.64,89.94,89.21,89.77,242300
2023-09-14,88.96,90.15,88.96,89.98,299800
2023-09-13,89.1,89.24,88.07,88.31,733900
2023-09-12,88.88,89.32,88.53,89.15,413900
2023-09-11,89.23,89.3,88.52,89.04,155500
2023-09-08,89.44,89.61,88.75,88.97,347400
2023-09-07,88.57,89.71,88.53,89.26,548900
2023-09-06,88.81,89.08,88.05,88.81,328600
2023-09-05,89.85,89.95,88.81,88.88,588400
2023-09-01,90.64,90.87,89.93,90.02,179700
2023-08-31,90.72,90.78,89.99,90.09,218000
2023-08-30,90.45,90.9,90.18,90.74,281000
2023-08-29,89.33,90.42,88.95,90.42,229200
2023-08-28,88.92,89.92,88.92,89.36,269300
2023-08-25,88.58,89.13,88.18,88.59,405300
2023-08-24,88.8,90.14,88.38,88.38,423300
2023-08-23,87.9,88.87,87.72,88.78,511500
2023-08-22,87.57,87.71,87.14,87.45,495900
2023-08-21,87.87,87.87,86.52,87.16,468200
2023-08-18,87.09,88.17,87.03,87.99,226700
2023-08-17,88.67,89.1,87.69,87.69,220000
2023-08-16,89.04,89.25,88.35,88.43,199300
2023-08-15,89.44,89.71,88.88,89.1,269600
2023-08-14,90.53,90.65,89.83,90.1,177600
2023-08-11,90.25,90.94,90.03,90.88,166800
2023-08-10,91.28,92.01,90.32,90.57,472500
2023-08-09,90.87,91.52,90.4,91.05,853400
2023-08-08,91.27,91.34,90.45,91.03,178200
