date,open,high,low,close,volume
2024-01-25,19.98,20.09,19.89,19.985,2328238
2024-01-24,20.24,20.25,19.725,19.75,5316258
2024-01-23,20.25,20.31,19.97,20.05,2458135
2024-01-22,20.17,20.3703,20.09,20.19,5132177
2024-01-19,19.91,20.155,19.76,20.09,2638823
2024-01-18,20.01,20.08,19.7145,19.84,2375807
2024-01-17,20.13,20.3501,19.78,19.99,5652286
2024-01-16,20.4,20.5,20.3001,20.38,2974145
2024-01-12,20.58,20.64,20.4021,20.53,1937478
2024-01-11,20.48,20.51,20.28,20.36,3349577
2024-01-10,20.55,20.6575,20.49,20.57,2192411
2024-01-09,20.5,20.6054,20.37,20.52,3485616
2024-01-08,20.35,20.685,20.32,20.67,2690230
2024-01-05,20.28,20.55,20.16,20.38,1679894
2024-01-04,20.41,20.559,20.3101,20.41,1893651
2024-01-03,20.74,20.74,20.405,20.45,2857578
2024-01-02,20.63,20.95,20.58,20.93,2959013
2023-12-29,20.82,20.895,20.69,20.71,3286270
2023-12-28,20.76,20.95,20.76,20.95,1860225
2023-12-27,20.72,20.83,20.6422,20.81,2695418
2023-12-26,20.56,20.77,20.53,20.72,1431728
2023-12-22,20.57,20.72,20.46,20.56,2895346
2023-12-21,20.46,20.5288,20.2599,20.48,2493525
2023-12-20,20.54,20.72,20.3,20.32,3289885
2023-12-19,20.47,20.61,20.47,20.56,2335152
2023-12-18,20.55,20.58,20.381,20.41,3047464
2023-12-15,20.68,20.705,20.3045,20.45,4868156
2023-12-14,20.55,20.88,20.55,20.75,3655711
2023-12-13,19.51,20.27,19.445,20.19,3643256
2023-12-12,19.47,19.54,19.36,19.47,2597526
2023-12-11,19.38,19.5177,19.35,19.49,1929706
2023-12-08,19.39,19.49,19.23,19.44,1937314
2023-12-07,19.4,19.54,19.34,19.48,2177943
2023-12-06,19.57,19.71,19.4,19.41,2965491
2023-12-05,19.76,19.76,19.615,19.69,3437679
2023-12-04,19.57,19.83,19.55,19.83,3916170
2023-12-01,19.21,19.69,19.17,19.68,4547500
2023-11-30,19.06,19.25,18.99,19.21,3796100
2023-11-29,19.09,19.25,19.04,19.06,2631600
2023-11-28,18.75,18.96,18.68,18.94,2856000
2023-11-27,18.75,18.93,18.68,18.83,2460300
2023-11-24,18.66,18.76,18.56,18.75,1255000
2023-11-22,18.76,18.83,18.61,18.69,2781600
2023-11-21,18.65,18.69,18.57,18.62,3155600
2023-11-20,18.54,18.74,18.42,18.74,3483000
2023-11-17,18.75,18.79,18.53,18.59,3020400
2023-11-16,18.67,18.73,18.57,18.61,3455800
