date,open,high,low,close,volume
2024-01-25,2.01,2.0599,1.98,1.9999,4248342
2024-01-24,2.12,2.16,2.0,2.01,6017011
2024-01-23,2.1,2.16,2.06,2.09,6841589
2024-01-22,1.94,2.075,1.935,2.05,8390292
2024-01-19,1.96,1.96,1.82,1.92,9590546
2024-01-18,2.0,2.0199,1.9,1.94,6972790
2024-01-17,1.9,1.97,1.87,1.96,8085803
2024-01-16,2.08,2.105,1.95,1.95,9741527
2024-01-12,2.17,2.25,2.0901,2.11,7745254
2024-01-11,2.27,2.275,2.07,2.17,9862460
2024-01-10,2.4,2.43,2.28,2.3,7729995
2024-01-09,2.27,2.32,2.235,2.28,6622111
2024-01-08,2.28,2.4,2.2,2.35,8942456
2024-01-05,2.33,2.39,2.27,2.33,5742867
2024-01-04,2.32,2.4,2.27,2.34,6714017
2024-01-03,2.29,2.32,2.22,2.31,9035343
2024-01-02,2.39,2.54,2.35,2.37,8767804
2023-12-29,2.55,2.57,2.37,2.45,11344098
2023-12-28,2.67,2.69,2.51,2.54,10509482
2023-12-27,2.66,2.73,2.6,2.7,11590777
2023-12-26,2.61,2.69,2.55,2.65,9948383
2023-12-22,2.47,2.65,2.4001,2.6,11568689
2023-12-21,2.48,2.51,2.4,2.47,6550764
2023-12-20,2.58,2.605,2.35,2.36,12369968
2023-12-19,2.48,2.65,2.475,2.64,10969295
2023-12-18,2.48,2.56,2.41,2.47,9860855
2023-12-15,2.6,2.65,2.46,2.51,32329906
2023-12-14,2.48,2.72,2.48,2.56,22809429
2023-12-13,2.22,2.46,2.16,2.45,15711873
2023-12-12,2.34,2.34,2.17,2.23,8426959
2023-12-11,2.25,2.36,2.24,2.32,10657995
2023-12-08,2.21,2.34,2.16,2.33,14213236
2023-12-07,2.02,2.24,1.99,2.23,16445173
2023-12-06,1.94,2.14,1.93,2.02,18820750
2023-12-05,1.91,1.93,1.84,1.91,9874867
2023-12-04,1.98,2.13,1.92,1.93,28098603
2023-12-01,2.19,2.35,2.175,2.34,11259913
2023-11-30,2.23,2.28,2.14,2.23,10559680
2023-11-29,2.15,2.26,2.12,2.2,10875523
2023-11-28,2.04,2.14,1.98,2.12,9996317
2023-11-27,2.07,2.0893,1.975,2.07,8956498
2023-11-24,1.91,2.11,1.89,2.1,6488349
2023-11-22,2.02,2.0798,1.915,1.99,11190006
2023-11-21,2.22,2.22,2.06,2.13,7985218
2023-11-20,2.24,2.3,2.2,2.25,9133413
2023-11-17,2.11,2.21,2.07,2.19,9462202
2023-11-16,2.16,2.1882,2.0,2.08,9320591
2023-11-15,2.18,2.355,2.17,2.19,18378152
2023-11-14,1.98,2.13,1.97,2.13,16687160
2023-11-13,1.77,1.92,1.71,1.89,10453473
2023-11-10,1.89,1.91,1.77,1.79,12075212
2023-11-09,1.81,2.08,1.76,1.86,37491031
2023-11-08,1.69,1.7,1.54,1.56,11611355
2023-11-07,1.68,1.77,1.67,1.74,8969776
2023-11-06,1.84,1.86,1.65,1.69,10290123
2023-11-03,1.72,1.875,1.71,1.85,14698910
2023-11-02,1.54,1.715,1.54,1.7,14683447
2023-11-01,1.48,1.51,1.43,1.49,5354904
2023-10-31,1.44,1.5,1.43,1.48,6296005
2023-10-30,1.43,1.48,1.38,1.44,6931424
2023-10-27,1.53,1.54,1.38,1.38,7503003
2023-10-26,1.42,1.52,1.39,1.48,10607478
2023-10-25,1.54,1.54,1.41,1.42,10441281
2023-10-24,1.6,1.64,1.52,1.53,9483448
2023-10-23,1.63,1.68,1.54,1.54,8177336
2023-10-20,1.72,1.745,1.61,1.64,11704218
2023-10-19,1.69,1.78,1.67,1.75,7120437
2023-10-18,1.78,1.82,1.68,1.71,7300709
2023-10-17,1.72,1.85,1.7,1.83,9444437
2023-10-16,1.63,1.77,1.59,1.75,9570762
2023-10-13,1.57,1.64,1.525,1.64,9206505
2023-10-12,1.66,1.68,1.55,1.55,8522076
2023-10-11,1.73,1.79,1.62,1.65,9474209
2023-10-10,1.58,1.79,1.55,1.7,16035274
2023-10-09,1.63,1.67,1.53,1.53,8767457
2023-10-06,1.6,1.7,1.58,1.68,6441600
2023-10-05,1.6,1.67,1.58,1.62,6513936
2023-10-04,1.66,1.67,1.6,1.62,5975541
2023-10-03,1.7,1.72,1.64,1.66,6670088
2023-10-02,1.83,1.84,1.74,1.77,7154012
2023-09-29,1.75,1.815,1.72,1.8,6484709
2023-09-28,1.66,1.7681,1.63,1.72,7384997
2023-09-27,1.66,1.6899,1.57,1.65,8058154
2023-09-26,1.66,1.76,1.63,1.63,8844812
2023-09-25,1.69,1.72,1.63,1.68,9038488
2023-09-22,1.84,1.88,1.7,1.71,11185328
2023-09-21,1.87,1.9,1.79,1.81,10172598
2023-09-20,2.01,2.02,1.91,1.91,10377471
2023-09-19,1.88,2.02,1.8708,2.01,12745877
2023-09-18,2.04,2.04,1.83,1.87,13841018
2023-09-15,2.02,2.09,1.99,2.05,47524431
2023-09-14,1.9,2.07,1.86,1.99,19792369
2023-09-13,2.03,2.07,1.88,1.91,23314150
2023-09-12,2.04,2.12,2.0,2.05,14995669
2023-09-11,2.3,2.31,2.05,2.06,26297293
2023-09-08,2.36,2.36,2.22,2.29,12995861
2023-09-07,2.45,2.46,2.29,2.34,15779691
2023-09-06,2.57,2.615,2.48,2.48,9496901
2023-09-05,2.57,2.7,2.53,2.55,14743685
2023-09-01,2.55,2.61,2.52,2.58,8449977
2023-08-31,2.65,2.68,2.52,2.52,11912378
2023-08-30,2.71,2.71,2.6,2.65,7549138
2023-08-29,2.59,2.76,2.54,2.68,10810433
2023-08-28,2.59,2.615,2.53,2.59,8149672
2023-08-25,2.58,2.5999,2.46,2.54,10524970
2023-08-24,2.76,2.76,2.48,2.58,14672962
2023-08-23,2.71,2.84,2.685,2.76,9651110
2023-08-22,2.84,2.89,2.6282,2.75,12188562
2023-08-21,2.88,2.88,2.74,2.79,10211648
2023-08-18,2.67,2.94,2.6368,2.85,21999295
2023-08-17,2.8,2.855,2.71,2.73,10848302
2023-08-16,2.81,2.92,2.62,2.77,19712789
2023-08-15,3.15,3.15,2.87,2.89,26350454
2023-08-14,3.22,3.25,3.08,3.15,12178827
2023-08-11,3.27,3.27,3.11,3.24,18109101
2023-08-10,3.46,3.51,3.23,3.24,24514256
2023-08-09,3.5,3.6392,3.38,3.38,15454401
2023-08-08,3.435,3.4999,3.34,3.46,13115713
2023-08-07,3.78,3.79,3.42,3.53,23312428
2023-08-04,3.8,3.85,3.68,3.72,15963181
2023-08-03,3.92,3.935,3.75,3.8,17170887
2023-08-02,3.93,4.25,3.85,3.96,19582508
2023-08-01,4.12,4.24,4.03,4.14,18373111
2023-07-31,4.01,4.32,4.0,4.28,28612498
2023-07-28,3.83,3.96,3.78,3.93,13827536
2023-07-27,3.93,4.0,3.7,3.75,15875180
2023-07-26,3.7,3.91,3.68,3.9,15187333
2023-07-25,3.78,3.795,3.67,3.69,12092715
2023-07-24,3.86,3.94,3.72,3.77,12385745
2023-07-21,3.9,3.98,3.76,3.83,13475600
2023-07-20,3.93,3.96,3.81,3.9,12907817
2023-07-19,3.85,4.05,3.84,3.98,18911882
2023-07-18,3.78,3.91,3.76,3.8,13049803
2023-07-17,3.83,3.835,3.69,3.79,17631775
2023-07-14,4.06,4.23,3.75,3.8,28925704
2023-07-13,3.97,4.12,3.92,4.02,23755631
2023-07-12,3.93,4.0101,3.81,3.87,14586798
2023-07-11,3.77,3.93,3.7,3.88,16599871
2023-07-10,3.69,3.79,3.6,3.78,19144322
2023-07-07,3.68,3.77,3.65,3.67,17004188
2023-07-06,3.84,3.84,3.6,3.68,23423560
2023-07-05,3.77,4.03,3.7,3.91,25496672
2023-07-03,3.86,3.88,3.68,3.77,21293135
2023-06-30,4.23,4.23,3.86,3.88,51836068
2023-06-29,4.79,4.88,4.08,4.23,95552280
2023-06-28,4.43,4.89,4.33,4.74,44100649
2023-06-27,4.19,4.36,4.03,4.34,25310380
2023-06-26,4.54,4.56,4.13,4.14,33871799
2023-06-23,4.71,4.83,4.11,4.34,67568511
2023-06-22,5.58,5.59,5.11,5.32,36714355
2023-06-21,6.0,6.1684,5.32,5.71,56813208
2023-06-20,4.83,6.06,4.83,6.01,113574617
2023-06-16,5.72,5.97,4.51,4.73,152662990
2023-06-15,4.35,4.38,4.04,4.06,41687972
2023-06-14,4.27,4.52,4.23,4.4,13668033
2023-06-13,4.26,4.34,4.16,4.23,9848672
2023-06-12,4.04,4.27,4.0095,4.19,10772976
2023-06-09,4.14,4.25,3.98,4.03,8575468
2023-06-08,4.08,4.1684,3.97,4.11,7539088
2023-06-07,4.04,4.32,4.02,4.16,12040139
2023-06-06,3.78,4.06,3.71,3.99,10130485
2023-06-05,3.82,3.85,3.7103,3.8,6301483
2023-06-02,3.78,3.9,3.63,3.82,9333669
2023-06-01,3.46,3.79,3.4001,3.75,10742228
2023-05-31,3.48,3.5,3.335,3.46,8951791
2023-05-30,3.49,3.5275,3.3,3.49,12985454
2023-05-26,3.88,3.99,3.31,3.38,29143687
2023-05-25,4.71,4.72,3.98,4.05,22655091
2023-05-24,4.87,4.87,4.28,4.41,15775011
2023-05-23,4.99,5.25,4.85,4.93,17017872
2023-05-22,4.4,4.98,4.36,4.91,17559515
2023-05-19,4.52,4.52,4.27,4.36,9002855
2023-05-18,4.52,4.61,4.33,4.49,10341475
2023-05-17,4.36,4.52,4.11,4.5,15311514
2023-05-16,4.04,4.38,3.96,4.21,9923289
2023-05-15,3.99,4.05,3.83,4.0,5601939
2023-05-12,4.11,4.255,3.97,4.01,7708933
2023-05-11,4.18,4.43,4.04,4.06,10661674
2023-05-10,3.99,4.35,3.71,4.17,14548755
2023-05-09,4.14,4.3,3.99,4.09,13881725
2023-05-08,3.97,4.49,3.66,4.08,20550170
2023-05-05,3.55,3.63,3.53,3.61,3952252
2023-05-04,3.4,3.4997,3.325,3.46,4593761
2023-05-03,3.49,3.54,3.37,3.43,5636074
2023-05-02,3.53,3.56,3.37,3.44,5283201
