date,open,high,low,close,volume
2024-01-25,40.1,40.5,39.85,40.18,1614897
2024-01-24,40.37,40.9,39.935,39.96,5099491
2024-01-23,39.0,39.39,38.61,39.04,4003100
2024-01-22,38.16,38.74,37.925,38.15,4177894
2024-01-19,37.53,38.55,37.5,38.51,5157839
2024-01-18,37.3,37.34,36.69,37.29,3390652
2024-01-17,36.76,37.69,36.69,36.93,3449171
2024-01-16,37.0,38.18,36.59,37.81,6956248
2024-01-12,39.13,39.28,37.99,38.05,3516200
2024-01-11,39.04,39.04,38.08,38.6,2622200
2024-01-10,38.91,39.31,38.51,38.71,3122200
2024-01-09,39.64,39.84,39.01,39.03,3766100
2024-01-08,39.99,40.4,39.28,40.16,2964900
2024-01-05,39.88,40.67,39.74,40.38,2361900
2024-01-04,40.4,40.51,39.63,40.24,4054300
2024-01-03,40.13,41.17,39.78,40.57,3229200
2024-01-02,41.63,41.86,40.84,40.98,3128400
2023-12-29,42.34,42.58,42.08,42.27,1531700
2023-12-28,42.49,43.0,42.45,42.62,2565400
2023-12-27,42.52,42.95,42.31,42.7,1319100
2023-12-26,42.14,42.82,42.08,42.6,1510700
2023-12-22,42.57,42.75,41.9,42.08,2592300
2023-12-21,42.15,42.52,41.95,42.4,3621400
2023-12-20,42.5,42.63,41.39,41.4,2534200
2023-12-19,41.61,42.64,41.57,42.43,3014300
2023-12-18,41.91,42.29,41.37,41.38,4064000
2023-12-15,40.91,41.85,40.77,41.56,3319800
2023-12-14,40.11,41.71,39.89,41.18,8468300
2023-12-13,38.05,39.11,37.21,39.08,5192600
2023-12-12,37.67,38.12,37.4,38.11,2766100
2023-12-11,38.2,38.21,37.47,37.85,2939200
2023-12-08,37.03,38.76,37.03,38.73,4190400
2023-12-07,37.17,37.42,36.8,37.27,2716100
2023-12-06,37.12,37.7,36.59,36.66,3213300
2023-12-05,37.05,37.27,36.52,36.62,2853000
2023-12-04,37.99,38.32,37.38,37.42,2992100
2023-12-01,37.78,39.22,37.78,38.85,3614100
2023-11-30,37.14,37.69,37.08,37.65,3212600
2023-11-29,36.85,37.39,36.55,37.08,4150500
2023-11-28,35.95,36.75,35.6,36.74,4238200
2023-11-27,36.18,36.18,35.25,35.62,3658600
2023-11-24,36.23,36.9,36.21,36.46,1944600
2023-11-22,35.7,36.38,35.67,36.38,3679800
2023-11-21,36.23,37.24,35.81,36.23,4298100
2023-11-20,36.53,36.93,35.6,36.37,4350800
2023-11-17,35.72,36.38,35.49,36.0,4381000
2023-11-16,35.5,35.86,34.56,35.3,5325000
2023-11-15,36.62,36.92,35.03,35.6,9857800
2023-11-14,39.11,39.11,36.52,36.63,13257300
2023-11-13,35.61,36.92,35.47,36.45,2977200
2023-11-10,34.81,35.53,34.49,35.37,1928200
2023-11-09,34.85,35.14,34.38,34.45,2084600
2023-11-08,35.29,35.6,34.41,34.48,3720800
