date,open,high,low,close,volume
2024-01-25,253.54,253.943,251.6547,252.27,123851
2024-01-24,257.22,257.8983,254.06,254.06,208983
2024-01-23,256.41,256.75,254.9202,256.37,147138
2024-01-22,255.48,257.32,255.01,256.58,212906
2024-01-19,255.32,255.76,253.5887,255.27,145154
2024-01-18,253.15,255.16,251.91,254.99,367282
2024-01-17,255.04,256.18,254.25,254.89,139265
2024-01-16,256.48,256.86,255.33,255.77,167720
2024-01-12,257.33,258.81,256.79,257.2,122960
2024-01-11,258.1,258.29,256.32,257.84,154346
2024-01-10,257.63,258.67,256.4,258.36,174571
2024-01-09,257.12,259.5718,256.54,257.55,199820
2024-01-08,254.65,257.53,254.0,257.46,263321
2024-01-05,254.22,255.5,253.07,254.65,200267
2024-01-04,254.23,256.07,254.0,254.84,460241
2024-01-03,255.12,255.42,253.23,253.63,280226
2024-01-02,249.7,255.22,249.7,254.58,236661
2023-12-29,250.86,251.6099,249.98,250.7,153441
2023-12-28,250.41,251.88,250.41,251.09,183545
2023-12-27,249.12,250.56,249.12,250.48,170985
2023-12-26,248.37,249.8499,248.1,249.24,183308
2023-12-22,247.32,249.12,247.32,248.38,171243
2023-12-21,245.04,246.88,244.85,246.67,194830
2023-12-20,247.14,247.33,243.34,243.34,235787
2023-12-19,245.73,247.54,245.55,247.46,460111
2023-12-18,246.66,247.16,245.6302,246.09,224619
2023-12-15,247.24,247.25,245.1706,245.75,235953
2023-12-14,249.83,250.0,247.1445,248.07,304307
2023-12-13,242.8,248.6,242.49,248.57,238622
2023-12-12,242.7,243.98,241.41,243.6,571500
2023-12-11,241.71,242.51,240.77,242.12,189400
2023-12-08,240.69,241.39,239.54,240.81,141700
2023-12-07,240.68,241.0,239.36,240.53,127600
2023-12-06,240.86,241.58,240.43,240.75,122400
2023-12-05,240.38,240.74,239.04,240.43,138900
2023-12-04,239.68,241.27,239.58,240.92,204900
2023-12-01,238.23,240.33,238.03,240.15,182600
2023-11-30,236.14,238.75,235.5,238.6,131700
2023-11-29,235.39,237.18,235.39,235.75,136200
2023-11-28,236.28,236.88,235.48,235.53,168600
2023-11-27,237.69,238.33,236.37,236.88,331300
2023-11-24,237.26,238.4,237.26,238.2,119100
2023-11-22,236.56,237.62,236.4,236.99,125300
2023-11-21,235.34,236.3,235.11,235.81,305800
2023-11-20,232.33,235.13,232.25,234.61,206500
2023-11-17,233.91,234.11,232.53,233.14,134200
2023-11-16,233.13,234.0,232.22,233.3,171600
2023-11-15,232.25,233.89,232.25,232.67,227900
2023-11-14,231.46,233.62,231.18,232.41,337100
2023-11-13,228.42,230.16,227.15,229.78,290500
2023-11-10,228.01,228.68,225.38,228.28,221300
2023-11-09,231.95,231.95,226.89,227.07,613900
2023-11-08,233.79,233.79,231.03,232.12,168400
2023-11-07,232.45,233.53,232.02,232.97,167200
2023-11-06,232.4,232.95,231.53,232.55,147000
2023-11-03,231.29,232.8,231.07,231.46,142400
2023-11-02,227.43,229.92,226.84,229.8,225500
2023-11-01,225.42,227.16,224.88,226.31,161100
2023-10-31,224.69,225.96,223.92,225.8,131900
2023-10-30,224.48,225.02,222.61,224.27,432600
2023-10-27,226.56,226.69,222.27,223.1,1284600
2023-10-26,227.64,228.88,226.78,227.02,285200
2023-10-25,230.53,230.76,227.6,229.08,163100
2023-10-24,230.0,232.05,229.9,231.53,235300
2023-10-23,231.74,232.51,230.39,230.48,155700
2023-10-20,232.46,233.82,232.1,232.1,131000
2023-10-19,235.45,235.45,231.92,233.0,165900
2023-10-18,238.09,238.48,235.19,235.44,106000
2023-10-17,237.03,239.3,237.03,237.87,97300
2023-10-16,236.95,239.25,236.74,237.88,152200
2023-10-13,235.42,237.1,234.78,236.04,104200
2023-10-12,237.45,237.76,234.51,234.62,143700
2023-10-11,239.0,239.0,236.23,237.26,113300
2023-10-10,237.21,239.59,236.53,238.63,145700
2023-10-09,235.59,237.42,234.83,237.19,94000
2023-10-06,233.56,237.4,233.49,236.57,156700
2023-10-05,232.9,234.52,232.16,234.22,236900
2023-10-04,232.16,233.14,231.05,232.72,258700
2023-10-03,233.14,233.53,231.26,232.1,341300
2023-10-02,234.57,234.57,231.82,234.28,306100
2023-09-29,237.37,237.37,234.7,235.1,156800
2023-09-28,235.99,237.37,235.99,236.68,186000
2023-09-27,237.95,238.28,234.75,236.52,264400
2023-09-26,238.38,239.12,237.27,237.48,178500
2023-09-25,237.86,239.23,237.12,239.12,125400
2023-09-22,238.72,239.47,237.93,238.05,139600
2023-09-21,240.29,240.45,238.53,238.53,118500
2023-09-20,241.95,242.82,240.98,240.98,96700
2023-09-19,240.88,241.67,239.81,241.2,99100
2023-09-18,242.02,242.15,240.4,241.05,222300
2023-09-15,243.37,244.09,241.65,241.88,129900
2023-09-14,244.42,244.58,243.27,243.62,114400
2023-09-13,242.9,244.2,242.7,243.3,116700
2023-09-12,243.03,244.0,242.01,243.13,125600
2023-09-11,242.21,244.11,241.89,243.78,125500
2023-09-08,241.98,242.7,241.54,241.9,145600
2023-09-07,242.05,243.09,241.75,242.13,133000
2023-09-06,242.69,242.83,240.5,241.46,204800
2023-09-05,245.32,245.46,242.74,242.83,176900
2023-09-01,246.16,246.6,244.91,245.26,203800
2023-08-31,247.28,247.44,244.44,244.44,253600
2023-08-30,247.39,248.33,246.91,247.06,188800
2023-08-29,245.04,247.0,244.95,246.94,130200
2023-08-28,244.94,245.9,243.9,244.72,243500
2023-08-25,242.96,245.0,242.23,244.27,497000
2023-08-24,244.19,245.74,242.38,242.52,163800
2023-08-23,245.02,245.74,244.02,244.4,143100
2023-08-22,244.05,244.76,243.54,243.73,306800
2023-08-21,243.85,244.72,243.35,244.42,124100
2023-08-18,243.12,244.58,243.12,244.04,125100
2023-08-17,245.25,245.95,243.8,243.88,297700
2023-08-16,247.58,248.42,246.0,246.04,163100
2023-08-15,248.21,249.07,247.88,248.06,191100
2023-08-14,248.17,249.51,247.95,248.99,133300
2023-08-11,246.73,248.66,246.55,248.34,278600
2023-08-10,247.89,249.98,246.73,246.94,183600
2023-08-09,247.36,248.44,246.81,247.12,615200
2023-08-08,246.99,247.5,245.63,247.3,192200
2023-08-07,243.96,245.82,243.96,245.57,136900
2023-08-04,244.36,245.71,243.05,243.54,193500
