date,open,high,low,close,volume
2024-01-25,85.11,85.615,84.7601,85.17,2272836
2024-01-24,86.19,86.27,84.035,84.1,3263417
2024-01-23,86.24,86.53,85.03,85.32,4821801
2024-01-22,85.7,86.74,85.52,85.91,4202985
2024-01-19,84.59,85.68,83.95,85.4,6188938
2024-01-18,84.98,85.3,83.775,84.39,4537781
2024-01-17,85.25,86.325,83.985,84.85,4898958
2024-01-16,86.58,86.97,86.15,86.43,5125925
2024-01-12,87.42,87.696,86.63,87.07,3070446
2024-01-11,87.18,87.18,86.05,86.55,5512691
2024-01-10,87.44,87.7699,87.04,87.36,3649878
2024-01-09,87.0,87.61,86.58,87.26,3819000
2024-01-08,86.56,87.95,86.36,87.85,5372104
2024-01-05,86.2,87.37,85.7,86.61,3805994
2024-01-04,86.82,87.42,86.45,86.83,5610027
2024-01-03,88.42,88.42,86.82,86.99,5159613
2024-01-02,88.048,89.26,87.68,89.12,6057866
2023-12-29,89.1,89.17,88.26,88.36,5331557
2023-12-28,88.68,89.42,88.56,89.42,3879220
2023-12-27,88.53,88.9,88.125,88.79,5383566
2023-12-26,87.68,88.6,87.585,88.36,4336567
2023-12-22,87.71,88.41,87.27,87.71,5100263
2023-12-21,87.35,87.585,86.425,87.37,4429976
2023-12-20,88.84,89.46,87.605,87.67,6072648
2023-12-19,88.5,88.996,88.42,88.75,5787080
2023-12-18,88.7,88.77,87.98,88.08,6353800
2023-12-15,89.33,89.38,87.64,88.28,7666400
2023-12-14,88.65,90.09,88.64,89.54,6918500
2023-12-13,83.94,87.33,83.71,87.03,5649600
2023-12-12,83.86,84.13,83.38,83.82,3158400
2023-12-11,83.36,84.02,83.24,83.87,3143200
2023-12-08,83.49,83.85,82.79,83.64,3416100
2023-12-07,83.59,84.04,83.21,83.78,6631500
2023-12-06,84.21,84.78,83.48,83.54,4405000
2023-12-05,83.9,84.04,83.36,83.79,6149900
2023-12-04,83.38,84.37,83.19,84.35,6740500
2023-12-01,81.66,83.75,81.42,83.74,7182400
2023-11-30,81.08,81.78,80.79,81.73,4118600
2023-11-29,81.16,81.93,81.04,81.14,4605400
2023-11-28,79.84,80.65,79.43,80.58,5811300
2023-11-27,79.8,80.49,79.43,80.05,5790800
2023-11-24,79.34,79.82,78.97,79.76,1893600
2023-11-22,79.86,80.09,79.17,79.53,5280200
2023-11-21,79.36,79.44,78.94,79.14,3703600
2023-11-20,79.03,79.7,78.39,79.7,4225000
2023-11-17,79.86,79.88,78.79,79.12,4379000
2023-11-16,79.5,79.74,78.93,79.18,4879800
2023-11-15,79.05,80.07,78.98,79.35,6033400
2023-11-14,77.4,79.81,77.25,79.12,7493800
2023-11-13,75.03,75.28,74.51,74.96,3791200
2023-11-10,75.27,75.75,74.69,75.59,3943800
2023-11-09,76.35,76.4,74.72,74.89,4922800
2023-11-08,76.06,76.38,75.76,76.09,4398300
2023-11-07,76.37,76.53,75.73,75.84,5235300
2023-11-06,77.43,77.48,76.08,76.47,4432100
2023-11-03,77.04,78.61,77.02,77.59,6394100
2023-11-02,74.6,75.99,74.43,75.78,6450300
2023-11-01,73.02,73.44,72.54,73.37,7021600
2023-10-31,72.27,73.0,71.58,72.92,5964700
2023-10-30,71.68,72.23,70.61,71.7,7041000
2023-10-27,72.68,72.68,71.01,71.25,12043000
2023-10-26,71.41,72.9,71.36,72.41,8144400
2023-10-25,71.87,72.14,70.95,71.05,6254500
2023-10-24,71.98,72.81,71.96,72.61,5755200
2023-10-23,71.73,72.69,71.49,71.69,6906600
