date,open,high,low,close,volume
2024-01-25,40.22,40.3,40.0399,40.135,6530738
2024-01-24,40.27,40.3,40.01,40.05,11094780
2024-01-23,39.35,39.5854,39.32,39.54,11831356
2024-01-22,39.19,39.405,39.16,39.32,10555591
2024-01-19,39.36,39.65,39.201,39.63,9934813
2024-01-18,39.25,39.35,39.11,39.27,10678156
2024-01-17,38.9,39.06,38.83,39.04,15727460
2024-01-16,39.935,39.97,39.5226,39.57,12668454
2024-01-12,40.53,40.67,40.38,40.41,7892100
2024-01-11,40.31,40.33,39.97,40.22,12870600
2024-01-10,40.12,40.13,39.98,40.05,8019700
2024-01-09,40.09,40.16,40.01,40.09,13068500
2024-01-08,40.19,40.57,40.16,40.56,11027400
2024-01-05,40.5,40.72,40.44,40.49,8938300
2024-01-04,40.48,40.62,40.4,40.43,9929100
2024-01-03,40.36,40.61,40.29,40.5,9683200
2024-01-02,40.73,40.83,40.53,40.62,11730100
2023-12-29,40.97,41.23,40.97,41.1,10313800
2023-12-28,41.04,41.19,40.98,40.99,11344600
2023-12-27,40.62,40.78,40.61,40.74,9863800
2023-12-26,40.5,40.62,40.45,40.52,12500800
2023-12-22,40.18,40.32,40.1,40.26,13385100
2023-12-21,40.26,40.42,40.15,40.4,15129700
2023-12-20,40.1,40.17,39.61,39.63,16805400
2023-12-19,40.29,40.53,40.25,40.48,9147300
2023-12-18,40.11,40.22,40.0,40.2,11145300
2023-12-15,41.31,41.36,41.07,41.07,11128700
2023-12-14,41.0,41.37,40.99,41.31,13440600
2023-12-13,40.2,40.77,40.03,40.77,11221200
2023-12-12,40.26,40.41,40.1,40.39,10349000
2023-12-11,40.19,40.41,40.14,40.39,13378300
2023-12-08,40.13,40.31,40.05,40.21,7658200
2023-12-07,40.39,40.45,40.29,40.41,7593100
2023-12-06,40.46,40.55,40.25,40.25,10089300
2023-12-05,40.17,40.34,40.09,40.3,8508300
2023-12-04,40.55,40.64,40.37,40.44,11018200
2023-12-01,40.43,40.81,40.32,40.8,9283100
2023-11-30,40.61,40.67,40.35,40.63,9398300
2023-11-29,40.52,40.74,40.48,40.51,11069500
2023-11-28,40.6,40.78,40.52,40.74,9536100
2023-11-27,40.44,40.48,40.35,40.41,10166800
2023-11-24,40.44,40.63,40.42,40.6,2391500
2023-11-22,40.54,40.62,40.36,40.47,6353500
2023-11-21,40.75,40.82,40.52,40.58,7471700
2023-11-20,40.5,40.87,40.5,40.82,8716600
2023-11-17,40.3,40.42,40.26,40.39,19053100
2023-11-16,40.2,40.41,40.07,40.23,8660000
2023-11-15,40.62,40.85,40.55,40.65,11710600
2023-11-14,39.95,40.42,39.92,40.37,9723700
2023-11-13,39.32,39.59,39.25,39.45,6659600
2023-11-10,39.17,39.39,39.09,39.38,6802200
2023-11-09,39.44,39.53,39.07,39.11,6534800
2023-11-08,39.54,39.66,39.41,39.46,8356200
2023-11-07,39.53,39.66,39.33,39.64,8266100
2023-11-06,39.75,39.78,39.56,39.63,7206300
2023-11-03,39.21,39.59,39.2,39.51,8225300
2023-11-02,38.69,38.83,38.6,38.8,8751400
2023-11-01,37.89,38.22,37.84,38.21,10184900
2023-10-31,37.86,37.94,37.66,37.94,10625700
2023-10-30,38.33,38.39,38.03,38.12,10203000
2023-10-27,38.12,38.21,37.73,37.78,11386300
2023-10-26,37.65,37.83,37.61,37.74,14799400
2023-10-25,37.97,38.06,37.8,37.88,12138000
2023-10-24,37.92,38.35,37.92,38.29,10458700
2023-10-23,37.61,37.95,37.46,37.82,10778600
2023-10-20,38.07,38.15,37.88,37.9,12400000
2023-10-19,38.46,38.63,38.34,38.36,12489600
2023-10-18,38.75,38.76,38.45,38.5,8860600
2023-10-17,38.96,39.34,38.96,39.14,7607500
2023-10-16,39.01,39.37,38.99,39.31,9309500
2023-10-13,39.2,39.34,38.95,39.03,8884300
2023-10-12,39.65,39.66,39.06,39.18,10723000
2023-10-11,39.65,39.77,39.47,39.6,8324500
2023-10-10,39.15,39.52,39.15,39.48,10417300
2023-10-09,38.58,38.88,38.51,38.86,8680800
2023-10-06,38.58,39.18,38.53,39.1,8077500
2023-10-05,38.49,38.58,38.31,38.57,12896000
2023-10-04,38.48,38.54,38.31,38.41,12806100
2023-10-03,38.73,38.86,38.51,38.57,14829500
2023-10-02,39.21,39.25,38.97,39.07,15001400
2023-09-29,39.61,39.61,39.17,39.21,11064200
2023-09-28,38.93,39.21,38.87,39.17,8924400
2023-09-27,39.25,39.28,38.92,39.09,12274500
2023-09-26,39.2,39.3,39.0,39.04,12282900
2023-09-25,39.36,39.53,39.34,39.5,9023800
2023-09-22,39.82,39.86,39.61,39.65,13280100
2023-09-21,39.32,39.38,39.19,39.19,12836100
2023-09-20,40.01,40.19,39.82,39.83,9652000
2023-09-19,40.01,40.08,39.89,39.95,7604100
