date,open,high,low,close,volume
2024-01-25,161.4,161.78,160.45,161.73,2260487
2024-01-24,162.9,163.065,160.32,160.5,7664914
2024-01-23,162.12,162.85,161.77,162.8,4022172
2024-01-22,162.79,162.95,161.5,162.39,4646127
2024-01-19,163.43,163.57,161.44,162.38,6391765
2024-01-18,161.16,163.39,160.68,163.24,6063537
2024-01-17,161.38,161.985,160.63,161.07,4942554
2024-01-16,161.44,162.4,161.23,161.83,5677530
2024-01-12,161.37,161.545,160.38,161.32,4542989
2024-01-11,161.35,161.89,160.17,161.11,4785069
2024-01-10,159.56,161.5001,159.56,161.29,6707346
2024-01-09,157.93,159.34,157.73,159.31,7774126
2024-01-08,156.7,158.295,156.675,158.25,6893626
2024-01-05,157.92,158.1,155.6,156.71,7236501
2024-01-04,159.21,159.54,157.49,157.76,6427490
2024-01-03,159.77,160.3,158.93,159.3,6252020
2024-01-02,157.25,159.535,157.19,159.29,7846559
2023-12-29,157.53,158.08,157.16,157.65,7316066
2023-12-28,157.77,158.33,157.5,157.57,5592022
2023-12-27,156.31,157.945,156.16,157.88,6631988
2023-12-26,156.65,156.99,156.11,156.41,3893321
2023-12-22,155.45,157.15,155.1552,156.65,6468547
2023-12-21,154.0,155.06,153.905,154.8,6695928
2023-12-20,155.42,156.14,153.62,153.71,7322567
2023-12-19,154.84,155.69,154.09,155.53,8139031
2023-12-18,153.35,155.07,153.13,154.97,8772004
2023-12-15,151.78,153.46,151.54,152.74,23334529
2023-12-14,153.52,153.94,151.93,152.17,10297100
2023-12-13,151.55,154.05,150.64,154.05,11782900
2023-12-12,151.22,151.7,150.23,151.36,7127300
2023-12-11,151.14,151.45,149.54,151.24,10627800
2023-12-08,152.0,152.21,150.24,150.86,11343200
2023-12-07,154.35,154.54,152.23,152.46,8454200
2023-12-06,155.55,155.83,153.65,154.04,8815800
2023-12-05,154.45,155.85,153.74,155.73,7294600
2023-12-04,153.32,154.93,153.31,154.3,8294400
2023-12-01,155.38,155.61,152.63,154.34,13085300
2023-11-30,156.02,156.35,154.51,155.69,9975300
2023-11-29,158.77,158.77,155.61,156.08,9965500
2023-11-28,156.66,158.92,156.66,158.64,7845000
2023-11-27,155.95,157.36,155.95,156.77,7797900
2023-11-24,155.15,156.13,154.7,156.06,4658400
2023-11-22,155.72,156.05,154.38,154.67,8805500
2023-11-21,155.46,156.85,154.13,155.86,9794100
2023-11-20,155.54,156.01,155.01,155.3,8887700
2023-11-17,155.95,157.54,155.01,155.35,14162600
2023-11-16,158.75,159.45,155.5,156.04,32552900
2023-11-15,168.38,169.94,167.51,169.78,11923300
2023-11-14,168.17,169.15,167.25,167.65,6597500
2023-11-13,166.38,167.87,166.05,167.68,5136300
2023-11-10,164.55,166.44,163.9,166.19,4773300
2023-11-09,164.37,164.52,163.25,163.92,5026700
2023-11-08,165.84,166.28,163.58,164.3,5197300
2023-11-07,165.77,166.61,165.33,165.65,5007800
2023-11-06,164.5,165.63,164.07,164.88,4843000
2023-11-03,165.88,166.3,164.5,164.66,5746400
2023-11-02,164.38,166.19,163.63,165.52,5164100
2023-11-01,164.21,165.38,162.98,164.87,4966500
2023-10-31,163.0,163.62,161.95,163.41,4722800
2023-10-30,161.46,163.26,160.79,163.02,4217900
2023-10-27,161.48,161.97,160.55,161.17,4609900
2023-10-26,162.71,163.85,161.61,161.77,5406700
2023-10-25,163.16,164.33,162.47,162.76,5540600
2023-10-24,161.4,163.48,161.39,163.25,5845000
2023-10-23,158.73,161.35,158.02,161.01,5699000
2023-10-20,160.83,161.1,158.71,158.76,5018900
2023-10-19,161.43,161.82,160.22,160.77,3915300
2023-10-18,161.88,162.36,160.72,161.54,3519700
2023-10-17,160.74,161.71,160.39,161.42,3631000
2023-10-16,160.54,162.08,160.32,161.21,4782700
2023-10-13,159.26,160.46,158.9,159.83,4603000
2023-10-12,158.53,159.31,157.77,158.95,4504700
2023-10-11,158.26,159.49,157.04,158.23,4008700
2023-10-10,156.23,158.08,155.66,157.6,5338100
2023-10-09,155.08,155.85,153.26,155.84,7007500
2023-10-06,158.65,158.99,151.65,156.41,14202800
2023-10-05,160.45,160.96,159.0,159.08,4756500
2023-10-04,159.65,161.05,159.01,161.0,5251900
2023-10-03,159.69,160.75,158.68,159.09,3751100
2023-10-02,159.49,160.27,158.31,160.1,4330900
2023-09-29,163.03,163.13,159.19,159.93,6279300
2023-09-28,162.0,162.83,161.59,162.54,3872400
2023-09-27,162.0,162.23,160.29,161.72,5237000
2023-09-26,162.94,163.54,162.35,162.5,4811900
2023-09-25,162.37,163.11,161.87,163.07,3486500
2023-09-22,162.23,163.23,161.92,162.35,4405000
2023-09-21,164.26,164.5,161.79,161.92,6260800
2023-09-20,163.6,164.71,162.96,163.91,3373600
2023-09-19,163.38,163.78,162.35,163.38,4673200
2023-09-18,164.68,165.2,163.25,163.42,4332600
2023-09-15,165.21,165.66,163.77,164.64,21266200
2023-09-14,165.0,165.74,164.41,165.25,4974600
2023-09-13,164.93,165.85,164.37,164.56,4788100
2023-09-12,164.5,164.93,164.04,164.52,3919100
2023-09-11,164.0,164.48,163.66,164.34,3970700
2023-09-08,163.48,163.86,163.07,163.77,4222400
2023-09-07,162.0,163.48,161.49,163.47,6373600
2023-09-06,160.4,162.17,159.91,161.47,4864900
2023-09-05,161.85,162.8,160.18,160.27,5069800
2023-09-01,162.87,162.96,160.15,161.57,4183500
2023-08-31,161.12,162.99,160.96,162.61,6527600
2023-08-30,160.4,161.29,159.92,161.2,3655900
2023-08-29,159.0,160.23,158.86,160.05,4234100
2023-08-28,157.86,158.83,157.86,158.72,3957000
2023-08-25,157.18,158.04,156.54,157.82,4089000
2023-08-24,158.13,159.23,156.82,156.89,4677700
2023-08-23,156.61,158.4,156.51,158.1,4736800
2023-08-22,156.97,157.31,156.24,157.01,5557500
2023-08-21,157.63,158.84,157.04,157.51,5226400
2023-08-18,155.31,159.67,155.31,157.93,9316300
2023-08-17,160.9,161.14,155.02,155.69,17871400
2023-08-16,159.88,160.97,158.37,159.26,8993600
2023-08-15,159.54,160.79,158.92,159.18,4853100
2023-08-14,162.0,162.78,159.18,160.0,6937900
2023-08-11,160.55,161.83,160.1,161.2,4730400
2023-08-10,160.79,161.75,160.03,160.26,5056500
2023-08-09,160.91,162.1,160.71,160.91,4403200
2023-08-08,160.99,161.62,159.51,160.65,3672500
2023-08-07,159.5,161.21,159.11,160.49,4756300
2023-08-04,159.76,160.25,157.96,158.34,4754000
2023-08-03,159.02,159.5,158.51,159.26,4400900
2023-08-02,158.53,160.43,158.53,159.22,4220000
2023-08-01,159.95,160.45,158.96,159.11,3927500
2023-07-31,159.96,160.64,158.91,159.86,4344400
2023-07-28,159.29,160.94,159.29,159.91,3673400
2023-07-27,160.08,160.64,159.13,159.16,4466800
2023-07-26,159.24,160.69,158.94,159.74,5031400
2023-07-25,160.46,160.51,158.28,159.17,5184600
2023-07-24,158.45,159.48,157.56,159.3,4176600
2023-07-21,157.9,158.78,157.44,158.37,5652600
2023-07-20,154.93,157.55,154.9,157.48,4995900
2023-07-19,154.8,155.2,153.75,154.62,4124300
2023-07-18,154.67,155.66,153.86,154.57,4480100
2023-07-17,154.4,154.98,153.82,154.85,3378400
2023-07-14,154.12,154.67,153.58,154.66,3475000
2023-07-13,155.43,155.6,153.69,154.13,3953200
2023-07-12,155.31,155.89,154.82,155.04,5503300
2023-07-11,154.77,155.51,153.86,154.65,3821100
2023-07-10,154.56,155.5,154.32,154.88,4322600
2023-07-07,155.81,156.29,153.45,153.49,6588700
2023-07-06,157.93,158.18,156.87,157.11,4809000
2023-07-05,158.16,159.12,157.34,158.11,5861800
2023-07-03,156.81,158.44,156.33,158.2,2882500
2023-06-30,154.97,157.53,154.78,157.18,6357000
2023-06-29,154.51,154.75,153.14,154.28,7176800
2023-06-28,154.73,155.68,154.64,155.33,6296600
2023-06-27,154.15,155.85,154.06,154.49,4031200
2023-06-26,155.65,155.78,154.32,155.05,4702100
2023-06-23,155.88,156.29,155.02,155.46,6325000
2023-06-22,154.98,156.08,154.48,155.75,4435800
2023-06-21,154.21,155.34,153.36,154.46,6417000
2023-06-20,154.7,155.45,153.88,154.16,6664800
2023-06-16,158.08,158.15,155.28,155.53,11556700
2023-06-15,157.0,158.23,156.98,157.73,6053500
2023-06-14,155.91,157.33,155.61,156.87,7034400
2023-06-13,154.52,155.51,154.07,155.3,5246300
2023-06-12,153.43,154.3,153.17,154.1,4904500
2023-06-09,152.16,153.72,151.6,153.09,5201300
2023-06-08,150.39,152.43,149.79,152.17,6291000
2023-06-07,149.25,150.36,149.04,150.0,8085500
2023-06-06,149.7,150.19,148.51,149.78,5005200
2023-06-05,149.37,151.25,149.37,149.8,5184400
2023-06-02,147.22,149.01,147.1,148.82,6391300
2023-06-01,146.21,147.9,145.94,147.41,6746400
2023-05-31,145.42,147.31,145.01,146.87,10043600
2023-05-30,146.3,147.29,145.6,146.06,5247500
2023-05-26,145.7,146.82,145.47,146.42,5240300
2023-05-25,146.88,147.44,145.09,146.16,7099700
2023-05-24,148.51,148.54,146.3,147.63,6838400
2023-05-23,148.01,148.86,147.08,148.31,5434100
2023-05-22,149.7,150.08,148.29,148.59,5372600
2023-05-19,151.4,151.46,149.11,149.91,9195600
2023-05-18,151.8,154.29,149.95,151.47,15589500
2023-05-17,151.14,151.15,148.71,149.53,8995300
2023-05-16,150.85,151.53,149.57,149.78,5170700
2023-05-15,153.5,153.85,151.38,151.88,5371300
2023-05-12,153.6,154.07,152.71,153.07,5371800
2023-05-11,152.55,153.27,152.0,153.12,3975600
2023-05-10,153.69,154.35,151.23,152.55,5275900
2023-05-09,152.72,153.18,152.34,152.98,5069900
2023-05-08,151.27,152.95,151.06,152.72,4975400
2023-05-05,150.3,152.01,149.83,151.77,4850000
2023-05-04,150.55,150.99,149.49,150.47,4670400
2023-05-03,151.56,152.1,150.27,150.62,4111500
2023-05-02,151.47,151.49,149.46,151.18,3776500
2023-05-01,151.04,152.54,150.93,151.59,3803200
2023-04-28,151.29,152.17,150.18,150.97,4693900
2023-04-27,150.78,151.94,150.78,151.38,4287000
2023-04-26,150.98,151.41,150.22,150.91,4303400
2023-04-25,153.29,153.75,151.33,151.57,5748900
2023-04-24,151.71,152.95,151.71,152.76,4526500
2023-04-21,151.96,152.3,151.18,151.73,8445000
2023-04-20,150.21,151.39,149.6,150.97,4547200
2023-04-19,150.84,151.41,149.77,150.01,4144500
2023-04-18,149.78,150.34,149.44,149.85,4494100
2023-04-17,148.64,149.67,148.5,149.52,5388900
2023-04-14,149.03,149.89,148.15,148.48,3488300
2023-04-13,149.65,150.0,148.2,149.49,4424200
2023-04-12,149.79,150.97,149.17,149.34,3736600
2023-04-11,151.0,151.0,149.62,150.07,6123500
2023-04-10,150.36,151.12,149.77,150.51,4839700
2023-04-06,148.8,151.04,148.52,150.8,5963900
2023-04-05,147.17,149.88,147.14,149.67,8846900
2023-04-04,148.53,148.79,147.02,147.23,6037900
2023-04-03,147.73,148.95,147.5,148.69,6588900
2023-03-31,146.58,148.44,146.47,147.45,6956000
2023-03-30,145.5,146.6,145.02,145.67,7293000
2023-03-29,144.37,144.96,143.45,144.23,8072300
2023-03-28,143.65,144.41,143.05,143.61,7094300
2023-03-27,142.79,144.98,142.78,144.17,8925200
2023-03-24,141.01,142.47,140.6,141.8,7584100
2023-03-23,140.2,141.61,139.49,140.65,7348100
2023-03-22,140.64,141.22,139.46,139.52,6182800
2023-03-21,141.39,141.39,139.53,140.42,6337800
2023-03-20,140.1,141.92,139.81,140.9,11309500
2023-03-17,138.19,139.49,137.59,139.4,14360400
2023-03-16,139.43,139.65,137.88,138.28,9635200
2023-03-15,136.89,139.81,136.71,139.64,11044500
2023-03-14,137.69,138.27,137.0,138.1,8514200
2023-03-13,136.68,138.5,136.58,137.37,9380700
2023-03-10,137.02,138.28,136.09,136.97,6688400
2023-03-09,138.83,138.98,136.92,137.17,5138600
2023-03-08,138.56,138.92,137.28,138.1,6363600
2023-03-07,141.18,141.68,138.79,139.25,5795800
2023-03-06,140.5,140.98,140.02,140.65,5573600
2023-03-03,141.04,141.19,139.77,140.67,5629600
2023-03-02,139.84,140.74,139.5,140.5,4928500
2023-03-01,141.06,141.28,139.37,140.15,4726700
2023-02-28,141.0,142.65,140.95,142.13,6018000
2023-02-27,142.71,143.09,140.66,141.44,5549100
2023-02-24,140.84,142.74,139.53,142.47,6874500
2023-02-23,144.37,144.37,140.71,142.09,7340400
2023-02-22,146.77,147.57,142.76,144.24,9948000
2023-02-21,142.88,148.34,142.15,147.33,18131300
2023-02-17,145.11,146.69,144.57,146.44,8256900
2023-02-16,145.48,145.99,144.18,144.27,5437400
2023-02-15,144.96,146.6,144.56,146.57,4891400
