date,open,high,low,close,volume
2024-01-25,38.68,38.82,38.47,38.6497,4587566
2024-01-24,39.06,39.08,38.11,38.14,7341510
2024-01-23,39.04,39.15,38.53,38.67,4549905
2024-01-22,38.83,39.3,38.735,38.88,5850557
2024-01-19,38.46,38.85,38.13,38.7,7967814
2024-01-18,38.6,38.75,38.0884,38.33,6142300
2024-01-17,38.82,39.28,38.18,38.58,9752148
2024-01-16,39.35,39.55,39.1784,39.3,11100135
2024-01-12,39.65,39.74,39.32,39.54,4393565
2024-01-11,39.41,39.52,39.07,39.24,5151987
2024-01-10,39.61,39.8001,39.47,39.61,4498707
2024-01-09,39.52,39.74,39.29,39.55,4134569
2024-01-08,39.26,39.87,39.19,39.83,4812666
2024-01-05,39.15,39.63,38.9179,39.29,5750715
2024-01-04,39.39,39.66,39.235,39.37,7180365
2024-01-03,40.13,40.13,39.395,39.47,7424653
2024-01-02,39.97,40.45,39.78,40.43,6591505
2023-12-29,40.23,40.41,40.02,40.06,5777303
2023-12-28,40.25,40.5,40.16,40.5,3764820
2023-12-27,40.1,40.26,39.915,40.25,4006281
2023-12-26,39.78,40.13,39.695,40.02,2537608
2023-12-22,39.69,40.01,39.54,39.73,4929148
2023-12-21,39.55,39.68,39.17,39.57,6684719
2023-12-20,39.74,40.01,39.215,39.24,6513503
2023-12-19,39.61,39.8499,39.6,39.74,4681590
2023-12-18,39.73,39.795,39.41,39.47,6638787
2023-12-15,40.29,40.4,39.655,40.0,8011113
2023-12-14,40.18,40.75,40.1,40.49,8647428
2023-12-13,38.06,39.52,37.93,39.4,7112441
2023-12-12,38.04,38.126,37.8,38.02,5580542
2023-12-11,37.81,38.1,37.72,38.03,4871000
2023-12-08,37.91,38.03,37.51,37.9,4873300
2023-12-07,37.97,38.15,37.8,37.98,5663100
2023-12-06,38.29,38.45,37.91,37.93,4832200
2023-12-05,38.07,38.1,37.83,38.06,7758300
2023-12-04,37.8,38.24,37.76,38.22,10359500
2023-12-01,37.22,38.04,37.11,38.01,7273600
2023-11-30,36.9,37.26,36.78,37.23,5804100
2023-11-29,36.92,37.22,36.88,36.93,7941600
2023-11-28,36.33,36.7,36.18,36.65,6450900
2023-11-27,36.34,36.67,36.19,36.45,4648900
2023-11-24,36.12,36.33,35.94,36.32,2620300
2023-11-22,36.36,36.47,36.04,36.18,4951400
2023-11-21,36.11,36.21,35.97,36.07,3300600
2023-11-20,35.91,36.25,35.62,36.25,4228100
2023-11-17,36.32,36.33,35.82,35.97,4417300
2023-11-16,36.12,36.21,35.91,36.01,5026800
2023-11-15,35.87,36.33,35.87,36.02,7168900
2023-11-14,35.28,36.22,35.11,35.94,10526900
2023-11-13,34.12,34.23,33.9,34.1,4313800
2023-11-10,34.25,34.44,33.95,34.39,5969000
2023-11-09,34.64,34.66,33.95,34.01,7336200
2023-11-08,34.5,34.62,34.36,34.54,7298000
2023-11-07,34.58,34.65,34.3,34.34,6579300
2023-11-06,35.05,35.07,34.46,34.63,7431300
2023-11-03,34.93,35.63,34.84,35.11,8575200
2023-11-02,33.81,34.45,33.74,34.3,8882200
2023-11-01,33.14,33.31,32.9,33.27,8343100
2023-10-31,32.74,33.14,32.43,33.1,8490800
2023-10-30,32.54,32.72,31.99,32.45,7071900
2023-10-27,32.96,32.96,32.24,32.35,10350600
2023-10-26,32.33,33.1,32.3,32.87,10663200
2023-10-25,32.54,32.65,32.1,32.19,8454400
2023-10-24,32.58,32.96,32.57,32.88,5749200
2023-10-23,32.47,32.91,32.37,32.47,6709100
2023-10-20,33.07,33.24,32.74,32.75,8554200
2023-10-19,33.48,33.73,32.9,32.92,10377000
2023-10-18,34.28,34.4,33.74,33.75,8313200
2023-10-17,34.42,34.97,34.28,34.51,7239500
2023-10-16,34.55,34.8,34.19,34.69,7719300
2023-10-13,34.53,34.65,34.18,34.34,5688400
2023-10-12,34.7,34.75,34.17,34.35,5970000
2023-10-11,34.4,34.82,34.34,34.81,5178300
2023-10-10,33.97,34.41,33.8,34.12,4979700
2023-10-09,33.37,34.09,33.34,34.0,6258000
2023-10-06,33.16,33.77,32.82,33.56,10218500
2023-10-05,33.21,33.47,33.02,33.43,7857600
2023-10-04,33.06,33.23,32.62,33.19,9241000
2023-10-03,33.27,33.43,32.74,32.84,9197900
2023-10-02,33.94,34.11,33.24,33.45,8673300
2023-09-29,34.47,34.54,33.89,34.07,7305700
2023-09-28,33.77,34.05,33.68,33.95,7431500
2023-09-27,34.04,34.18,33.46,33.6,9007100
2023-09-26,34.25,34.37,33.78,33.9,7143100
2023-09-25,34.4,34.53,34.26,34.51,5017200
2023-09-22,34.8,35.03,34.51,34.57,8497400
2023-09-21,35.84,35.86,34.79,34.81,5749900
2023-09-20,36.25,36.47,36.03,36.06,3873400
2023-09-19,36.18,36.29,35.89,35.99,3937100
2023-09-18,36.5,36.51,36.1,36.18,3812000
2023-09-15,36.79,36.93,36.65,36.79,4755300
2023-09-14,36.57,37.0,36.55,36.93,3686900
2023-09-13,36.66,36.66,36.17,36.27,4274000
2023-09-12,36.57,36.69,36.33,36.64,3225000
2023-09-11,36.66,36.75,36.45,36.64,3336700
2023-09-08,36.93,36.94,36.56,36.62,4369000
2023-09-07,36.53,37.01,36.48,36.86,3861000
2023-09-06,36.62,36.72,36.25,36.56,3974900
2023-09-05,36.94,36.99,36.63,36.63,5000000
2023-09-01,37.25,37.31,36.88,37.0,3927600
2023-08-31,37.27,37.33,36.98,37.02,4084700
2023-08-30,37.21,37.41,37.13,37.29,3051300
2023-08-29,36.75,37.19,36.59,37.16,3808200
2023-08-28,36.57,36.92,36.57,36.74,4212900
2023-08-25,36.44,36.64,36.25,36.45,4985900
2023-08-24,36.58,37.03,36.34,36.35,5086900
2023-08-23,36.16,36.55,36.15,36.52,5105800
2023-08-22,36.02,36.12,35.84,35.99,5446600
2023-08-21,36.13,36.16,35.58,35.88,3958300
2023-08-18,35.84,36.29,35.79,36.19,4503900
2023-08-17,36.39,36.67,36.07,36.09,5679300
2023-08-16,36.85,36.87,36.32,36.36,4804500
2023-08-15,36.95,37.05,36.72,36.81,3931200
2023-08-14,37.34,37.34,37.07,37.19,3069500
2023-08-11,37.16,37.44,37.05,37.39,3643000
2023-08-10,37.54,37.79,37.21,37.32,4901600
2023-08-09,37.27,37.61,37.12,37.44,5354500
2023-08-08,37.25,37.46,36.99,37.35,4094200
2023-08-07,37.18,37.55,37.16,37.54,3606100
2023-08-04,37.27,37.67,36.96,37.07,5874700
2023-08-03,37.51,37.55,36.92,37.44,6268000
2023-08-02,37.89,38.03,37.72,37.96,6503700
2023-08-01,38.09,38.28,37.96,38.12,6124600
2023-07-31,38.0,38.37,37.9,38.19,4940900
2023-07-28,38.44,38.56,37.85,37.89,5870000
2023-07-27,39.1,39.2,37.99,38.0,7511200
2023-07-26,38.6,38.9,38.59,38.82,5117900
2023-07-25,38.91,39.1,38.67,38.68,4383300
2023-07-24,38.71,38.99,38.61,38.97,5157000
2023-07-21,38.56,38.72,38.42,38.6,4799500
2023-07-20,38.37,38.44,37.88,38.43,6665000
2023-07-19,38.42,38.82,38.38,38.56,6610700
2023-07-18,38.56,38.58,37.81,38.14,6516600
